Date,Open,High,Low,Close,Volume
2008-04-03,48.555,49.045,45.122,48.555,4033
2008-04-04,48.555,48.555,48.555,48.555,28
2008-04-07,44.631,44.631,44.631,44.631,20
2008-04-08,44.631,44.631,44.631,44.631,203
2008-04-10,45.269,45.269,45.269,45.269,203
2008-04-11,45.269,45.269,45.269,45.269,3
2008-04-15,44.631,48.996,44.631,48.996,633
2008-04-18,48.898,50.272,48.898,48.996,42
2008-04-21,44.141,49.045,44.141,49.045,63
2008-04-22,49.045,50.272,49.045,49.045,135
2008-04-23,50.272,50.272,48.8,48.8,165
2008-04-24,50.026,50.026,49.879,49.879,37
2008-04-25,49.83,49.83,49.536,49.536,45
2008-04-28,49.536,49.536,49.192,49.291,42
2008-04-29,49.291,49.291,49.291,49.291,10
2008-04-30,49.241,49.241,49.241,49.241,10
2008-05-05,49.045,49.045,49.045,49.045,10
2008-05-06,45.931,47.035,45.931,47.035,438
2008-05-07,49.388,49.388,48.187,49.045,225
2008-05-08,49.291,49.291,46.985,46.985,3
2008-05-09,49.291,49.291,49.291,49.291,2
2008-05-12,49.438,49.438,49.438,49.438,2
2008-05-13,49.438,49.438,46.618,46.618,218
2008-05-14,49.438,49.438,49.438,49.438,2
2008-05-15,49.388,49.388,49.388,49.388,3
2008-05-16,49.388,49.388,45.833,49.388,657
2008-05-19,49.045,49.045,46.691,46.691,220
2008-05-20,43.65,46.348,43.65,46.348,792
2008-05-21,49.045,49.045,46.519,46.519,218
2008-05-23,47.083,47.083,47.083,47.083,3
2008-05-26,47.083,47.083,47.083,47.083,2
2008-05-27,47.083,47.083,47.083,47.083,3
2008-05-28,47.083,47.083,47.083,47.083,2
2008-05-29,47.083,47.083,47.083,47.083,2
2008-05-30,47.083,47.083,47.083,47.083,2
2008-06-02,49.928,50.026,43.65,49.045,447
2008-06-03,48.31,48.31,44.141,48.31,707
2008-06-04,47.451,47.451,47.451,47.451,2
2008-06-05,48.31,48.31,43.65,48.31,453
2008-06-06,47.083,47.083,47.083,47.083,2
2008-06-09,46.593,46.593,46.593,46.593,2
2008-06-10,48.31,48.31,43.699,44.729,673
2008-06-11,48.31,48.31,43.699,48.064,1368
2008-06-12,47.77,47.77,44.779,45.073,492
2008-06-13,47.574,47.574,47.574,47.574,2
2008-06-16,45.343,47.574,42.228,47.574,468
2008-06-17,47.451,47.451,46.298,46.298,225
2008-06-18,44.386,47.476,43.699,45.122,510
2008-06-19,43.699,47.525,43.699,46.372,457
2008-06-20,44.582,44.68,44.582,44.68,12
2008-06-23,43.699,47.279,43.699,46.176,903
2008-06-24,44.631,47.083,42.743,42.841,1108
2008-06-25,44.631,47.035,43.013,44.018,687
2008-06-26,45.514,47.035,43.16,43.16,558
2008-06-27,41.689,44.68,41.689,44.68,458
2008-06-30,44.143,46.591,42.667,42.667,1063
2008-07-01,46.103,46.544,42.767,44.435,917
2008-07-02,42.718,46.593,42.718,46.593,698
2008-07-03,46.544,46.568,42.718,43.724,683
2008-07-04,42.694,46.593,42.694,45.465,1158
2008-07-07,42.718,46.593,42.694,45.465,918
2008-07-08,44.141,46.568,42.694,46.103,690
2008-07-09,46.103,46.103,42.718,44.754,697
2008-07-10,42.694,46.078,42.694,44.974,458
2008-07-11,42.718,46.103,42.718,42.792,697
2008-07-14,46.078,46.103,41.713,46.103,698
2008-07-15,44.141,44.631,41.198,44.631,450
2008-07-16,43.65,43.65,39.236,43.552,1885
2008-07-17,43.16,43.16,42.571,42.67,23
2008-07-18,39.236,41.689,38.501,38.501,672
2008-07-21,41.689,41.689,41.689,41.689,208
2008-07-22,38.501,41.689,38.501,41.689,63
2008-07-23,41.689,41.689,41.689,41.689,880
2008-07-24,41.689,41.689,40.708,40.708,28
2008-07-25,40.708,40.708,40.708,40.708,203
2008-07-28,40.708,40.708,40.708,40.708,292
2008-07-29,40.708,40.708,40.708,40.708,2
2008-07-30,40.708,40.708,40.217,40.217,33
2008-07-31,40.705,40.705,40.705,40.705,3
2008-08-01,38.795,38.795,38.795,38.795,2
2008-08-04,40.708,40.708,38.108,38.108,268
2008-08-05,40.658,40.658,37.814,39.481,528
2008-08-06,40.462,40.462,35.312,35.901,1260
2008-08-07,39.236,39.236,35.558,36.784,1017
2008-08-08,38.255,38.255,34.822,38.255,592
2008-08-11,38.255,38.255,34.822,35.656,913
2008-08-12,36.293,37.765,36.293,37.765,585
2008-08-13,38.257,38.257,37.765,37.765,123
2008-08-14,35.508,37.765,35.508,37.765,342
2008-08-18,38.231,38.231,38.231,38.231,17
2008-08-19,38.205,38.231,37.765,37.765,322
2008-08-20,39.862,39.862,36.755,36.755,1023
2008-08-21,36.755,36.755,36.755,36.755,593
2008-08-22,38.308,38.308,38.308,38.308,2
2008-08-25,37.273,37.765,36.755,36.755,2463
2008-08-26,36.755,36.755,35.72,36.755,1090
2008-08-27,36.73,36.73,36.73,36.73,3
