Date,Open,High,Low,Close,Volume
2024-12-02,51.4,52.02,50.96,51.82,588944
2024-12-03,51.86,52.0,51.12,51.7,507567
2024-12-04,51.76,52.08,51.66,51.76,460687
2024-12-05,51.66,52.24,51.58,51.72,387765
2024-12-06,51.56,51.7,50.42,51.44,595025
2024-12-09,51.5,52.42,51.5,52.36,434375
2024-12-10,52.22,53.6,52.16,53.52,820276
2024-12-11,53.48,54.14,53.28,54.1,729464
2024-12-12,53.92,54.18,53.6,53.8,774834
2024-12-13,53.78,54.08,53.44,53.5,686468
2024-12-16,53.4,53.86,53.16,53.78,628758
2024-12-17,53.5,53.7,53.02,53.3,494792
2024-12-18,53.38,53.66,53.12,53.32,495577
2024-12-19,52.88,53.2,52.3,52.48,609583
2024-12-20,52.16,52.2,51.66,52.1,1237820
2024-12-23,51.78,52.4,51.58,52.1,440604
2024-12-27,51.88,52.22,51.78,52.1,304515
2024-12-30,50.9,51.96,50.76,51.2,417390
2025-01-02,51.16,51.34,50.88,51.22,646135
2025-01-03,51.04,51.38,50.86,51.2,449109
2025-01-06,51.2,52.22,51.18,52.08,429662
2025-01-07,51.66,52.38,51.6,52.04,480895
2025-01-08,52.26,52.44,51.08,51.6,695723
2025-01-09,51.54,51.68,51.06,51.06,622232
2025-01-10,51.0,51.98,50.88,51.48,691477
2025-01-13,51.24,51.4,50.62,50.74,538833
2025-01-14,51.0,51.9,50.98,51.06,493016
2025-01-15,51.12,51.74,50.8,51.52,818890
2025-01-16,52.18,52.44,50.8,51.0,942754
2025-01-17,51.1,52.2,51.1,52.14,828000
2025-01-20,52.0,52.14,51.38,52.1,552675
2025-01-21,52.32,53.84,52.26,53.78,712849
2025-01-22,53.94,54.56,53.72,53.96,633651
2025-01-23,53.86,54.42,53.86,54.34,406708
2025-01-24,54.5,54.7,53.28,53.48,640132
2025-01-27,53.28,53.88,53.02,53.78,548451
2025-01-28,53.86,54.62,53.78,54.24,703846
2025-01-29,54.3,55.12,54.22,54.58,579906
2025-01-30,54.66,55.46,54.64,54.98,649767
2025-01-31,54.96,55.54,54.86,54.96,468932
2025-02-03,53.86,54.18,53.52,54.04,817369
2025-02-04,53.82,54.0,53.56,53.62,449184
2025-02-05,53.32,54.28,53.32,54.28,774667
2025-02-06,58.34,58.44,56.96,57.14,1620523
2025-02-07,56.58,57.1,56.0,56.22,738299
2025-02-10,56.3,57.6,55.86,57.36,1159408
2025-02-11,57.28,58.1,57.28,57.9,1205103
2025-02-12,57.74,57.88,56.42,57.24,711903
2025-02-13,58.0,58.48,57.3,58.0,901777
2025-02-14,57.8,57.86,57.3,57.3,569880
2025-02-17,57.1,57.7,57.08,57.42,555199
2025-02-18,57.48,57.82,57.12,57.14,610728
2025-02-19,56.18,56.44,55.94,56.28,921477
2025-02-20,55.4,55.98,54.86,55.14,2548631
2025-02-21,55.16,55.74,55.1,55.74,1266164
2025-02-24,55.94,55.94,54.5,54.5,1701305
2025-02-25,54.38,55.1,54.1,54.22,688746
2025-02-26,54.24,54.74,54.14,54.22,666378
2025-02-27,53.54,53.98,52.86,53.9,974171
