Date,Open,High,Low,Close,Volume
2020-04-09,9.592,10.877,7.9107,10.778,306342
2020-04-14,12.845,15.414,10.759,15.414,363748
2020-04-15,16.81,23.732,16.81,21.161,310697
2020-04-16,21.141,21.141,14.931,15.604,221827
2020-04-17,15.821,17.404,14.833,15.77,78344
2020-04-20,16.217,16.711,14.22,15.149,52018
2020-04-21,15.228,15.604,14.239,14.338,64404
2020-04-22,13.844,14.831,12.904,14.437,33021
2020-04-23,14.457,16.711,14.457,15.713,61217
2020-04-24,15.693,15.94,15.159,15.723,19827
2020-04-27,15.821,17.502,15.525,16.069,69030
2020-04-28,16.8,16.8,15.821,16.415,12153
2020-04-29,16.415,16.415,15.821,16.415,15836
2020-04-30,16.415,16.415,15.624,15.673,15078
2020-05-04,15.673,16.019,12.558,15.525,13147
2020-05-05,15.821,15.97,15.426,15.821,14309
2020-05-06,15.821,16.215,15.05,15.07,9314
2020-05-07,15.08,15.228,14.833,14.842,9039
2020-05-08,15.218,15.711,14.536,14.981,13130
2020-05-11,15.327,15.821,14.833,15.179,11988
2020-05-12,14.981,15.723,14.833,15.424,10871
2020-05-13,15.703,16.415,15.327,15.426,19879
2020-05-14,15.525,16.613,14.833,15.189,28618
2020-05-15,15.821,16.015,15.485,15.821,9166
2020-05-18,16.118,17.601,16.118,17.542,54331
2020-05-19,17.295,17.552,16.81,16.959,33102
2020-05-20,17.156,17.295,16.8,17.259,11756
2020-05-21,17.443,20.123,17.443,20.073,92717
2020-05-22,19.579,20.271,19.085,19.777,39631
2020-05-25,19.876,20.963,19.777,20.558,44604
2020-05-26,21.576,21.576,20.558,21.507,54749
2020-05-27,21.754,22.447,20.271,20.963,36981
2020-05-28,21.141,25.369,21.013,23.337,67339
2020-05-29,23.534,23.633,21.853,22.743,38673
2020-06-01,23.628,26.896,22.743,26.699,104983
2020-06-02,27.688,38.555,27.688,38.367,92482
2020-06-03,38.555,49.739,37.032,38.07,190220
2020-06-04,39.554,46.475,38.664,43.509,75147
2020-06-05,46.673,51.42,45.487,50.727,100159
2020-06-08,53.397,76.141,53.397,69.219,261789
2020-06-09,73.174,73.54,58.144,58.144,174108
2020-06-10,54.396,63.286,45.585,58.342,251280
2020-06-12,53.397,63.286,49.442,56.759,78491
2020-06-15,57.946,61.308,55.375,58.342,28921
2020-06-16,59.33,62.594,59.33,60.814,31935
2020-06-17,61.694,61.694,58.737,59.825,18407
2020-06-18,60.319,60.319,57.353,58.599,14503
2020-06-19,58.342,58.342,56.364,56.463,21574
2020-06-22,58.836,63.088,57.55,61.605,35071
2020-06-23,62.297,64.275,61.308,62.791,21804
2020-06-24,63.296,65.758,62.791,64.176,21640
2020-06-25,64.868,65.738,63.879,64.71,12166
2020-06-26,65.263,72.976,64.769,70.781,41496
2020-06-29,72.175,76.734,70.801,75.943,48302
2020-06-30,76.141,82.568,74.163,79.008,47983
2020-07-01,80.788,96.946,80.59,88.996,79930
2020-07-02,90.38,98.884,90.38,98.785,62049
2020-07-03,98.884,98.884,91.171,94.533,41470
2020-07-06,95.917,97.401,84.15,91.962,55057
2020-07-07,92.358,94.138,85.535,88.996,34500
2020-07-08,88.986,88.996,85.535,88.293,9362
2020-07-09,88.293,88.996,86.039,86.049,13203
2020-07-10,86.039,92.951,79.157,89.263,36928
2020-07-13,91.962,91.962,87.018,89.965,7470
2020-07-14,89.974,89.974,85.04,86.622,9827
2020-07-15,87.315,89.984,84.941,84.941,12731
2020-07-16,83.063,85.04,81.085,84.348,10374
2020-07-17,85.337,85.337,81.678,82.074,6367
2020-07-20,82.074,82.074,73.57,77.327,18282
2020-07-21,77.129,77.129,69.219,69.713,43104
2020-07-22,69.219,72.185,60.121,69.614,61070
2020-07-23,69.219,87.018,67.241,77.129,47121
2020-07-24,77.624,77.624,69.614,71.889,14968
2020-07-27,71.879,71.879,66.846,67.785,26637
2020-07-28,67.241,67.241,63.286,64.077,25568
2020-07-29,64.275,69.209,64.275,67.34,13468
2020-07-30,68.032,68.032,54.485,57.353,18813
2020-07-31,56.364,65.263,48.028,62.297,16571
2020-08-03,59.33,59.33,51.815,56.364,132975
2020-08-04,57.204,57.204,52.408,52.903,35913
2020-08-05,51.42,53.595,46.881,48.943,50284
2020-08-06,48.943,54.712,47.959,50.431,27826
2020-08-07,50.045,52.408,47.474,52.408,23166
2020-08-10,53.991,53.991,51.42,52.408,8599
2020-08-11,52.705,53.981,49.976,49.976,6845
2020-08-12,50.431,50.925,48.107,50.233,9114
2020-08-13,51.42,53.892,49.442,53.397,14433
2020-08-14,52.656,53.892,50.441,52.31,8110
2020-08-17,52.399,52.804,50.559,50.836,5900
2020-08-18,51.42,54.376,50.648,50.648,21797
2020-08-19,51.42,53.17,50.648,52.577,10330
2020-08-20,52.577,53.298,51.449,53.101,6164
2020-08-21,53.2,53.694,52.043,52.418,4265
2020-08-24,52.428,62.9,52.428,59.123,41380
2020-08-25,59.133,61.051,52.408,53.496,23421
2020-08-26,55.751,55.751,53.496,55.177,2297
2020-08-27,55.276,58.233,55.276,56.66,9448
2020-08-28,58.243,58.243,55.484,56.858,2076
2020-08-31,57.145,57.145,54.643,56.354,3713
2020-09-01,54.386,54.386,51.766,51.766,8609
2020-09-02,51.766,53.892,50.579,51.222,9541
2020-09-03,51.42,52.013,50.925,51.617,4475
2020-09-04,48.661,50.925,47.365,48.255,13595
2020-09-07,47.464,47.563,40.053,41.037,45010
2020-09-08,40.542,40.542,29.467,34.609,75454
2020-09-09,33.126,43.015,31.801,41.531,29606
2020-09-10,43.509,44.498,38.565,42.372,13731
2020-09-11,42.332,43.509,40.345,42.214,1575
2020-09-14,43.494,43.494,36.014,37.576,34328
2020-09-15,35.697,35.885,33.146,34.392,27215
2020-09-16,34.599,34.599,29.27,31.544,50404
2020-09-17,31.307,31.307,28.182,29.665,35167
2020-09-18,30.654,33.027,29.873,31.643,15595
2020-09-21,31.9,31.9,28.182,28.795,20213
2020-09-22,27.796,29.962,27.796,29.27,8151
2020-09-23,29.467,29.665,27.796,28.182,6482
2020-09-24,27.519,27.539,23.732,25.166,36159
2020-09-25,24.266,26.699,22.991,24.968,30221
2020-09-28,24.721,25.611,23.732,25.215,8585
2020-09-29,25.215,25.215,23.633,24.207,15030
2020-09-30,23.732,30.654,21.754,30.654,39538
2020-10-01,28.558,29.665,23.732,24.325,41807
2020-10-02,24.721,27.589,22.743,25.611,30289
2020-10-05,25.71,26.649,25.215,26.303,5008
2020-10-06,26.402,27.688,22.081,25.047,19291
2020-10-07,24.721,25.71,23.742,24.919,4929
2020-10-08,24.919,24.919,23.238,24.029,9420
2020-10-09,23.93,24.068,22.254,22.644,20473
2020-10-12,22.743,25.512,22.743,24.721,12691
2020-10-13,25.314,25.314,23.732,24.345,4630
2020-10-14,24.321,24.424,23.435,24.167,3316
2020-10-15,24.128,24.128,20.914,22.298,10733
2020-10-16,22.15,22.298,21.557,21.952,7751
2020-10-19,21.952,23.119,21.952,22.249,7067
2020-10-20,22.249,22.743,20.865,22.15,4493
2020-10-21,22.15,22.348,20.568,21.754,13838
2020-10-22,21.161,21.656,19.975,21.151,12956
2020-10-23,21.646,21.646,20.37,20.667,9110
2020-10-26,19.935,20.667,17.809,18.294,35225
2020-10-27,18.294,19.085,17.799,17.819,9595
2020-10-28,17.799,18.689,14.852,15.762,35669
2020-10-29,15.703,16.098,14.734,15.901,27189
2020-10-30,15.723,15.723,14.15,15.129,20534
2020-11-02,14.536,15.129,13.201,15.129,8680
2020-11-03,15.129,17.166,14.833,16.573,17166
2020-11-04,16.652,23.92,16.217,23.633,62322
2020-11-05,23.93,32.236,23.93,28.132,133493
2020-11-06,29.616,29.616,23.93,24.34,40010
2020-11-09,24.227,24.227,19.381,21.062,45922
2020-11-10,21.754,23.702,21.26,22.941,14576
2020-11-12,23.633,24.721,22.644,23.93,10740
2020-11-13,26.204,29.171,26.204,26.995,45832
2020-11-16,29.665,35.104,26.699,31.643,115857
2020-11-17,31.643,33.818,28.676,31.633,37310
2020-11-18,31.643,33.126,28.706,29.685,14926
2020-11-19,29.655,30.258,25.512,26.896,26002
2020-11-20,27.49,27.49,25.29,25.611,16475
2020-11-23,26.699,31.633,24.721,31.346,27292
2020-11-24,30.951,33.917,29.171,29.27,47295
2020-11-25,29.645,30.654,27.208,28.825,12757
2020-11-26,28.043,28.825,27.297,28.182,5398
2020-11-27,28.518,28.518,26.699,27.292,5258
2020-11-30,26.798,27.193,25.463,26.204,6716
2020-12-01,26.402,29.66,25.225,28.469,18770
2020-12-02,28.469,28.469,26.699,26.896,10071
2020-12-03,26.699,27.885,26.501,26.501,3144
2020-12-04,26.699,27.964,26.699,27.589,4913
2020-12-07,27.51,29.27,26.328,27.579,10656
2020-12-08,27.688,28.479,26.501,26.699,8955
2020-12-09,27.193,28.162,26.699,27.678,8591
2020-12-10,27.688,27.688,26.407,26.55,8133
2020-12-11,26.699,26.995,25.413,25.71,10228
2020-12-14,26.219,26.219,24.622,24.721,8715
2020-12-15,25.69,25.71,24.533,24.721,6328
2020-12-16,24.484,25.492,23.356,23.633,16048
2020-12-17,23.633,24.227,22.249,22.941,16755
2020-12-18,22.565,22.743,21.364,22.244,13710
2020-12-21,21.319,22.743,19.678,20.766,26583
2020-12-22,20.756,21.754,20.518,20.766,14370
2020-12-23,20.078,20.963,20.078,20.271,13311
2020-12-28,20.172,20.766,18.788,19.233,51226
2020-12-29,19.085,27.381,19.085,25.067,66226
2020-12-30,25.611,27.688,24.058,25.898,32957
2021-01-04,25.987,26.995,24.157,24.325,42244
2021-01-05,24.82,24.82,22.397,24.355,9857
2021-01-07,24.424,24.721,22.743,23.435,7962
2021-01-08,23.435,25.215,21.873,22.743,16049
2021-01-11,22.249,23.623,21.853,23.238,4758
2021-01-12,22.605,23.732,22.605,23.534,5013
2021-01-13,24.375,24.375,22.664,23.732,4392
2021-01-14,23.732,23.732,22.743,23.505,2149
2021-01-15,23.337,23.564,22.269,23.089,7211
2021-01-18,22.842,23.119,22.447,22.644,1784
2021-01-19,22.654,23.505,22.644,23.426,3347
2021-01-20,23.238,23.386,22.546,22.832,4258
2021-01-21,22.644,22.743,22.101,22.348,1817
2021-01-22,22.644,22.887,22.298,22.887,584
2021-01-25,21.913,27.183,21.903,25.364,66338
2021-01-26,26.313,26.896,24.77,25.255,23976
2021-01-27,25.126,26.204,22.15,23.228,18513
2021-01-28,22.892,24.128,22.546,24.078,9452
2021-01-29,24.414,25.117,23.534,24.029,3634
2021-02-01,25.413,25.413,24.227,24.958,5111
2021-02-02,24.968,26.501,24.622,25.413,9200
2021-02-03,25.492,26.194,25.215,25.601,10236
2021-02-04,25.66,25.69,23.732,24.236,6182
2021-02-05,24.721,25.71,24.325,25.107,2634
2021-02-08,25.453,25.453,23.93,24.919,19454
2021-02-09,24.919,25.393,23.96,24.919,4992
2021-02-10,24.919,26.006,24.246,25.314,7248
2021-02-11,25.314,25.68,24.523,24.573,2490
2021-02-12,24.622,25.057,24.622,24.731,1398
2021-02-15,24.721,25.542,24.286,24.375,3030
2021-02-16,24.711,24.711,23.238,24.197,3511
2021-02-17,24.187,24.207,23.337,24.207,3400
2021-02-18,24.207,24.227,23.386,23.386,4224
2021-02-19,23.722,23.732,22.753,23.238,3981
2021-02-22,22.872,23.233,22.872,23.188,1370
2021-02-23,22.991,24.128,22.743,23.327,6174
2021-02-24,23.337,23.999,22.763,22.961,2165
2021-02-25,22.961,23.584,22.753,22.892,4225
2021-02-26,22.743,23.139,22.387,23.129,3666
2021-03-01,23.139,23.139,22.654,22.664,2908
2021-03-02,22.664,23.238,22.664,22.773,1965
2021-03-03,22.743,22.941,20.667,22.239,14081
2021-03-04,21.804,21.804,20.785,21.25,5140
2021-03-05,21.26,21.26,19.579,20.993,9882
2021-03-08,20.073,21.458,19.984,21.458,2483
2021-03-09,21.458,21.952,20.874,21.947,2280
2021-03-10,21.952,21.952,21.062,21.097,2864
2021-03-11,21.656,21.903,21.161,21.626,2783
2021-03-12,21.725,22.486,21.161,22.486,3324
2021-03-15,22.496,25.186,22.486,24.503,15389
2021-03-16,24.721,24.874,23.732,24.068,2142
2021-03-17,24.227,24.721,23.337,24.088,2898
2021-03-18,24.128,25.512,22.941,25.24,6876
2021-03-19,25.215,25.215,23.534,23.633,3058
2021-03-22,23.93,24.612,23.732,24.187,2324
2021-03-23,24.227,24.227,23.732,23.88,992
2021-03-24,23.93,23.979,22.358,23.233,8122
2021-03-25,22.743,23.623,22.407,23.623,1073
2021-03-26,23.594,23.683,22.012,22.743,2786
2021-03-29,23.515,25.206,22.743,24.424,10027
2021-03-30,25.102,25.102,23.93,24.424,4672
2021-03-31,24.523,24.721,22.941,23.979,5247
2021-04-01,23.979,24.474,23.979,24.325,1195
2021-04-06,24.325,24.424,23.732,23.732,1822
2021-04-07,24.375,24.721,23.188,23.979,7441
