Date,Open,High,Low,Close,Volume
2011-08-09,4.52039,6.45882,4.52039,6.45882,35757.60331525056
2011-08-10,7.67497,7.67497,6.3568,6.38038,12592.458889845018
2011-08-11,7.06308,7.06308,7.06308,7.06308,3794.176277137985
2011-08-12,7.6125,7.6125,6.98464,7.534,7324.851302789371
2011-08-16,7.6125,8.63306,7.6125,8.63306,29434.782000912342
2011-08-18,8.55364,8.63306,8.55364,8.55364,406.13036926356784
2011-09-02,8.46849,9.18238,8.46849,9.18238,1607.5993783349488
2011-09-05,9.18238,9.18238,9.18238,9.18238,1032.2480218782364
2011-09-06,9.18238,9.18238,9.18238,9.18238,1400.908029691912
2011-09-07,8.86811,10.2025,8.86811,10.2025,20387.502792763444
2011-09-08,9.80953,9.80953,9.57375,9.57375,969.3945123493488
2011-09-09,9.65317,10.0454,8.59341,8.59341,5431.993688900205
2011-09-12,9.1419,9.1419,8.00432,9.1419,10553.345994167355
2011-09-13,8.64877,9.07322,8.64877,9.07322,255.0402021268204
2011-09-15,8.64877,9.37764,8.64877,9.37764,2207.125161533548
2011-09-19,9.05668,9.06496,9.05668,9.06496,3823.185589228146
2011-09-20,9.02439,9.06496,9.02439,9.06496,507.662961579457
2011-09-21,8.94663,9.06496,8.24011,8.49079,309369.8087865189
2011-09-22,8.39735,8.39735,8.39735,8.39735,34405.0441390428
2011-09-23,8.7117,8.78947,8.7117,8.78947,11469.556767684557
2011-09-26,8.78947,9.80953,8.63306,9.80953,13097.704408750482
2011-09-27,9.80953,9.84099,9.57375,9.57375,2232.5083096124963
2011-09-28,9.10383,9.41739,8.78947,9.41739,1556.833082177051
2011-09-29,8.7117,9.41739,8.31871,9.41739,69767.39557706277
2011-09-30,9.41739,9.41739,9.41739,9.41739,3.626164011281868
2011-10-03,9.41739,9.41739,9.41739,9.41739,3.626164011281868
2011-10-04,8.89206,9.41739,8.63306,9.41739,1432.3347844562918
2011-10-05,9.39424,9.41739,9.39424,9.41739,528.2112243100613
2011-10-06,9.57375,9.57375,9.41739,9.41739,1406.9516363773432
2011-10-07,9.57375,9.57375,9.57375,9.57375,6.04360668546978
2011-10-10,9.49672,10.5946,9.472,10.5946,2201.0815548481164
2011-10-11,10.516,10.516,10.2025,10.516,6391.718430552875
2011-10-12,10.5946,10.5946,10.2025,10.2025,1138.6154995425052
2011-10-13,10.2025,10.2025,10.2025,10.2025,2088.670470498336
2011-10-14,10.3589,10.3589,10.2811,10.32,1918.2407619681169
2011-10-17,10.2811,10.2811,10.2811,10.2811,248.9965954413548
2011-10-18,10.2811,10.2811,10.2811,10.2811,6.04360668546978
2011-10-19,10.2811,10.2811,10.2811,10.2811,6.04360668546978
