Date,Open,High,Low,Close,Volume
2024-05-31,10.32,10.58,10.24,10.42,12764
2024-06-03,10.42,10.5,10.34,10.42,4085
2024-06-04,10.52,10.9,10.52,10.62,14402
2024-06-05,10.74,10.74,10.38,10.38,13611
2024-06-06,10.38,10.48,10.3,10.38,9703
2024-06-07,10.36,10.38,10.1,10.16,18317
2024-06-10,10.36,10.36,9.95,10.18,24157
2024-06-11,10.04,10.16,9.98,9.99,9669
2024-06-12,9.98,10.14,9.9,10.06,16823
2024-06-13,10.04,10.16,9.98,10.02,6104
2024-06-14,10.0,10.18,9.92,10.18,7183
2024-06-17,10.2,10.32,10.18,10.18,8460
2024-06-18,10.26,10.26,10.1,10.16,2592
2024-06-19,10.18,10.28,10.1,10.2,6759
2024-06-20,10.24,11.0,10.04,10.46,100598
2024-06-21,10.7,10.88,10.6,10.6,24861
2024-06-24,10.6,10.7,10.52,10.66,7132
2024-06-25,10.56,10.68,10.3,10.4,21813
2024-06-26,10.44,10.64,10.24,10.44,11145
2024-06-27,10.42,10.6,10.32,10.56,4430
2024-06-28,10.54,10.54,10.3,10.34,13423
2024-07-01,10.34,10.5,10.3,10.36,6052
2024-07-02,10.36,10.48,10.3,10.32,2318
2024-07-03,10.38,10.46,10.26,10.3,5232
2024-07-04,10.3,10.4,10.0,10.4,33483
2024-07-05,10.4,10.4,10.22,10.24,2982
2024-07-08,10.24,10.24,10.1,10.2,12601
2024-07-09,10.06,10.28,9.07,9.97,53033
2024-07-10,10.08,10.1,9.97,10.08,4854
2024-07-11,10.1,10.28,10.08,10.18,9694
2024-07-12,10.24,10.26,10.08,10.22,3286
2024-07-15,10.2,10.2,10.0,10.08,7316
2024-07-16,10.02,10.04,9.65,9.92,23654
2024-07-17,9.92,9.92,9.8,9.82,9232
2024-07-18,9.82,9.99,9.8,9.99,7515
2024-07-19,9.95,9.99,9.8,9.99,3593
2024-07-22,10.0,10.1,9.86,10.0,3049
2024-07-23,10.04,10.04,9.86,9.86,6426
2024-07-24,9.8,9.99,9.78,9.78,10663
2024-07-25,9.78,9.78,9.52,9.62,17621
2024-07-26,9.64,9.77,9.53,9.53,9073
2024-07-29,9.55,9.55,9.35,9.39,9417
2024-07-30,9.4,9.52,9.18,9.42,19183
2024-07-31,9.48,9.78,9.32,9.5,13801
2024-08-01,9.64,9.64,9.47,9.51,2682
2024-08-02,9.66,9.66,9.34,9.42,4287
2024-08-05,9.42,9.42,8.5,8.94,20949
2024-08-06,9.02,9.1,8.84,8.89,17963
2024-08-07,9.09,9.09,9.01,9.09,13192
2024-08-08,8.85,9.11,8.85,9.06,4084
2024-08-09,9.09,9.19,8.91,8.95,3598
2024-08-12,9.08,9.08,8.95,9.03,6723
2024-08-13,9.05,9.06,8.8,9.06,13550
2024-08-14,9.06,10.28,8.96,10.26,80245
2024-08-16,10.3,12.44,10.3,12.38,263440
2024-08-19,12.5,13.4,11.34,11.36,191111
2024-08-20,11.6,12.18,10.6,10.86,107391
2024-08-21,11.02,11.28,10.32,10.38,36689
2024-08-22,10.4,10.82,10.08,10.34,59412
2024-08-23,10.34,11.68,10.1,11.4,97233
2024-08-26,11.68,11.98,11.1,11.12,68241
2024-08-27,11.34,11.4,11.1,11.28,12583
2024-08-28,11.36,11.78,11.2,11.52,35821
2024-08-29,11.5,12.08,11.5,11.88,62418
2024-08-30,12.0,12.3,11.54,11.9,66621
2024-09-02,11.9,11.96,11.36,11.42,31899
2024-09-03,11.44,11.68,10.9,10.96,35168
2024-09-04,10.96,11.3,10.74,10.82,24615
2024-09-05,10.98,11.06,10.6,10.64,11523
2024-09-06,10.72,10.86,10.5,10.52,8489
2024-09-09,10.58,10.6,10.32,10.5,2645
2024-09-10,10.52,10.8,10.4,10.5,5687
2024-09-11,10.42,10.64,10.26,10.26,9932
2024-09-12,10.3,10.42,10.14,10.14,19430
2024-09-13,10.26,10.26,9.91,10.04,12137
2024-09-16,10.04,10.16,9.93,9.93,7094
2024-09-17,10.0,10.24,9.63,9.85,39070
2024-09-18,10.06,10.22,9.94,10.22,17749
2024-09-19,10.22,10.38,10.0,10.0,9910
2024-09-20,10.0,10.26,9.6,9.6,28467
2024-09-23,9.94,9.94,9.54,9.56,10918
2024-09-24,9.72,9.88,9.6,9.6,15762
2024-09-25,9.74,9.74,9.58,9.68,9083
2024-09-26,9.68,9.77,9.61,9.72,11703
2024-09-27,9.01,9.5,9.01,9.49,41353
2024-09-30,9.48,9.48,9.25,9.29,7331
2024-10-01,9.29,9.4,9.1,9.27,24194
2024-10-02,9.34,9.34,9.17,9.23,4762
2024-10-03,9.11,9.23,9.0,9.06,10935
2024-10-04,9.06,9.2,9.05,9.06,13722
2024-10-07,9.17,9.2,9.04,9.04,12253
2024-10-08,9.04,9.16,8.93,9.0,11509
2024-10-09,9.0,9.15,8.82,8.86,11788
2024-10-10,8.9,9.09,8.82,8.82,6171
2024-10-11,8.98,9.08,8.82,8.94,8889
2024-10-14,8.94,9.09,8.94,9.09,3713
2024-10-15,9.09,9.09,8.98,9.06,5323
2024-10-16,9.06,9.15,8.99,9.11,8511
2024-10-17,9.1,9.12,8.9,9.0,6042
2024-10-18,9.04,9.04,8.95,9.02,3529
2024-10-21,9.0,9.04,8.8,8.95,5515
2024-10-22,8.88,8.95,8.76,8.94,3621
2024-10-23,8.9,8.9,8.56,8.73,5030
2024-10-24,8.75,8.96,8.65,8.83,24973
2024-10-25,8.64,8.82,8.59,8.61,12555
2024-10-28,8.65,8.65,8.35,8.35,33455
2024-10-29,8.45,8.56,8.3,8.44,13300
2024-10-30,8.5,8.5,8.4,8.48,5483
2024-10-31,8.47,8.7,8.28,8.45,16054
2024-11-04,8.32,8.58,8.3,8.47,5802
2024-11-05,8.47,8.68,8.36,8.68,6511
2024-11-06,8.5,8.67,8.42,8.45,5180
2024-11-07,8.41,8.52,8.33,8.4,5816
2024-11-08,8.43,8.5,8.27,8.38,18136
2024-11-12,8.3,8.47,8.09,8.26,14751
2024-11-13,8.46,8.46,8.28,8.28,3252
2024-11-14,8.28,8.39,8.22,8.38,11505
2024-11-15,8.35,8.35,8.24,8.24,1559
