Date,Open,High,Low,Close,Volume
2005-11-24,4.52045,4.53308,4.51399,4.52045,46174.9
2005-11-25,4.52669,4.53308,4.52669,4.52669,12970.3
2005-11-28,4.47604,4.54579,4.46996,4.47604,16933.5
2005-11-29,4.49512,4.52669,4.49512,4.49512,537.779
2005-11-30,4.48235,4.50144,4.48235,4.48235,9508.55
2005-12-01,4.46357,4.50768,4.46357,4.46357,4281.44
2005-12-02,4.44439,4.44439,4.41291,4.44439,4037.23
2005-12-05,4.41291,4.41291,4.40036,4.41291,1105.43
2005-12-06,4.37504,4.42561,4.37504,4.37504,2531.71
2005-12-07,4.3688,4.40661,4.3688,4.3688,8896.73
2005-12-08,4.38119,4.40036,4.37504,4.38119,10171.0
2005-12-09,4.40036,4.41291,4.30553,4.40036,20121.2
2005-12-12,4.28011,4.32444,4.25479,4.28011,10802.3
2005-12-13,4.25479,4.29921,4.25479,4.25479,7275.6
2005-12-14,4.15364,4.23593,4.021,4.15364,14123.8
2005-12-15,4.17257,4.26749,4.17257,4.17257,18006.5
2005-12-16,4.17257,4.20429,4.17257,4.17257,7510.72
2005-12-19,4.3307,4.38119,4.217,4.3307,298280.0
2005-12-20,4.26749,4.3307,4.26118,4.26749,2831.78
2005-12-21,4.32444,4.37504,4.29921,4.32444,455848.0
2005-12-22,4.28011,4.34332,4.26749,4.28011,3290.32
2005-12-23,4.26118,4.28659,4.24847,4.26118,8412.21
2005-12-27,4.29275,4.29275,4.28659,4.29275,632.604
2005-12-28,4.33724,4.33724,4.33724,4.33724,791.08
2006-01-03,4.31176,4.33724,4.31176,4.31176,379.303
2006-01-04,4.28011,4.30553,4.28011,4.28011,75635.8
2006-01-05,4.24217,4.29921,4.24217,4.24217,36298.7
2006-01-06,4.28659,4.28659,4.25479,4.28659,3925.52
2006-01-09,4.27397,4.27397,4.21059,4.27397,115087.0
2006-01-10,4.29275,4.29275,4.24847,4.29275,5544.06
2006-01-11,4.34332,4.3624,4.28659,4.34332,36985.9
2006-01-12,4.40036,4.41291,4.37504,4.40036,335419.0
2006-01-13,4.38766,4.38766,4.38766,4.38766,6389.69
2006-01-16,4.40036,4.41291,4.38766,4.40036,11103.7
2006-01-17,4.46357,4.46996,4.43824,4.46357,18552.0
2006-01-18,4.48235,4.48882,4.46357,4.48235,21874.8
2006-01-19,4.47604,4.48882,4.45718,4.47604,144142.0
2006-01-20,4.45718,4.46996,4.45079,4.45718,76942.6
2006-01-23,4.46996,4.46996,4.44439,4.46996,77893.5
2006-01-24,4.46357,4.47604,4.44439,4.46357,25150.9
2006-01-25,4.45718,4.45718,4.44439,4.45718,11253.0
2006-01-26,4.46996,4.48235,4.45718,4.46996,10949.1
2006-01-27,4.48882,4.49512,4.47604,4.48882,26110.8
2006-01-30,4.48882,4.55203,4.48882,4.48882,34703.6
2006-01-31,4.57097,4.57097,4.50768,4.57097,140412.0
2006-02-01,4.58989,4.64049,4.56464,4.58989,205119.0
2006-02-02,4.65318,4.65318,4.60899,4.65318,26061.4
2006-02-03,4.65948,4.65948,4.60899,4.65948,22424.3
2006-02-06,4.61515,4.6785,4.58989,4.61515,67324.9
2006-02-07,4.6658,4.68474,4.64049,4.6658,71766.2
2006-02-08,4.69105,4.69752,4.69105,4.69105,4904.96
2006-02-09,4.65318,4.65318,4.64049,4.65318,68956.5
2006-02-10,4.65318,4.65318,4.62793,4.65318,90309.2
2006-02-13,4.71,4.72278,4.6658,4.71,94124.3
2006-02-14,4.71638,4.71638,4.65948,4.71638,28708.8
2006-02-15,4.71638,4.73541,4.70367,4.71638,40064.5
2006-02-16,4.75442,4.78598,4.6658,4.75442,1610592.0
2006-02-17,4.76065,4.77327,4.70367,4.76065,18996.3
2006-02-20,4.81122,4.83647,4.7986,4.81122,65167.3
2006-02-21,4.87435,4.87435,4.83647,4.87435,140955.0
2006-02-22,4.94401,4.94401,4.86172,4.94401,13747.1
2006-02-23,4.86811,4.92501,4.83647,4.86811,33809.9
2006-02-24,4.87435,4.89959,4.81122,4.87435,272574.0
2006-02-27,4.90614,4.90614,4.80491,4.90614,49901.7
2006-02-28,4.90614,4.93763,4.90614,4.90614,86687.6
2006-03-01,4.91877,4.92501,4.88081,4.91877,47597.3
2006-03-02,4.89959,4.91877,4.89345,4.89959,9673.52
2006-03-06,5.03256,5.07674,4.98198,5.03256,72054.5
2006-03-07,5.14001,5.14618,5.05773,5.14001,203613.0
2006-03-08,5.26011,5.26011,5.17158,5.26011,93096.8
2006-03-09,5.12731,5.22224,5.12731,5.12731,22247.6
2006-03-10,5.14618,5.19691,5.10846,5.14618,59234.9
2006-03-13,5.19067,5.19067,5.16527,5.19067,93529.3
2006-03-14,5.121,5.14618,5.09576,5.121,12711.8
2006-03-15,5.10207,5.15889,5.09576,5.10207,84232.5
2006-03-16,5.11469,5.11469,5.09576,5.11469,7009.31
2006-03-17,5.10207,5.11469,5.09576,5.10207,987.227
2006-03-20,5.11469,5.15264,5.10846,5.11469,40558.1
2006-03-21,5.14001,5.14618,5.121,5.14001,132211.0
2006-03-22,5.10207,5.14618,5.10207,5.10207,26862.9
2006-03-23,5.07674,5.10207,5.07674,5.07674,16795.8
2006-03-24,5.06412,5.08313,5.0073,5.06412,31208.0
2006-03-27,5.15264,5.15889,5.12731,5.15264,2268.02
2006-03-28,5.12731,5.14618,5.12731,5.12731,1115.82
2006-03-29,5.17158,5.19691,5.14618,5.17158,65544.0
2006-03-30,5.17158,5.17788,5.14618,5.17158,67919.9
2006-03-31,5.15264,5.15264,5.14001,5.15264,1683.48
2006-04-03,5.17788,5.17788,5.14001,5.17788,6214.33
2006-04-04,5.26011,5.26011,5.20962,5.26011,305666.0
2006-04-05,5.27274,5.27274,5.24749,5.27274,171209.0
2006-04-06,5.36767,5.38652,5.29167,5.36767,70754.3
2006-04-07,5.40555,5.43703,5.38021,5.40555,89644.1
2006-04-10,5.52555,5.56351,5.36767,5.52555,33698.2
2006-04-11,5.58267,5.60145,5.50662,5.58267,14212.1
2006-04-12,5.57622,5.59514,5.53818,5.57622,11940.2
2006-04-13,5.54473,5.55727,5.51931,5.54473,4975.1
2006-04-14,5.58267,5.58267,5.53202,5.58267,105560.0
2006-04-17,5.47506,5.51301,5.46874,5.47506,7101.54
2006-04-18,5.44357,5.52555,5.41186,5.44357,37734.1
2006-04-19,5.38652,5.45611,5.38652,5.38652,68605.7
2006-04-20,5.35496,5.37389,5.32324,5.35496,14807.1
2006-04-21,5.36767,5.39915,5.32324,5.36767,43718.5
2006-04-25,5.36767,5.36767,5.33594,5.36767,4369.77
2006-04-26,5.41186,5.41186,5.36767,5.41186,74605.7
2006-04-27,5.41816,5.44357,5.39915,5.41816,162253.0
2006-04-28,5.38021,5.41186,5.38021,5.38021,169693.0
2006-05-02,5.31701,5.32324,5.31701,5.31701,2047.19
2006-05-03,5.27905,5.28552,5.22841,5.27905,15026.6
2006-05-04,5.24749,5.28552,5.24749,5.24749,3794.32
2006-05-05,5.26643,5.29799,5.26643,5.26643,28563.3
2006-05-08,5.27274,5.32324,5.27274,5.27274,10851.7
2006-05-09,5.36126,5.36126,5.33594,5.36126,2147.21
2006-05-10,5.38652,5.38652,5.34856,5.38652,7753.63
2006-05-11,5.41816,5.46874,5.38021,5.41816,31370.4
2006-05-12,5.45611,5.51301,5.45611,5.45611,3621.56
2006-05-15,5.51931,5.53202,5.49414,5.51931,11253.0
2006-05-16,5.47506,5.47506,5.46874,5.47506,2216.06
2006-05-17,5.56997,5.56997,5.56997,5.56997,2216.06
2006-05-18,5.57622,5.58267,5.57622,5.57622,94560.7
2006-05-19,5.53818,5.54473,5.53202,5.53818,55522.4
2006-05-22,5.51931,5.53818,5.50662,5.51931,8445.98
2006-05-23,5.43078,5.50662,5.43078,5.43078,47385.6
2006-05-25,5.38021,5.49414,5.36767,5.38021,17573.9
2006-05-26,5.34225,5.36126,5.33594,5.34225,20627.8
2006-05-29,5.36126,5.38652,5.31061,5.36126,65673.9
2006-05-30,5.21593,5.34856,5.21593,5.21593,41773.9
2006-05-31,5.41816,5.41816,5.31061,5.41816,6455.94
2006-06-01,5.41816,5.45611,5.40555,5.41816,22232.0
2006-06-02,5.49414,5.51301,5.42447,5.49414,14729.1
2006-06-05,5.53202,5.56997,5.53202,5.53202,2344.66
2006-06-06,5.56997,5.56997,5.54473,5.56997,1308.07
2006-06-07,5.53818,5.53818,5.51931,5.53818,3169.51
2006-06-08,5.48768,5.58267,5.48768,5.48768,209827.0
2006-06-09,5.48768,5.49414,5.48768,5.48768,1043.08
2006-06-12,5.53818,5.6836,5.53818,5.53818,24074.0
2006-06-13,5.58883,5.58883,5.55727,5.58883,13797.7
2006-06-14,5.62054,5.62054,5.61416,5.62054,8666.81
2006-06-15,5.67751,5.6836,5.67104,5.67751,18714.4
2006-06-16,5.67751,5.67751,5.66475,5.67751,4811.43
2006-06-19,5.67104,5.67751,5.65827,5.67104,12830.0
2006-06-20,5.63957,5.66475,5.63957,5.63957,19621.1
2006-06-21,5.6458,5.6458,5.38021,5.6458,213968.0
2006-06-22,5.67751,5.67751,5.6458,5.67751,365502.0
2006-06-23,5.70269,5.71532,5.69629,5.70269,170773.0
2006-06-26,5.72802,5.72802,5.6836,5.72802,2979.86
2006-06-27,5.69629,5.69629,5.67104,5.69629,15563.1
2006-06-28,5.6836,5.69629,5.6836,5.6836,1423.68
2006-06-29,5.74064,5.74064,5.72802,5.74064,2342.06
2006-06-30,5.63317,5.67751,5.63317,5.63317,1200.26
2006-07-03,5.65827,5.66475,5.65827,5.65827,288.374
2006-07-04,5.61416,5.61416,5.58267,5.61416,6578.05
2006-07-05,5.66475,5.69629,5.66475,5.66475,9465.69
2006-07-06,5.62054,5.62054,5.60777,5.62054,1393.8
2006-07-07,5.62054,5.62054,5.60145,5.62054,31887.4
2006-07-10,5.6836,5.69629,5.6836,5.6836,1475.64
2006-07-11,5.63317,5.63957,5.63317,5.63317,2151.11
2006-07-12,5.65221,5.65827,5.65221,5.65221,5145.27
2006-07-13,5.63957,5.6458,5.63957,5.63957,4242.47
2006-07-14,5.61416,5.65221,5.60145,5.61416,81690.4
2006-07-17,5.66475,5.66475,5.6458,5.66475,18349.4
2006-07-18,5.66475,5.66475,5.63317,5.66475,4971.2
2006-07-19,5.55727,5.59514,5.55727,5.55727,81589.1
2006-07-20,5.72156,5.73418,5.51931,5.72156,373017.0
2006-07-21,5.99984,5.99984,5.74695,5.99984,140386.0
2006-07-24,6.08837,6.11994,5.91147,6.08837,70712.7
2006-07-25,6.10107,6.12625,6.06305,6.10107,17457.0
2006-07-26,6.07567,6.09461,6.05034,6.07567,17966.2
2006-07-27,5.99347,6.06305,5.84179,5.99347,15915.1
2006-07-28,6.06944,6.10107,6.05034,6.06944,4022.95
2006-07-31,5.99984,6.09461,5.99984,5.99984,25775.7
2006-08-01,5.93025,5.98091,5.93025,5.93025,15657.9
2006-08-02,5.95549,6.05034,5.93672,5.95549,35690.8
2006-08-03,5.90508,5.98715,5.89869,5.90508,7596.45
2006-08-07,6.11994,6.13895,5.95549,6.11994,106979.0
2006-08-08,6.22741,6.25912,6.07567,6.22741,31923.8
2006-08-09,6.15797,6.20208,6.12625,6.15797,7211.95
2006-08-10,6.17052,6.22741,6.13257,6.17052,23760.9
2006-08-11,6.11994,6.11994,6.0251,6.11994,23881.8
2006-08-14,6.17682,6.22102,6.11354,6.17682,10851.7
2006-08-15,6.10107,6.16428,6.10107,6.10107,18861.2
