Date,Open,High,Low,Close,Volume
2007-10-09,3.7,3.7,3.25,3.6,32068
2007-10-10,3.59,3.59,3.42,3.5,26087
2007-10-11,3.42,3.65,3.42,3.65,8509
2007-10-12,3.65,3.7,3.5,3.65,19469
2007-10-15,3.55,3.73,3.55,3.7,18820
2007-10-16,3.72,3.73,3.61,3.7,46250
2007-10-17,3.66,3.7,3.6,3.6,25660
2007-10-18,3.51,3.68,3.51,3.65,1623
2007-10-19,3.53,3.7,3.53,3.65,4180
2007-10-22,3.51,3.65,3.51,3.6,5160
2007-10-23,3.56,3.6,3.55,3.6,4500
2007-10-24,3.55,3.68,3.55,3.67,3600
2007-10-25,3.52,3.79,3.52,3.79,22477
2007-10-26,3.77,3.78,3.65,3.7,1350
2007-10-29,3.65,3.74,3.65,3.74,1300
2007-10-30,3.65,3.7,3.65,3.7,5300
2007-10-31,3.65,3.75,3.6,3.75,3242
2007-11-02,3.6,4.0,3.6,3.96,1319
2007-11-05,3.95,3.95,3.85,3.85,542
2007-11-06,3.66,3.85,3.66,3.85,1238
2007-11-07,3.65,3.65,3.6,3.6,2163
2007-11-08,3.6,3.75,3.6,3.75,442
2007-11-09,3.65,3.65,3.65,3.65,100
2007-11-12,3.63,3.63,3.63,3.63,1515
2007-11-13,3.63,3.7,3.5,3.5,9440
2007-11-14,3.51,3.51,3.51,3.51,100
2007-11-15,3.55,3.65,3.45,3.45,6110
2007-11-16,3.55,3.7,3.55,3.7,300
2007-11-19,3.55,3.7,3.55,3.7,2902
2007-11-20,3.61,3.61,3.6,3.6,4200
2007-11-21,3.56,3.6,3.55,3.6,2000
2007-11-22,3.78,3.78,3.78,3.78,100
2007-11-23,3.65,3.65,3.65,3.65,200
2007-11-26,3.65,3.65,3.65,3.65,100
2007-11-27,3.69,3.69,3.69,3.69,50
2007-11-28,3.65,3.7,3.65,3.7,856
2007-11-29,3.65,3.65,3.65,3.65,200
2007-11-30,3.6,3.65,3.6,3.65,2425
2007-12-03,3.7,3.7,3.65,3.65,3502
2007-12-04,3.79,3.79,3.79,3.79,100
2007-12-05,3.96,3.96,3.96,3.96,100
2007-12-06,3.7,4.0,3.7,4.0,6325
2007-12-07,4.19,4.5,4.19,4.45,7480
2007-12-10,4.0,4.0,4.0,4.0,11950
2007-12-11,4.07,4.37,3.73,4.19,3370
2007-12-12,4.1,4.1,4.1,4.1,231
2007-12-13,4.08,4.08,4.08,4.08,122
2007-12-14,3.9,4.03,3.7,4.03,948
2007-12-17,4.06,4.06,3.62,3.62,110
2007-12-18,3.7,3.7,3.7,3.7,130
2007-12-19,3.98,3.98,3.98,3.98,90
2007-12-20,4.1,4.1,4.1,4.1,100
2007-12-21,4.08,4.08,4.07,4.07,500
2007-12-27,4.1,4.1,4.0,4.0,134
2007-12-28,4.09,4.09,3.61,4.04,648
2008-01-02,4.03,4.03,4.03,4.03,217
2008-01-03,3.91,3.91,3.9,3.9,280
2008-01-04,3.99,3.99,3.99,3.99,100
2008-01-07,3.9,3.9,3.56,3.56,1574
2008-01-08,3.9,3.9,3.9,3.9,200
2008-01-09,3.85,3.85,3.85,3.85,100
2008-01-10,3.85,3.85,3.85,3.85,100
2008-01-11,3.8,3.8,3.8,3.8,100
2008-01-14,3.8,3.8,3.8,3.8,800
2008-01-15,3.8,3.8,3.8,3.8,100
2008-01-16,3.55,3.55,3.55,3.55,420
2008-01-17,3.55,3.55,3.55,3.55,509
2008-01-18,3.55,3.88,3.4,3.88,240
2008-01-21,3.87,3.95,3.87,3.95,370
2008-01-23,3.8,3.8,3.8,3.8,100
2008-01-24,3.88,3.88,3.88,3.88,100
2008-01-25,4.09,4.47,3.51,3.51,4174
2008-01-28,3.6,3.6,3.3,3.6,2324
2008-01-29,3.79,3.79,3.79,3.79,125
2008-01-30,3.79,3.79,3.79,3.79,100
2008-01-31,3.68,3.68,3.68,3.68,100
2008-02-01,3.68,3.68,3.68,3.68,50
2008-02-04,3.68,3.68,3.68,3.68,74
2008-02-05,3.68,3.8,3.68,3.8,3250
2008-02-06,3.9,3.9,3.9,3.9,100
2008-02-08,3.51,3.51,3.51,3.51,774
2008-02-11,3.7,3.7,3.7,3.7,50
2008-02-12,3.7,3.7,3.69,3.69,130
2008-02-13,3.69,3.69,3.69,3.69,300
2008-02-14,3.84,3.84,3.84,3.84,50
2008-02-18,3.84,3.84,3.84,3.84,50
2008-02-19,3.84,3.84,3.84,3.84,584
2008-02-20,3.4,3.84,3.4,3.84,15327
2008-02-21,3.8,3.94,3.8,3.94,1052
2008-02-22,3.94,3.94,3.42,3.42,26
2008-02-25,3.42,3.89,3.42,3.8,1124
2008-02-26,3.62,3.62,3.62,3.62,45
2008-02-27,3.7,3.7,3.7,3.7,215
2008-02-28,3.65,3.65,3.65,3.65,265
2008-02-29,3.77,3.77,3.77,3.77,150
2008-03-03,3.84,3.84,3.6,3.6,210
2008-03-05,3.52,3.52,3.52,3.52,200
2008-03-07,3.68,3.68,3.68,3.68,100
2008-03-10,3.68,3.68,3.68,3.68,2241
2008-03-11,3.68,3.68,3.68,3.68,250
2008-03-12,3.68,3.68,3.68,3.68,309
2008-03-13,3.6,3.6,3.58,3.58,180
2008-03-14,3.5,3.5,3.5,3.5,500
2008-03-17,3.54,3.55,3.11,3.11,4164
2008-03-18,3.48,3.48,3.48,3.48,100
2008-03-19,3.2,3.2,3.2,3.2,500
2008-03-25,3.56,3.56,3.56,3.56,100
2008-03-26,3.22,3.48,3.2,3.48,551
2008-03-27,3.28,3.28,3.28,3.28,100
2008-03-28,3.32,3.32,3.28,3.28,202
2008-03-31,3.35,3.35,3.35,3.35,100
2008-04-01,3.3,3.3,3.3,3.3,100
2008-04-02,3.28,3.28,2.72,3.0,489
2008-04-03,3.0,3.52,3.0,3.52,901
2008-04-07,3.38,3.99,3.3,3.3,1103
2008-04-08,3.95,3.95,3.2,3.7,948
2008-04-09,3.79,3.79,3.79,3.79,3
2008-04-10,3.52,3.78,3.25,3.78,1932
2008-04-11,3.3,3.3,3.08,3.08,1219
2008-04-14,3.11,3.62,3.11,3.62,882
2008-04-15,3.72,3.72,3.72,3.72,10
2008-04-21,3.3,3.57,3.3,3.57,123
2008-04-24,3.3,3.3,3.3,3.3,100
2008-04-28,3.2,3.2,3.2,3.2,358
2008-04-29,3.2,3.2,3.2,3.2,100
2008-04-30,3.2,3.2,3.2,3.2,466
2008-05-05,3.2,3.2,3.2,3.2,1
2008-05-08,2.69,2.69,2.69,2.69,39
2008-05-09,3.47,3.74,3.18,3.2,4066
2008-05-12,3.2,3.79,3.0,3.14,7539
2008-05-13,3.3,3.3,3.2,3.2,651
2008-05-14,3.2,3.36,3.2,3.36,610
2008-05-15,3.06,3.33,3.06,3.3,45405
2008-05-16,3.4,3.4,3.15,3.2,9320
2008-05-19,3.4,3.49,3.4,3.49,3190
2008-05-20,3.35,3.4,3.35,3.4,3550
2008-05-27,3.33,3.33,3.3,3.3,1079
2008-05-28,3.4,3.4,3.4,3.4,50
2008-05-30,3.4,3.4,3.4,3.4,50
2008-06-02,3.38,3.38,3.38,3.38,500
2008-06-04,3.3,3.3,2.91,3.3,1014
2008-06-05,3.3,3.3,3.0,3.0,1620
2008-06-06,3.27,3.27,3.27,3.27,100
2008-06-10,3.0,3.0,3.0,3.0,100
2008-06-11,3.0,3.0,3.0,3.0,100
2008-06-12,2.99,2.99,2.98,2.98,490
2008-06-13,3.15,3.15,3.13,3.13,140
2008-07-01,2.82,2.82,2.82,2.82,100
2008-07-02,3.15,3.15,3.15,3.15,50
2008-07-04,3.05,3.09,3.05,3.09,330
2008-07-07,2.6,2.6,2.6,2.6,280
2008-07-08,3.0,3.0,3.0,3.0,50
2008-07-16,2.7,2.96,2.42,2.96,80343
2008-07-23,2.5,2.8,2.5,2.8,1201
2008-07-30,2.26,2.69,2.26,2.69,2781
2008-08-01,2.35,2.69,2.35,2.69,12
2008-08-04,2.69,2.69,2.69,2.69,370
2008-08-05,2.35,3.09,2.35,3.09,1591
2008-08-08,2.5,2.54,2.48,2.54,1190
2008-08-13,2.55,2.55,2.55,2.55,20
2008-08-14,2.4,2.4,2.4,2.4,300
2008-08-18,2.4,2.69,2.4,2.69,20
2008-08-21,2.6,2.6,2.6,2.6,1500
2008-08-25,2.35,2.35,2.33,2.33,1122
2008-08-26,2.35,2.46,1.91,2.46,498
2008-09-01,2.01,2.42,2.0,2.42,362
2008-09-02,2.2,2.46,2.2,2.4,404
2008-09-04,2.1,2.4,2.1,2.4,160
2008-09-05,2.22,2.3,2.22,2.3,2200
2008-09-08,2.3,2.3,2.3,2.3,4000
2008-09-09,2.2,2.2,2.2,2.2,1450
2008-09-10,2.3,2.3,2.3,2.3,950
2008-09-11,2.05,2.3,2.05,2.3,3850
2008-09-17,2.0,2.29,1.95,2.29,4220
2008-09-18,1.9,2.2,1.9,2.2,167
2008-09-24,2.0,2.19,2.0,2.19,1095
2008-09-25,2.0,2.19,2.0,2.19,1190
2008-09-29,2.19,2.3,2.19,2.25,80000
2008-10-01,2.32,2.32,2.32,2.32,500
2008-10-06,2.21,2.32,1.9,2.32,2686
2008-10-08,2.0,2.2,2.0,2.0,9105
2008-10-09,1.81,2.19,1.81,2.19,750
2008-10-10,2.19,2.19,2.19,2.19,100
2008-10-13,2.19,2.19,2.19,2.19,500
2008-10-16,1.81,1.81,1.8,1.8,2150
2008-10-17,1.8,1.8,1.8,1.8,5300
2008-10-21,2.16,2.16,2.16,2.16,20
2008-10-24,1.82,1.82,1.82,1.82,200
2008-10-27,1.7,2.13,1.7,2.13,20
2008-10-28,1.72,2.13,1.72,2.13,110
2008-11-12,2.2,2.2,2.2,2.2,1
2008-11-14,2.08,2.08,2.08,2.08,100
2008-11-18,1.83,1.99,1.77,1.99,710
2008-11-20,1.78,1.99,1.78,1.99,280
2008-11-24,1.6,1.99,1.6,1.99,393
2008-11-25,1.61,1.96,1.61,1.96,270
2008-11-28,1.65,1.93,1.62,1.93,430
2008-12-04,1.89,1.89,1.89,1.89,50
2008-12-08,1.89,1.9,1.89,1.9,400
2008-12-18,1.89,1.89,1.89,1.89,60
2008-12-29,1.8,1.8,1.8,1.8,500
2009-01-07,1.79,1.79,1.79,1.79,1100
2009-01-09,1.45,1.74,1.45,1.74,947
2009-01-27,1.4,1.4,1.39,1.39,110
2009-01-28,1.49,1.65,1.13,1.65,1820
2009-02-04,1.32,1.65,1.32,1.65,110
2009-02-10,1.35,1.65,1.35,1.65,160
2009-02-11,1.35,1.65,1.35,1.65,410
2009-02-12,1.35,1.65,1.35,1.65,307
2009-02-16,1.37,1.64,1.37,1.64,1110
2009-02-17,1.37,1.64,1.33,1.64,1440
2009-02-19,1.55,1.61,1.55,1.61,1000
2009-02-20,1.4,1.63,1.4,1.63,510
2009-02-23,1.34,1.6,1.34,1.6,205
2009-02-25,1.4,1.57,1.4,1.57,6015
2009-03-05,1.36,1.56,1.36,1.36,4270
