Date,Open,High,Low,Close,Volume
1994-10-26,11.8345,11.8345,11.8345,11.8345,36114.01926689965
1994-10-27,10.6936,10.6936,10.6936,10.6936,166669.65042814057
1994-10-28,10.7776,10.7776,10.7776,10.7776,127909.47242227594
1994-11-02,11.8345,11.8345,11.8345,11.8345,100360.80644253876
1994-11-03,11.8345,11.8345,11.8345,11.8345,104040.9435962275
1994-11-04,11.2847,11.2847,11.2847,11.2847,63734.960485326505
1994-11-07,10.9891,10.9891,10.9891,10.9891,76863.97884403724
1994-11-08,10.8623,10.8623,10.8623,10.8623,54330.32942644102
1994-11-09,10.8623,10.8623,10.8623,10.8623,73244.31689006845
1994-11-10,10.5667,10.5667,10.5667,10.5667,64180.41195643432
1994-11-14,9.50984,9.50984,9.50984,9.50984,73865.2939408512
1994-11-15,8.58034,8.58034,8.58034,8.58034,153080.43054960982
1994-11-16,8.15728,8.15728,8.15728,8.15728,174468.0011822697
1994-11-17,8.96066,8.96066,8.96066,8.96066,174031.3997403892
1994-11-18,8.53825,8.53825,8.53825,8.53825,97459.47186085313
1994-11-21,8.02981,8.02981,8.02981,8.02981,125337.06392687188
1994-11-22,7.22777,7.22777,7.22777,7.22777,218760.9224600728
1994-11-23,7.60809,7.60809,7.60809,7.60809,96360.59323179576
1994-11-24,7.56538,7.56538,7.56538,7.56538,45256.09945870834
1994-11-25,7.65015,7.65015,7.65015,7.65015,57042.863384610784
1994-11-28,8.41089,8.41089,8.41089,8.41089,74933.19746761299
1994-11-29,9.21487,9.21487,9.21487,9.21487,150525.72211266038
1994-11-30,10.1016,10.1016,10.1016,10.1016,204512.3754041076
1994-12-01,11.0739,11.0739,11.0739,11.0739,164896.6945729366
1994-12-02,11.0739,11.0739,11.0739,11.0739,216201.7890085097
1994-12-05,10.5667,10.5667,10.5667,10.5667,169814.36081357716
1994-12-06,11.0739,11.0739,11.0739,11.0739,184722.2350469767
1994-12-07,9.9756,9.9756,9.9756,9.9756,152450.60346959977
1994-12-08,9.00266,9.00266,9.00266,9.00266,0.0
1994-12-09,8.36813,8.36813,8.36813,8.36813,174942.9527508019
1994-12-12,9.17211,9.17211,9.17211,9.17211,422571.19554548064
1994-12-13,9.08743,9.08743,9.08743,9.08743,125562.73967216825
1994-12-14,8.79121,8.79121,8.79121,8.79121,128946.40084674214
1994-12-15,9.17211,9.17211,9.17211,9.17211,105805.04942220412
1994-12-16,9.67929,9.67929,9.67929,9.67929,94425.38684075784
1994-12-19,10.1016,10.1016,10.1016,10.1016,164221.1423419188
1994-12-20,9.72071,9.72071,9.72071,9.72071,89136.01937257037
1994-12-21,9.80606,9.80606,9.80606,9.80606,61498.853100560125
1994-12-22,9.89016,9.89016,9.89016,9.89016,63919.33609422875
1994-12-23,10.1437,10.1437,10.1437,10.1437,83343.67524329759
1994-12-27,10.1437,10.1437,10.1437,10.1437,81921.7705474435
1994-12-28,9.72071,9.72071,9.72071,9.72071,59628.54692385581
1994-12-29,9.93351,9.93351,9.93351,9.93351,77830.10703468499
1995-01-02,10.4819,10.4819,10.4819,10.4819,56905.68793158751
1995-01-03,10.8623,10.8623,10.8623,10.8623,158478.94837826744
1995-01-04,10.5667,10.5667,10.5667,10.5667,156767.94272765462
1995-01-05,10.9043,10.9043,10.9043,10.9043,122148.10339529872
1995-01-06,9.93351,9.93351,9.93351,9.93351,65190.79029321859
1995-01-09,10.3132,10.3132,10.3132,10.3132,39369.35501767762
1995-01-10,10.1437,10.1437,10.1437,10.1437,78961.43577090914
1995-01-11,9.93351,9.93351,9.93351,9.93351,54569.28021557833
1995-01-12,9.9756,9.9756,9.9756,9.9756,77846.33208826838
1995-01-13,10.44,10.44,10.44,10.44,70255.95702098095
1995-01-16,10.3552,10.3552,10.3552,10.3552,62044.60490291075
1995-01-17,10.5667,10.5667,10.5667,10.5667,222917.48618716488
1995-01-18,10.5667,10.5667,10.5667,10.5667,166467.5747607837
1995-01-19,10.7776,10.7776,10.7776,10.7776,91763.0030482095
1995-01-20,10.4819,10.4819,10.4819,10.4819,51946.72155455285
1995-01-23,9.9756,9.9756,9.9756,9.9756,43609.99402242914
1995-01-24,9.67929,9.67929,9.67929,9.67929,80275.66511116432
1995-01-25,9.67929,9.67929,9.67929,9.67929,101406.58489623228
1995-01-26,9.46842,9.46842,9.46842,9.46842,58250.89237413826
1995-01-27,9.17211,9.17211,9.17211,9.17211,37997.60048744494
1995-01-30,8.28469,8.28469,8.28469,8.28469,69950.63101263883
1995-01-31,8.24197,8.24197,8.24197,8.24197,167069.3767482406
1995-02-01,8.62234,8.62234,8.62234,8.62234,61467.87799826455
1995-02-02,7.86166,7.86166,7.86166,7.86166,101826.9612845294
1995-02-03,7.69219,7.69219,7.69219,7.69219,50762.29264296486
1995-02-06,8.45356,8.45356,8.45356,8.45356,24547.031066808693
1995-02-07,9.29897,9.29897,9.29897,9.29897,276600.2884751412
1995-02-08,9.29897,9.29897,9.29897,9.29897,206426.9317269485
1995-02-09,9.29897,9.29897,9.29897,9.29897,105501.19841873326
1995-02-10,8.87597,8.87597,8.87597,8.87597,50133.940567826015
