Date,Open,High,Low,Close,Volume
2010-02-12,153.05,153.05,153.05,153.05,256
2010-02-18,152.26,152.26,152.26,152.26,174
2010-02-19,151.78,152.37,151.78,151.82,101
2010-02-22,151.06,151.06,150.9,150.9,154
2010-02-23,152.63,152.63,152.59,152.63,338
2010-02-24,152.75,152.75,151.97,151.97,143
2010-02-25,152.12,152.12,152.12,152.12,263
2010-02-26,150.53,150.91,150.53,150.91,128
2010-03-01,149.76,149.96,149.76,149.96,72
2010-03-02,149.57,149.57,149.57,149.57,174
2010-03-03,148.94,148.94,148.94,148.94,20
2010-03-04,148.66,148.66,148.66,148.66,77
2010-03-05,147.43,147.43,147.43,147.43,133
2010-03-08,147.03,147.03,147.03,147.03,72
2010-03-09,147.08,147.08,147.08,147.08,123
2010-03-10,150.13,150.13,150.13,150.13,51
2010-03-11,150.94,150.94,150.94,150.94,61
2010-03-12,150.34,150.34,150.34,150.34,20
2010-03-15,150.56,150.56,150.56,150.56,151
2010-03-16,149.84,149.84,149.84,149.84,172
2010-03-17,149.29,149.29,149.29,149.29,164
2010-03-18,149.8,149.8,149.8,149.8,118
2010-03-19,150.36,150.36,150.36,150.36,131
2010-03-22,150.45,150.45,150.07,150.07,159
2010-03-23,149.88,149.88,149.88,149.88,115
2010-03-24,149.9,149.9,149.9,149.9,82
2010-03-25,149.59,149.59,149.59,149.59,20
2010-03-26,150.55,150.55,150.55,150.55,10
2010-03-29,149.73,149.73,149.73,149.73,105
2010-03-30,149.23,149.23,149.23,149.23,190
2010-03-31,148.74,148.74,148.74,148.74,51
2010-04-01,149.33,149.33,149.33,149.33,82
2010-04-07,148.7,148.7,147.58,147.58,68
2010-04-08,149.48,149.48,149.48,149.48,92
2010-04-09,150.39,150.39,150.39,150.39,72
2010-04-12,150.15,150.15,150.15,150.15,102
2010-04-13,151.28,151.28,149.77,149.77,82
2010-04-14,149.3,149.3,149.3,149.3,51
2010-04-15,149.15,149.15,149.15,149.15,82
2010-04-16,151.36,151.36,151.36,151.36,92
2010-04-19,151.34,151.92,151.34,151.34,76
2010-04-20,150.6,151.73,150.6,151.73,69
2010-04-21,151.16,151.16,151.16,151.16,41
2010-04-22,152.81,152.81,151.86,151.86,140
2010-04-23,151.93,151.93,151.93,151.93,381
2010-04-26,150.48,150.48,150.48,150.48,31
2010-04-27,152.25,152.25,152.25,152.25,79
2010-04-28,152.25,152.25,152.25,152.25,56
2010-04-29,152.81,152.81,152.81,152.81,805
2010-04-30,153.22,153.41,153.22,153.41,1146
2010-05-03,153.65,153.65,153.65,153.65,51
2010-05-04,155.47,155.86,155.47,155.86,2469
2010-05-05,158.33,158.33,158.33,158.33,521
2010-05-06,161.82,162.44,160.81,161.82,963
2010-05-07,161.7,161.7,160.48,160.48,696
2010-05-10,156.86,156.86,156.47,156.86,606
2010-05-11,156.16,156.16,155.38,155.38,1477
2010-05-12,154.85,154.85,154.85,154.85,836
2010-05-13,153.21,153.21,152.83,152.83,819
2010-05-14,155.43,155.43,155.23,155.23,1433
2010-05-17,156.42,156.42,156.23,156.23,128
2010-05-18,156.29,156.49,156.29,156.49,901
2010-05-19,160.73,160.73,159.53,159.53,528
2010-05-20,163.41,163.41,161.37,161.78,1043
2010-05-21,161.99,161.99,160.78,160.78,392
2010-05-24,159.38,159.38,159.38,159.38,519
2010-05-25,162.49,162.49,162.49,162.49,940
2010-05-26,159.97,159.97,159.97,159.97,1485803
2010-05-27,158.88,158.92,158.52,158.92,1137
2010-05-28,159.5,159.5,159.5,159.5,894
2010-05-31,159.03,159.03,159.03,159.03,60
2010-06-01,158.96,159.76,158.96,159.76,753
2010-06-02,159.19,159.99,159.19,159.99,2359
2010-06-03,160.23,160.23,159.83,159.83,883
2010-06-04,162.09,162.09,161.88,161.88,1229
2010-06-07,161.92,161.92,160.7,160.7,1441
2010-06-08,161.21,161.21,161.21,161.21,518
2010-06-09,159.94,160.35,159.94,160.35,144
