Date,Open,High,Low,Close,Volume
2024-05-31,3.85,4.11,3.841,4.048,9364373
2024-06-03,4.05,4.113,3.981,4.059,3965615
2024-06-04,4.06,4.086,3.97,3.995,2167325
2024-06-05,3.941,4.02,3.927,3.999,1630187
2024-06-06,4.0,4.069,3.965,3.98,2000438
2024-06-07,3.951,3.983,3.882,3.95,1635698
2024-06-10,3.948,3.972,3.886,3.95,2214865
2024-06-11,3.95,3.95,3.812,3.815,2227480
2024-06-12,3.852,3.932,3.831,3.916,1606115
2024-06-13,3.88,3.9,3.828,3.848,1237710
2024-06-14,3.848,3.876,3.781,3.85,1420372
2024-06-17,3.831,3.93,3.831,3.9,1623927
2024-06-18,3.877,3.972,3.862,3.9,1860244
2024-06-19,3.899,3.973,3.89,3.973,1621502
2024-06-20,3.95,4.024,3.92,3.949,2505478
2024-06-21,3.916,3.996,3.912,3.97,5457282
2024-06-24,3.95,4.018,3.943,3.96,2504429
2024-06-25,3.956,3.997,3.89,3.91,1883814
2024-06-26,3.906,3.95,3.878,3.89,2042212
2024-06-27,3.901,4.024,3.889,3.956,4982837
2024-06-28,3.956,3.992,3.935,3.96,1738645
2024-07-01,4.01,4.025,3.98,3.998,2519921
2024-07-02,3.989,3.993,3.911,3.938,1601273
2024-07-03,3.943,4.09,3.943,4.01,3543370
2024-07-04,4.002,4.044,3.932,3.935,1453756
2024-07-05,3.935,3.966,3.841,3.879,2848780
2024-07-08,3.88,3.896,3.81,3.843,1706531
2024-07-09,3.85,3.918,3.818,3.918,4080762
2024-07-10,3.91,3.938,3.858,3.866,576769
2024-07-11,3.861,3.896,3.823,3.872,1548146
2024-07-12,3.87,3.886,3.836,3.85,1726857
2024-07-15,3.85,3.85,3.811,3.817,749958
2024-07-16,3.817,3.848,3.721,3.761,3043084
2024-07-17,3.796,3.807,3.652,3.8,2967048
2024-07-18,3.8,3.822,3.734,3.8,6783367
2024-07-19,3.8,3.811,3.736,3.809,1521289
2024-07-22,3.81,3.81,3.735,3.8,1670169
2024-07-23,3.79,3.802,3.733,3.76,1038266
2024-07-24,3.74,3.775,3.73,3.76,954062
2024-07-25,3.709,3.734,3.678,3.728,865312
2024-07-26,3.736,3.788,3.716,3.788,1185041
2024-07-29,3.78,3.85,3.769,3.816,919963
2024-07-30,3.77,3.82,3.767,3.809,1223551
2024-07-31,3.809,3.827,3.774,3.798,2162730
