Date,Open,High,Low,Close,Volume
2025-05-27,192.163,196.82,191.603,194.906,633750
2025-05-28,194.685,197.266,194.49,196.586,514203
2025-05-29,196.145,197.406,196.096,196.476,465906
2025-05-30,196.476,198.857,196.311,198.732,676610
2025-06-02,198.247,199.197,196.125,197.506,591402
2025-06-03,197.036,197.177,194.055,194.876,757722
2025-06-04,195.827,197.496,194.56,195.846,557104
2025-06-05,196.586,196.646,194.955,195.386,624138
2025-06-06,195.566,196.316,194.896,195.085,375810
2025-06-09,194.085,195.085,191.268,192.744,543296
2025-06-10,192.595,193.074,191.083,192.134,473578
2025-06-11,192.084,195.305,191.343,194.876,731634
2025-06-12,194.825,197.276,194.825,197.187,776282
2025-06-13,195.976,197.437,195.105,195.285,737588
2025-06-16,196.256,197.442,195.325,196.316,447957
2025-06-17,195.905,196.736,194.55,196.125,474896
2025-06-18,196.336,197.116,195.235,196.046,581225
2025-06-20,196.206,196.551,193.72,193.935,638205
2025-06-23,194.435,196.185,193.395,195.976,453849
2025-06-24,197.015,198.006,195.131,197.276,447064
2025-06-25,196.706,196.886,195.381,195.816,361962
2025-06-26,196.686,197.606,195.816,197.287,448059
2025-06-27,197.227,198.751,195.485,198.016,418290
2025-06-30,198.927,201.348,197.896,201.217,415456
2025-07-01,200.527,202.269,199.106,201.758,519151
2025-07-02,201.048,201.048,197.096,198.767,667846
2025-07-03,199.028,201.248,198.997,201.168,401666
2025-07-07,200.738,202.338,198.817,201.227,584740
2025-07-08,201.558,202.418,199.626,200.418,387646
2025-07-09,199.897,200.998,199.778,200.098,453114
2025-07-10,199.937,202.318,199.298,201.667,440788
2025-07-11,201.433,201.433,199.137,199.257,799962
2025-07-14,204.349,218.516,203.589,214.304,6015249
2025-07-15,214.304,215.084,210.292,210.481,3335481
2025-07-16,210.971,212.322,206.75,211.323,1915835
2025-07-17,211.833,211.942,209.027,209.362,1330767
2025-07-18,211.172,211.552,208.936,209.381,1241169
2025-07-21,209.992,209.992,203.439,203.518,1996116
2025-07-22,203.379,204.531,201.998,202.709,1122004
2025-07-23,202.799,204.724,202.418,203.589,1223361
2025-07-24,204.26,205.814,203.379,205.629,1186172
2025-07-25,204.729,206.541,203.148,203.539,23367263
2025-07-28,203.399,204.39,200.248,200.868,1554389
2025-07-29,202.258,202.258,199.137,200.287,1080804
2025-07-30,198.747,201.639,198.747,199.858,946117
2025-07-31,197.726,201.998,197.726,200.998,1237522
2025-08-01,204.55,204.55,200.108,201.168,1278427
2025-08-04,202.409,204.12,202.089,203.909,661360
2025-08-05,202.848,204.159,199.02,199.908,1430090
2025-08-06,203.518,203.518,178.618,180.049,4095763
2025-08-07,181.308,182.919,178.679,181.639,1778405
2025-08-08,181.169,183.06,179.448,180.039,1328678
2025-08-11,180.039,180.039,174.287,174.847,1752356
2025-08-12,174.307,174.542,169.674,170.385,2098362
2025-08-13,169.764,170.775,167.652,169.804,1568478
2025-08-14,169.824,170.695,167.854,167.884,1214045
2025-08-15,169.023,173.225,168.394,171.395,1222097
2025-08-18,172.295,174.457,171.715,173.015,1024178
2025-08-19,173.965,176.243,173.167,175.632,1314562
2025-08-20,176.405,178.221,176.344,176.444,1195509
2025-08-21,175.601,176.987,174.668,176.765,986487
2025-08-22,177.839,179.778,177.308,179.235,1232740
2025-08-25,178.453,180.229,177.348,177.358,849673
2025-08-26,177.037,178.301,175.009,175.772,904988
2025-08-27,173.663,176.625,173.663,175.55,830863
2025-08-28,177.146,179.165,176.41,178.944,1354004
2025-08-29,177.338,179.486,177.006,178.291,1128126
2025-09-02,178.301,178.714,176.847,178.332,842196
2025-09-03,177.921,179.653,177.578,178.182,1098233
