Date,Open,High,Low,Close,Volume
2025-05-27,9.19057,9.26732,9.09463,9.17138,9880.65
2025-05-28,9.11382,9.1522,9.05626,9.05626,7928.28
2025-05-29,9.07545,9.09463,8.96033,9.01789,10198.5
2025-05-30,9.01789,9.09463,8.86439,9.09463,2686.19
2025-06-02,9.09463,9.09463,8.96033,8.96033,3871.37
2025-06-03,8.96033,9.57431,8.94114,9.55512,77493.1
2025-06-04,9.55512,10.6488,9.55512,10.313,21521.8
2025-06-05,10.361,10.5528,9.78537,10.1211,9356.33
2025-06-06,9.97724,10.0252,9.64146,10.0252,5715.33
2025-06-09,10.4569,10.4569,10.0732,10.0732,1652.16
2025-06-10,9.64146,9.97724,9.64146,9.83333,5326.52
2025-06-11,9.78537,10.0732,9.5935,10.0732,7123.57
2025-06-12,9.68943,10.2171,9.68943,10.2171,5084.69
2025-06-13,10.1691,10.313,9.78537,9.97724,2129.56
2025-06-16,9.97724,10.313,9.8813,10.0732,6507.53
2025-06-17,10.0732,10.5528,9.8813,10.5528,9638.82
2025-06-18,9.57431,10.7447,9.20976,10.5049,16515.3
2025-06-20,10.4569,10.4569,9.64146,10.361,3216.76
2025-06-23,10.4569,10.5528,10.2171,10.4569,2704.95
2025-06-24,10.265,10.9366,10.2171,10.4569,5593.37
2025-06-25,10.8407,10.8407,10.2171,10.6967,9563.77
2025-06-26,10.1691,10.6967,10.0732,10.1691,6096.83
2025-06-27,10.0732,10.5049,10.0732,10.5049,3080.21
2025-06-30,10.7927,10.7927,10.265,10.5528,3174.02
2025-07-01,10.5528,10.5528,10.4569,10.5528,131.338
2025-07-02,10.6008,10.8407,10.5528,10.8407,2687.23
2025-07-03,10.7447,10.7447,10.5528,10.5528,1891.9
2025-07-04,10.5528,10.8886,10.361,10.7927,1481.21
2025-07-07,10.8886,11.0805,10.5528,10.8886,2697.66
2025-07-08,10.7927,11.0325,10.5528,10.9846,1301.92
2025-07-09,11.0325,11.3683,10.7447,11.2244,6031.16
2025-07-10,11.2244,11.5122,11.1764,11.4642,3460.67
2025-07-11,11.5122,11.7041,11.3203,11.6561,5446.39
2025-07-14,11.7041,11.9439,11.6561,11.8959,5706.99
2025-07-15,11.8959,11.9919,11.4642,11.7041,3106.27
2025-07-16,11.4163,11.9439,11.3203,11.8,4483.24
2025-07-17,11.8,11.8,11.5122,11.8,3524.26
2025-07-18,11.8,11.8,11.3203,11.6081,2623.65
2025-07-21,11.4163,11.8,11.4163,11.8,7988.74
2025-07-22,11.752,11.848,11.5602,11.7041,4990.88
2025-07-23,11.752,11.9439,11.5122,11.5122,3921.4
