Date,Open,High,Low,Close,Volume
2024-05-31,530,532,520,522,45
2024-06-03,526,550,524,524,144
2024-06-04,524,540,524,526,63
2024-06-05,530,530,520,522,536
2024-06-06,524,532,524,530,120
2024-06-07,526,538,526,528,66
2024-06-10,528,530,526,528,404
2024-06-11,524,528,520,528,207
2024-06-12,520,530,520,520,29
2024-06-13,512,524,492,524,231
2024-06-14,506,510,506,510,54
2024-06-17,510,516,510,516,77
2024-06-18,516,536,516,524,1805
2024-06-19,534,540,534,540,364
2024-06-20,540,542,530,540,142
2024-06-21,550,580,538,570,1018
2024-06-24,572,580,546,570,954
2024-06-25,570,576,560,576,411
2024-06-26,580,582,554,582,243
2024-06-27,582,598,570,584,906
2024-06-28,590,596,576,580,2853
2024-07-01,596,600,580,596,4826
2024-07-02,592,592,576,584,67
2024-07-03,574,588,570,580,460
2024-07-04,574,586,574,582,1147
2024-07-05,574,582,574,582,31
2024-07-08,582,604,578,604,635
2024-07-09,604,604,594,600,728
2024-07-10,592,600,584,584,19
2024-07-11,584,590,582,584,58
2024-07-12,578,584,578,580,76
2024-07-15,590,590,556,570,512
2024-07-16,564,564,544,552,185
2024-07-17,552,566,542,550,895
2024-07-18,550,566,550,566,118
2024-07-19,564,564,550,550,3
2024-07-22,550,550,548,548,52
2024-07-23,544,544,520,530,146
2024-07-24,536,540,536,540,43
2024-07-25,526,536,524,536,20
2024-07-26,530,540,504,520,191
2024-07-29,520,532,514,532,32
2024-07-30,532,534,532,532,16
2024-07-31,532,534,520,534,12
2024-08-01,520,532,510,530,117
2024-08-02,528,528,510,510,52
2024-08-05,498,498,475,495,395
2024-08-06,495,498,478,482,125
2024-08-07,488,518,488,510,93
2024-08-08,514,520,500,520,99
2024-08-09,502,510,472,497,128
2024-08-12,508,510,506,506,29
2024-08-13,500,512,500,512,20
2024-08-14,512,512,504,506,69
2024-08-16,510,520,500,520,71
2024-08-19,520,534,512,532,189
2024-08-20,534,534,524,530,46
2024-08-21,530,530,528,528,41
2024-08-22,534,536,530,530,33
2024-08-23,524,528,522,528,9
2024-08-26,526,530,516,530,37
2024-08-27,520,520,512,520,32
2024-08-28,520,520,510,510,12
2024-08-29,510,518,506,518,18
2024-08-30,518,520,506,518,21
2024-09-02,516,516,512,512,27
2024-09-03,510,518,506,518,43
2024-09-04,518,518,508,514,7
2024-09-05,510,516,508,514,53
2024-09-06,512,512,508,508,25
2024-09-09,506,506,490,504,101
2024-09-10,508,508,493,502,25
2024-09-11,508,508,494,504,7
2024-09-12,504,504,500,500,38
2024-09-13,500,500,481,497,75
2024-09-16,484,497,484,485,105
2024-09-17,486,492,480,490,109
2024-09-18,482,487,475,475,85
2024-09-19,475,484,464,484,198
2024-09-20,484,484,463,463,135
2024-09-23,468,475,459,475,129
2024-09-24,465,466,457,460,234
2024-09-25,459,465,440,465,375
2024-09-26,465,472,465,468,32
2024-09-27,468,468,460,468,313
2024-09-30,468,468,460,468,89
2024-10-01,468,468,466,468,30
2024-10-02,466,466,457,466,28
2024-10-03,466,466,450,459,80
2024-10-04,452,461,450,461,55
2024-10-07,453,453,450,451,262
2024-10-08,452,455,450,452,53
2024-10-09,449,460,447,460,41
2024-10-10,460,460,451,460,17
2024-10-11,451,459,451,459,17
2024-10-14,450,460,445,450,178
2024-10-15,456,456,443,445,169
2024-10-16,445,450,443,443,216
2024-10-17,445,445,441,443,74
2024-10-18,443,444,439,444,95
2024-10-21,445,453,445,446,36
2024-10-22,454,454,438,438,39
2024-10-23,441,452,438,445,15
2024-10-24,445,445,441,445,36
