Date,Open,High,Low,Close,Volume
2024-05-31,7.83162,8.44374,7.83162,8.10168,28277.482533781
2024-06-03,8.10168,8.10168,8.08367,8.08367,649.86553848996
2024-06-04,8.02966,8.10168,7.84962,7.88563,3401.5184253953
2024-06-05,8.04767,8.10168,8.01165,8.02966,1295.2875519304
2024-06-06,8.02966,8.10168,8.02966,8.10168,2601.6839164846
2024-06-07,8.04767,8.04767,7.92165,8.01165,1154.2056316087
2024-06-10,8.01165,8.06567,7.97565,7.97565,1690.7612813363
2024-06-11,8.04767,8.04767,7.93964,7.93964,3258.2147425488
2024-06-12,7.95764,7.99366,7.86763,7.86763,1671.8762998759
2024-06-13,7.92165,7.92165,7.77761,7.77761,2340.6268198262
2024-06-14,7.7596,7.93964,7.7596,7.93964,1840.730251757
2024-06-17,7.93964,8.80382,7.93964,8.78583,25454.733246084
2024-06-18,8.80382,8.89383,8.74981,8.82182,12210.806836037
2024-06-19,8.89383,8.94785,8.55177,8.60579,11756.456399725
2024-06-20,8.74981,8.87583,8.56977,8.58777,4527.9520254446
2024-06-21,8.83983,8.85784,8.82182,8.83983,1140.8750564601
2024-06-24,8.73181,8.83983,8.73181,8.74981,2593.907747648
2024-06-25,8.76781,8.87583,8.62378,8.64178,2590.5751038608
2024-06-26,8.82182,8.89383,8.82182,8.82182,804.27803396022
2024-06-27,8.80382,8.83983,8.7138,8.82182,1325.2813460146
2024-06-28,8.83983,9.36194,8.7138,9.09188,8731.5267222753
2024-07-01,9.09188,9.31683,8.86693,8.96066,8655.6458328951
2024-07-02,8.94191,8.94191,8.67946,8.94191,1321.8717104594
2024-07-03,8.90442,8.96066,8.81069,8.81069,1800.9035086808
2024-07-04,8.69821,8.81069,8.62323,8.79194,6057.7785084653
2024-07-05,8.77319,8.79194,8.64198,8.75445,1726.2214911407
2024-07-08,8.75445,8.79194,8.62323,8.62323,3005.4177630057
2024-07-09,8.62323,8.71695,8.45451,8.66071,9336.3190784747
2024-07-10,8.67946,8.79194,8.66071,8.79194,899.38486837552
2024-07-11,8.79194,8.94191,8.79194,8.90442,2617.0712717973
2024-07-12,8.90442,8.9794,8.81069,8.9794,1570.4561402714
2024-07-15,9.65427,10.3572,9.65427,10.3104,76984.357452243
2024-07-16,10.451,10.9665,10.3104,10.4978,65048.037277409
2024-07-17,10.7322,11.0134,9.93544,10.3104,28831.52631433
2024-07-18,10.2166,11.2008,9.93544,11.0602,26634.808112687
2024-07-19,11.0602,11.154,10.4041,10.6384,13776.698464215
2024-07-22,10.6384,10.6384,10.076,10.4041,22785.483551478
2024-07-23,10.2166,10.3104,9.88857,9.88857,15157.248902741
2024-07-24,9.93544,10.2635,9.93544,10.1229,3883.4649120841
2024-07-25,10.2166,10.2166,9.70113,9.8417,16889.871709671
2024-07-26,9.9823,9.9823,9.65427,9.93544,5464.5899120041
2024-07-29,10.2635,10.2635,10.0292,10.2166,39700.960524306
2024-07-30,10.2635,10.7322,10.1229,10.1229,37271.661182324
2024-07-31,10.0292,10.3104,10.0292,10.1229,4152.3201752284
2024-08-01,10.2166,10.2635,9.65427,9.79484,16956.018639492
2024-08-02,9.65427,9.8417,9.65427,9.8417,5338.6973681508
2024-08-05,9.56054,9.8417,8.99815,9.24185,56574.828944504
2024-08-06,9.18562,9.37307,9.18562,9.26059,10165.28947317
2024-08-07,9.35432,9.8417,9.27934,9.31683,5488.0614032309
2024-08-08,9.37307,9.748,9.26059,9.65427,2092.1633770871
2024-08-09,9.748,9.748,9.31683,9.56054,2664.0142542511
2024-08-12,9.56054,9.56054,9.33558,9.41994,4037.0964910237
2024-08-13,9.56054,9.748,9.37307,9.51367,5544.6063593684
2024-08-14,9.51367,9.748,9.11063,9.37307,10771.280701209
2024-08-16,9.56054,9.6074,9.14812,9.14812,13497.174341422
2024-08-19,9.33558,9.33558,9.18562,9.29809,1796.6359648213
2024-08-20,9.29809,9.29809,8.99815,9.18562,3658.351973499
2024-08-21,9.20435,9.31683,9.20435,9.27934,1546.9846490445
2024-08-22,9.27934,9.33558,9.20435,9.20435,1318.6710525648
2024-08-23,9.2231,9.2231,9.0169,9.16687,1153.3037280118
2024-08-26,9.09188,9.26059,9.09188,9.26059,1575.7905700957
2024-08-27,9.20435,9.26059,9.11063,9.18562,593.1885964612
2024-08-28,9.16687,9.24185,9.07314,9.24185,2014.2807016524
2024-08-29,9.11063,9.37307,9.11063,9.31683,6087.6513154813
2024-08-30,9.33558,9.93544,9.33558,9.748,6388.5131575713
2024-09-02,9.748,9.748,9.37307,9.6074,7030.778508416
2024-09-03,9.6074,9.6074,9.27934,9.41994,5708.9067979566
2024-09-04,9.37307,9.37307,9.09188,9.31683,3806.6491226143
2024-09-05,9.20435,9.37307,9.18562,9.18562,1938.5317981475
2024-09-06,9.26059,9.4668,9.14812,9.20435,8675.9166662274
2024-09-09,9.18562,9.35432,9.09188,9.09188,3890.9331138381
2024-09-10,9.18562,9.18562,9.05439,9.16687,3286.0087717635
2024-09-11,9.18562,9.20435,9.12938,9.12938,2744.0307016155
2024-09-12,9.12938,9.35432,8.99815,9.12938,6299.9616224881
2024-09-13,9.16687,9.37307,9.0169,9.27934,3816.251096298
2024-09-16,9.27934,9.65427,9.27934,9.51367,29528.202849382
2024-09-17,9.56054,9.65427,9.41994,9.6074,3322.2828945686
2024-09-18,9.6074,9.65427,9.41994,9.41994,1854.2478069237
2024-09-19,9.56054,9.6074,9.37307,9.4668,846.04057013261
2024-09-20,9.41994,9.51367,9.37307,9.37307,3355.3563594793
2024-09-23,9.26059,9.26059,8.71695,8.92317,22684.129384817
2024-09-24,8.90442,8.90442,8.71695,8.86693,6310.6304821367
2024-09-25,8.90442,8.92317,8.71695,8.90442,4232.3366225928
2024-09-26,8.92317,9.26059,8.77319,8.99815,9088.8015346276
2024-09-27,8.99815,9.4668,8.99815,9.41994,12044.075657285
2024-09-30,9.37307,9.37307,9.12938,9.14812,3277.4736840446
2024-10-01,9.56054,9.56054,9.16687,9.35432,27935.342103849
2024-10-02,9.37307,9.37307,9.16687,9.18562,1686.7467104409
2024-10-03,9.37307,9.37307,9.18562,9.33558,1357.0789472997
2024-10-04,9.33558,9.37307,9.20435,9.26059,831.10416662459
2024-10-07,9.27934,9.27934,9.14812,9.14812,1139.4342104686
2024-10-08,9.14812,9.4668,9.14812,9.37307,6897.4177628087
2024-10-09,9.2231,9.4668,9.2231,9.37307,2546.6567981167
2024-10-10,9.35432,9.37307,9.18562,9.37307,903.65241223495
2024-10-11,9.26059,9.37307,9.18562,9.27934,189.90570174477
2024-10-14,9.16687,9.37307,9.16687,9.35432,1346.4100876511
2024-10-15,9.18562,9.35432,9.18562,9.35432,305.12938594946
2024-10-16,9.18562,9.31683,9.09188,9.27934,3528.1918857863
2024-10-17,9.27934,9.35432,9.24185,9.35432,5355.7675435885
2024-10-18,9.20435,9.35432,9.18562,9.18562,959.13048240758
2024-10-21,9.20435,9.29809,9.20435,9.29809,2042.0197367387
2024-10-22,9.24185,9.29809,9.24185,9.24185,2948.8728068683
2024-10-23,9.24185,9.26059,9.24185,9.24185,825.7697368003
2024-10-24,9.24185,9.33558,9.24185,9.33558,125.89254385328
2024-10-25,9.33558,9.35432,9.20435,9.33558,1709.1513157029
2024-10-28,9.2231,9.2231,8.77319,8.96066,5070.9089909714
2024-10-29,8.82943,9.27934,8.82943,9.11063,6376.7774119579
2024-10-30,9.18562,9.33558,9.07314,9.18562,13655.073464221
2024-10-31,9.26059,9.29809,9.18562,9.18562,1298.4002192325
2024-11-04,9.18562,9.26059,9.18562,9.26059,35.207236840323
2024-11-05,9.16687,9.31683,9.14812,9.31683,1306.9353069514
2024-11-06,9.31683,9.31683,9.20435,9.31683,1311.2028508108
2024-11-07,9.2231,9.26059,9.18562,9.26059,13902.591008068
2024-11-08,9.26059,9.27934,9.18562,9.26059,785.22807013569
2024-11-12,9.27934,9.29809,9.18562,9.29809,8532.9539469364
2024-11-13,9.24185,9.24185,8.99815,8.99815,1304.8015350217
2024-11-14,8.99815,9.18562,8.99815,9.18562,2846.4517542419
2024-11-15,9.07314,9.07314,8.81069,8.99815,13211.24890284
2024-11-18,8.9794,9.2231,8.7357,8.75445,17229.141446496
2024-11-19,8.75445,8.99815,8.34203,8.36078,4800.9868418622
2024-11-20,8.36078,8.56699,7.68592,8.39827,20872.557016487
2024-11-21,8.43577,8.81069,8.39827,8.79194,2094.2971490168
2024-11-22,8.79194,8.79194,8.49201,8.71695,727.61622803334
2024-11-25,8.71695,8.79194,8.56699,8.7357,3775.7094296334
2024-11-26,8.66071,8.77319,8.58574,8.58574,937.79276311042
2024-11-27,8.56699,8.56699,8.56699,8.56699,724.41557013876
2024-11-28,8.54825,8.56699,8.54825,8.54825,307.26315787918
2024-11-29,8.64198,8.99815,8.62323,8.99815,17592.949560513
2024-12-02,8.99815,9.14812,8.62323,8.81069,4364.6304822352
2024-12-03,8.82943,9.09188,8.81069,8.86693,2272.4671051481
2024-12-04,9.09188,9.09188,9.03564,9.03564,375.54385963011
2024-12-05,9.07314,9.07314,8.45451,8.81069,3600.7401313967
2024-12-06,8.81069,9.07314,8.71695,8.81069,3880.2642541895
2024-12-09,8.81069,8.81069,8.51075,8.5295,7948.3004381941
2024-12-10,8.54825,8.56699,8.54825,8.56699,385.14583331384
2024-12-11,8.64198,8.67946,8.62323,8.67946,1400.8212718589
2024-12-12,8.60449,8.69821,8.60449,8.60449,4065.9024120749
2024-12-13,8.66071,8.66071,8.56699,8.58574,5768.6524119887
2024-12-16,8.58574,8.75445,8.58574,8.62323,1819.0405700833
2024-12-17,8.62323,8.64198,8.54825,8.64198,11576.779604677
2024-12-18,8.66071,8.77319,8.56699,8.77319,2370.6206139151
2024-12-19,8.66071,8.77319,8.58574,8.75445,3656.2182015693
2024-12-20,8.75445,8.77319,8.58574,8.77319,605.9912280395
2024-12-23,8.71695,8.75445,8.56699,8.64198,8874.3574556911
2024-12-27,8.77319,8.77319,8.56699,8.60449,4676.1611839738
2024-12-30,8.56699,8.71695,8.56699,8.60449,502.50328944824
2025-01-02,8.60449,8.81069,8.58574,8.77319,1295.1995613379
2025-01-03,8.77319,8.77319,8.45451,8.60449,4623.8837716957
2025-01-07,8.69821,8.71695,8.58574,8.71695,6807.7993417606
2025-01-08,8.60449,8.64198,8.45451,8.62323,6936.8925435085
2025-01-09,8.49201,8.71695,8.49201,8.58574,2113.5010963842
2025-01-10,8.58574,8.58574,8.13582,8.51075,17893.811402603
2025-01-13,8.36078,8.51075,8.30454,8.47326,2669.3486840754
2025-01-14,8.37953,8.47326,8.26705,8.30454,7708.251096101
2025-01-15,8.30454,8.34203,8.26705,8.34203,2712.0241226697
2025-01-16,8.34203,8.34203,8.2858,8.34203,830.03728065973
2025-01-17,8.2858,8.34203,8.2858,8.34203,1186.3771929224
2025-01-20,8.30454,8.41702,8.2483,8.2483,11517.033990645
2025-01-21,8.39827,8.39827,8.22956,8.26705,4442.5131576698
2025-01-22,8.39827,8.39827,8.2858,8.2858,857.77631574605
2025-01-23,8.34203,8.37953,8.26705,8.30454,1245.0559209896
