Date,Open,High,Low,Close,Volume
1993-09-30,1.79457,1.79457,1.79457,1.79457,4122526.8174758046
1993-10-04,1.79457,1.79457,1.79457,1.79457,5020827.767249386
1993-10-05,1.79457,1.79457,1.79457,1.79457,3912113.222363486
1993-10-07,1.7859,1.7859,1.7859,1.7859,2887681.0841672188
1993-10-11,1.74256,1.74256,1.74256,1.74256,2120239.090546899
1993-10-12,1.89861,1.89861,1.89861,1.89861,2069487.69530824
1993-10-14,2.03737,2.03737,2.03737,2.03737,2594171.8694904363
1993-10-18,2.08071,2.08071,2.08071,2.08071,1322681.661101401
1993-10-19,2.05466,2.05466,2.05466,2.05466,791721.5377135631
1993-10-21,1.99404,1.99404,1.99404,1.99404,1125370.606265379
1993-10-26,1.81194,1.81194,1.81194,1.81194,1302081.0430912387
1993-10-28,1.98536,1.98536,1.98536,1.98536,2245793.4160634936
1993-11-02,2.08071,2.08071,2.08071,2.08071,2301436.745551328
1993-11-04,2.08071,2.08071,2.08071,2.08071,2143124.3592761056
1993-11-08,1.99404,1.99404,1.99404,1.99404,1338010.7097879883
1993-11-09,1.99404,1.99404,1.99404,1.99404,1247060.178320255
1993-11-10,2.06335,2.06335,2.06335,2.06335,1596788.4453456332
1993-11-15,2.08071,2.08071,2.08071,2.08071,2237534.9281351687
1993-11-16,2.08071,2.08071,2.08071,2.08071,2138107.0200474253
1993-11-18,2.01133,2.01133,2.01133,2.01133,867330.4799967697
1993-11-22,1.83791,1.83791,1.83791,1.83791,1079105.289160175
1993-11-23,2.02,2.02,2.02,2.02,820685.5278169587
1993-11-25,2.05466,2.05466,2.05466,2.05466,1884518.770554055
1993-11-29,2.25412,2.25412,2.25412,2.25412,3594681.2977627097
1993-11-30,2.47946,2.47946,2.47946,2.47946,3434304.2895054603
1993-12-02,2.42744,2.42744,2.42744,2.42744,1968606.2295025487
1993-12-06,2.67025,2.67025,2.67025,2.67025,2649204.134714083
1993-12-07,2.60087,2.60087,2.60087,2.60087,1000105.8522470752
1993-12-09,2.6876,2.6876,2.6876,2.6876,1903031.965676757
1993-12-13,2.79165,2.79165,2.79165,2.79165,1527754.14412862
1993-12-14,2.80892,2.80892,2.80892,2.80892,1735895.6290197796
1993-12-16,2.86094,2.86094,2.86094,2.86094,1509645.6650763063
1993-12-20,2.94769,2.94769,2.94769,2.94769,1701811.6956134806
1993-12-21,2.84367,2.84367,2.84367,2.84367,2052520.401570225
1993-12-23,2.93032,2.93032,2.93032,2.93032,2158522.950724108
1993-12-27,3.10373,3.10373,3.10373,3.10373,1830132.910997916
1993-12-28,2.80024,2.80024,2.80024,2.80024,1896168.8931576267
1993-12-30,2.94769,2.94769,2.94769,2.94769,1654462.1954575074
1994-01-03,3.03435,3.03435,3.03435,3.03435,1286220.7333093183
1994-01-04,2.94769,2.94769,2.94769,2.94769,2029970.306149992
1994-01-06,3.17304,3.17304,3.17304,3.17304,2926263.636204859
1994-01-10,3.12102,3.12102,3.12102,3.12102,1792357.511010717
1994-01-11,3.20776,3.20776,3.20776,3.20776,1689988.2861289822
1994-01-13,3.52855,3.52855,3.52855,3.52855,3373113.4997388343
1994-01-17,3.87529,3.87529,3.87529,3.87529,1377574.840802217
1994-01-18,4.25676,4.25676,4.25676,4.25676,1129235.3597272066
1994-01-20,4.59491,4.59491,4.59491,4.59491,2353687.300318585
1994-01-24,4.49955,4.49955,4.49955,4.49955,1443147.9645826777
1994-01-25,4.94165,4.94165,4.94165,4.94165,1848127.3855232787
1994-01-27,4.94165,4.94165,4.94165,4.94165,2092833.542326141
1994-01-31,4.44746,4.44746,4.44746,4.44746,1979852.776080955
1994-02-01,4.00537,4.00537,4.00537,4.00537,2572556.6111908103
1994-02-03,4.40412,4.40412,4.40412,4.40412,1241177.5447323823
1994-02-07,4.33482,4.33482,4.33482,4.33482,1462988.172398599
1994-02-08,4.56017,4.56017,4.56017,4.56017,2410207.3246182743
1994-02-10,4.56017,4.56017,4.56017,4.56017,1360099.0868741942
1994-02-14,5.01103,5.01103,5.01103,5.01103,1744951.0085912135
1994-02-15,5.20172,5.20172,5.20172,5.20172,2330445.1974201943
1994-02-17,5.20172,5.20172,5.20172,5.20172,1518641.7622937649
1994-02-21,5.02839,5.02839,5.02839,5.02839,1248732.6247298878
1994-02-22,5.20172,5.20172,5.20172,5.20172,1682491.3484403389
1994-02-24,5.72197,5.72197,5.72197,5.72197,2670023.6414159304
1994-02-28,6.15537,6.15537,6.15537,6.15537,2513603.730287248
1994-03-01,6.0687,6.0687,6.0687,6.0687,1868797.5462949653
1994-03-03,6.32878,6.32878,6.32878,6.32878,2320491.462176803
1994-03-07,6.5022,6.5022,6.5022,6.5022,1416100.3905764355
1994-03-08,6.32878,6.32878,6.32878,6.32878,918301.9039723044
1994-03-10,6.0687,6.0687,6.0687,6.0687,1308078.8212512853
1994-03-14,5.89529,5.89529,5.89529,5.89529,944416.9209485474
1994-03-15,5.72197,5.72197,5.72197,5.72197,805690.51239422
1994-03-17,5.72197,5.72197,5.72197,5.72197,1115969.7929775324
1994-03-21,5.15839,5.15839,5.15839,5.15839,953782.3928331078
1994-03-22,4.68156,4.68156,4.68156,4.68156,1737452.9308572384
1994-03-24,5.11507,5.11507,5.11507,5.11507,1876629.6572928
1994-03-28,4.63824,4.63824,4.63824,4.63824,955443.4387900016
1994-03-29,4.17878,4.17878,4.17878,4.17878,448706.9972771431
1994-03-31,3.76258,3.76258,3.76258,3.76258,933585.3508480784
1994-04-05,3.38978,3.38978,3.38978,3.38978,1500163.908574273
1994-04-07,3.68459,3.68459,3.68459,3.68459,2100814.9992541373
1994-04-08,3.6759,3.6759,3.6759,3.6759,892199.4274940229
1994-04-11,3.3118,3.3118,3.3118,3.3118,0.0
1994-04-12,2.98233,2.98233,2.98233,2.98233,0.0
1994-04-14,2.60087,2.60087,2.60087,2.60087,855080.693581705
1994-04-18,2.6876,2.6876,2.6876,2.6876,951302.7943731116
1994-04-19,2.95628,2.95628,2.95628,2.95628,1781042.561716227
1994-04-21,3.46785,3.46785,3.46785,3.46785,1145360.1600114622
1994-04-25,3.46785,3.46785,3.46785,3.46785,1185812.3862903172
1994-04-26,3.12102,3.12102,3.12102,3.12102,0.0
1994-04-28,2.80892,2.80892,2.80892,2.80892,0.0
1994-05-05,2.77428,2.77428,2.77428,2.77428,587720.6972392394
1994-05-06,2.86094,2.86094,2.86094,2.86094,1311550.2590952783
1994-05-09,2.57489,2.57489,2.57489,2.57489,635601.458490611
1994-05-10,2.60087,2.60087,2.60087,2.60087,473574.80472912994
1994-05-12,2.60087,2.60087,2.60087,2.60087,751281.8519327453
1994-05-16,2.86094,2.86094,2.86094,2.86094,977071.2375875772
1994-05-17,2.69621,2.69621,2.69621,2.69621,492087.9998518971
1994-05-19,2.76559,2.76559,2.76559,2.76559,811077.2262901
1994-05-23,2.86094,2.86094,2.86094,2.86094,1085438.2406292928
