Date,Open,High,Low,Close,Volume
2025-05-27,437.335,447.47,437.335,446.0,2048372
2025-05-28,446.4,451.64,443.405,445.1,1209533
2025-05-29,444.99,449.22,442.755,447.09,882693
2025-05-30,447.64,447.99,439.37,442.05,2581744
2025-06-02,441.27,447.98,439.54,445.43,1179283
2025-06-03,444.3,449.845,439.5425,446.48,1683406
2025-06-04,448.04,453.87,445.84,445.85,840219
2025-06-05,445.01,447.485,437.45,443.82,1400553
2025-06-06,443.83,451.66,443.83,450.5,960500
2025-06-09,450.78,451.515,444.84,446.15,912586
2025-06-10,442.45,455.64,441.92,451.52,1286958
2025-06-11,451.3,460.33,450.1292,452.44,1016621
2025-06-12,453.19,460.06,451.94,460.06,1074625
2025-06-13,455.39,460.1,454.0,455.45,1021563
2025-06-16,456.38,457.23,448.71,450.91,1030124
2025-06-17,449.43,452.71,440.75,441.99,1363520
2025-06-18,443.41,451.63,440.0,448.4,1380456
2025-06-20,451.26,451.81,436.805,440.87,2167405
2025-06-23,441.69,445.0,439.5701,443.54,950068
2025-06-24,445.0,451.88,441.0,450.27,1068028
2025-06-25,450.48,451.08,442.76,445.82,1077249
2025-06-26,445.82,446.18,441.13,443.4,1169253
2025-06-27,442.99,446.62,440.5,441.3,3615487
2025-06-30,440.45,446.45,439.23,445.2,1114747
2025-07-01,445.5,456.97,443.49,452.16,1146672
2025-07-02,449.81,457.75,448.0,457.03,978365
2025-07-03,458.45,461.05,456.575,459.62,763957
2025-07-07,460.0,461.245,455.79,459.41,1589764
2025-07-08,457.73,470.3447,456.77,466.36,1103845
2025-07-09,468.09,479.34,466.7901,478.965,1044895
2025-07-10,477.675,484.5626,475.91,479.53,932755
2025-07-11,476.49,478.27,467.97,468.85,892841
2025-07-14,467.69,475.27,467.0,472.35,730162
2025-07-15,473.0,475.29,463.4,464.2,988192
2025-07-16,465.1,470.94,465.1,469.55,785466
2025-07-17,466.32,472.22,461.865,463.27,1252010
2025-07-18,467.0,467.0,458.14,459.81,975145
2025-07-21,459.81,462.31,456.83,458.49,801137
2025-07-22,461.03,470.8,458.88,470.13,1005498
2025-07-23,472.54,478.74,471.305,476.95,909314
2025-07-24,477.14,480.0,472.03,472.27,907940
2025-07-25,472.66,472.71,465.8414,469.65,1176917
2025-07-28,467.44,471.0,460.73,460.83,2107378
2025-07-29,464.33,468.98,460.55,468.41,1151428
2025-07-30,471.2,474.761,466.8,469.16,993276
2025-07-31,465.29,470.59,455.45,456.87,1480196
2025-08-01,457.39,464.225,453.51,462.13,1857348
