Date,Open,High,Low,Close,Volume
2025-05-27,0.586,0.598,0.58,0.598,20013
2025-05-28,0.598,0.618,0.592,0.592,27599
2025-05-29,0.608,0.612,0.592,0.592,3218
2025-05-30,0.606,0.608,0.594,0.608,4442
2025-06-02,0.606,0.606,0.596,0.606,7027
2025-06-03,0.61,0.61,0.598,0.604,912
2025-06-04,0.596,0.598,0.586,0.59,21838
2025-06-05,0.596,0.596,0.574,0.594,17551
2025-06-06,0.594,0.596,0.586,0.586,9396
2025-06-09,0.586,0.592,0.568,0.578,14893
2025-06-10,0.58,0.582,0.58,0.58,687
2025-06-11,0.578,0.578,0.57,0.578,14790
2025-06-12,0.58,0.584,0.552,0.576,36547
2025-06-13,0.56,0.582,0.56,0.58,13097
2025-06-16,0.572,0.582,0.57,0.58,5411
2025-06-17,0.57,0.58,0.542,0.542,66790
2025-06-18,0.544,0.562,0.52,0.546,37341
2025-06-20,0.536,0.536,0.512,0.532,48363
2025-06-23,0.534,0.534,0.49,0.518,13834
2025-06-24,0.514,0.516,0.5,0.512,46560
2025-06-25,0.51,0.526,0.51,0.526,5161
2025-06-26,0.516,0.534,0.512,0.526,11797
2025-06-27,0.524,0.548,0.524,0.546,30510
2025-06-30,0.546,0.546,0.5,0.512,29762
2025-07-01,0.518,0.524,0.516,0.522,4323
2025-07-02,0.522,0.55,0.518,0.544,21983
2025-07-03,0.53,0.534,0.53,0.534,871
2025-07-04,0.522,0.526,0.51,0.526,21448
2025-07-07,0.526,0.526,0.518,0.518,7752
2025-07-08,0.522,0.536,0.522,0.522,18557
2025-07-09,0.522,0.536,0.522,0.536,4007
2025-07-10,0.538,0.538,0.524,0.534,7759
2025-07-11,0.528,0.528,0.526,0.526,1226
2025-07-14,0.53,0.534,0.524,0.53,10670
2025-07-15,0.53,0.534,0.512,0.53,32771
2025-07-16,0.532,0.546,0.526,0.54,12630
2025-07-17,0.524,0.534,0.51,0.51,13240
2025-07-18,0.512,0.53,0.512,0.526,4764
2025-07-21,0.526,0.53,0.526,0.53,1500
2025-07-22,0.55,0.556,0.528,0.54,23976
2025-07-23,0.54,0.54,0.538,0.54,2264
2025-07-24,0.54,0.548,0.54,0.548,1026
2025-07-25,0.548,0.55,0.534,0.55,13733
2025-07-28,0.55,0.56,0.54,0.556,12063
2025-07-29,0.556,0.556,0.556,0.556,432
2025-07-30,0.546,0.558,0.54,0.556,5064
2025-07-31,0.554,0.554,0.542,0.542,541
2025-08-01,0.542,0.57,0.542,0.568,47635
2025-08-04,0.568,0.57,0.554,0.57,9854
2025-08-05,0.57,0.57,0.556,0.57,4810
2025-08-06,0.568,0.568,0.568,0.568,1
2025-08-07,0.556,0.57,0.534,0.564,41432
2025-08-08,0.554,0.558,0.534,0.534,16281
2025-08-11,0.548,0.548,0.53,0.54,12154
2025-08-12,0.528,0.53,0.528,0.53,13676
2025-08-13,0.534,0.534,0.522,0.532,1250
2025-08-14,0.534,0.534,0.52,0.53,17614
2025-08-18,0.522,0.53,0.514,0.53,21652
2025-08-19,0.522,0.522,0.47,0.5,36945
2025-08-20,0.5,0.64,0.5,0.64,685621
2025-08-21,0.66,0.85,0.65,0.828,3178862
2025-08-22,0.876,0.948,0.752,0.762,1856078
2025-08-25,0.764,0.996,0.764,0.996,1575255
2025-08-26,1.07,1.35,1.07,1.35,1138678
2025-08-27,1.595,1.8,1.17,1.26,5151325
2025-08-28,1.24,1.45,1.14,1.21,2410957
2025-08-29,1.19,1.29,1.09,1.17,1293404
2025-09-01,1.19,1.235,1.09,1.14,1029856
2025-09-02,1.17,1.17,1.06,1.08,1024511
2025-09-03,1.07,1.14,0.996,1.01,1374154
2025-09-04,1.02,1.08,0.982,1.025,1147211
2025-09-05,1.025,1.035,0.93,0.94,851050
2025-09-08,0.942,0.964,0.864,0.94,911043
2025-09-09,0.94,1.195,0.94,1.195,1761441
2025-09-10,1.215,1.22,1.05,1.1,1379294
2025-09-11,1.09,1.17,1.03,1.125,657727
2025-09-12,1.125,1.125,1.06,1.08,197769
2025-09-15,1.03,1.07,1.01,1.01,341333
2025-09-16,0.996,0.998,0.954,0.988,375192
2025-09-17,0.99,1.13,0.99,1.07,655363
2025-09-18,1.055,1.085,1.025,1.07,229736
2025-09-19,1.085,1.22,1.06,1.12,961804
2025-09-22,1.135,1.145,1.06,1.085,286104
2025-09-23,1.075,1.11,1.05,1.095,272490
2025-09-24,1.06,1.08,1.04,1.04,303045
2025-09-25,1.03,1.065,1.005,1.055,135306
2025-09-26,1.05,1.065,1.035,1.05,112147
2025-09-29,1.045,1.07,1.03,1.03,67699
2025-09-30,1.04,1.05,0.994,1.0,250339
2025-10-01,1.0,1.035,0.992,1.005,45194
2025-10-02,1.02,1.035,1.0,1.015,58628
2025-10-03,1.015,1.045,0.998,1.04,255735
2025-10-06,1.04,1.04,1.01,1.03,63064
2025-10-07,1.015,1.025,0.996,1.01,101325
2025-10-08,1.01,1.01,0.98,0.994,111269
2025-10-09,1.02,1.02,0.95,0.99,122090
2025-10-10,0.968,0.986,0.95,0.952,121802
2025-10-13,0.95,0.95,0.912,0.922,320886
2025-10-14,0.904,0.938,0.9,0.912,140793
2025-10-15,0.932,0.942,0.906,0.928,93750
2025-10-16,0.936,0.936,0.904,0.912,18543
2025-10-17,0.912,0.92,0.862,0.918,128949
2025-10-20,0.916,0.918,0.864,0.88,167504
2025-10-21,0.88,0.886,0.864,0.886,72331
2025-10-22,0.886,0.9,0.864,0.9,61225
2025-10-23,0.882,0.894,0.872,0.88,28891
2025-10-24,0.872,0.872,0.842,0.85,75609
2025-10-27,0.84,0.86,0.812,0.826,74213
2025-10-28,0.824,0.864,0.814,0.858,34105
2025-10-29,0.864,0.866,0.82,0.826,45398
2025-10-30,0.826,0.848,0.824,0.842,26515
2025-10-31,0.842,0.846,0.824,0.84,18634
2025-11-03,0.84,0.91,0.84,0.858,154985
2025-11-04,0.86,0.974,0.86,0.962,412641
2025-11-05,0.956,0.964,0.906,0.932,158965
2025-11-06,0.926,0.932,0.864,0.874,291428
2025-11-07,0.84,0.888,0.81,0.842,151913
2025-11-10,0.842,0.85,0.82,0.84,30119
2025-11-12,0.848,0.852,0.81,0.84,53528
2025-11-13,0.826,0.848,0.826,0.838,29022
2025-11-14,0.842,0.842,0.784,0.828,106093
2025-11-17,0.826,0.826,0.786,0.796,88729
2025-11-18,0.798,0.798,0.77,0.796,38493
2025-11-19,0.79,0.808,0.772,0.788,55652
2025-11-20,0.788,0.838,0.788,0.812,161879
2025-11-21,0.81,0.824,0.79,0.796,67415
2025-11-24,0.81,0.814,0.772,0.8,54469
2025-11-25,0.798,0.83,0.75,0.816,79175
2025-11-26,0.8,0.816,0.774,0.804,70554
2025-11-27,0.804,0.856,0.802,0.844,109019
2025-11-28,0.824,0.844,0.81,0.838,46006
2025-12-01,0.838,0.838,0.802,0.826,46157
2025-12-02,0.83,0.87,0.804,0.858,93142
2025-12-03,0.858,0.876,0.83,0.832,37819
2025-12-04,0.838,0.862,0.838,0.85,22282
2025-12-05,0.864,0.864,0.83,0.83,19688
2025-12-08,0.824,0.842,0.804,0.826,20372
2025-12-09,0.816,0.836,0.806,0.828,14783
2025-12-10,0.834,0.834,0.79,0.81,77905
2025-12-11,0.81,0.81,0.778,0.79,39505
2025-12-12,0.79,0.816,0.772,0.772,78156
2025-12-15,0.79,0.826,0.76,0.77,83782
2025-12-16,0.78,0.78,0.68,0.73,100178
2025-12-17,0.73,0.74,0.712,0.72,86430
2025-12-18,0.72,0.73,0.7,0.72,105735
2025-12-19,0.722,0.722,0.682,0.714,92217
2025-12-22,0.712,0.712,0.684,0.684,110030
2025-12-23,0.682,0.682,0.622,0.654,267104
2025-12-29,0.65,0.678,0.65,0.676,67078
2025-12-30,0.676,0.74,0.66,0.732,134692
2026-01-02,0.73,0.796,0.7,0.758,79974
2026-01-05,0.758,0.758,0.712,0.748,56308
2026-01-07,0.748,0.748,0.724,0.736,15919
2026-01-08,0.744,0.744,0.702,0.726,46812
2026-01-09,0.726,0.742,0.7,0.722,70279
2026-01-12,0.72,0.776,0.706,0.756,102234
2026-01-13,0.756,0.756,0.74,0.746,25687
2026-01-14,0.748,0.748,0.712,0.728,36563
2026-01-15,0.738,0.74,0.694,0.716,85849
2026-01-16,0.704,0.73,0.698,0.73,59651
2026-01-19,0.73,0.73,0.728,0.73,24792
2026-01-20,0.7,0.728,0.7,0.718,16143
2026-01-21,0.714,0.728,0.702,0.722,14714
2026-01-22,0.72,0.778,0.702,0.75,155814
2026-01-23,0.75,0.766,0.748,0.754,23772
2026-01-26,0.748,0.752,0.722,0.73,26849
2026-01-27,0.722,0.728,0.702,0.72,31254
2026-01-28,0.72,0.746,0.714,0.744,20778
2026-01-29,0.74,0.742,0.718,0.726,19479
2026-01-30,0.738,0.738,0.714,0.73,9991
2026-02-02,0.73,0.73,0.71,0.716,13966
2026-02-03,0.714,0.714,0.656,0.696,91456
2026-02-04,0.696,0.716,0.696,0.7,10269
2026-02-05,0.714,0.714,0.69,0.714,23625
2026-02-06,0.702,0.702,0.666,0.694,26189
2026-02-09,0.698,0.708,0.664,0.708,77684
2026-02-10,0.682,0.708,0.682,0.69,44413
2026-02-11,0.7,0.7,0.67,0.696,41874
2026-02-12,0.696,0.706,0.696,0.698,22545
2026-02-13,0.696,0.7,0.69,0.7,3473
2026-02-16,0.7,0.7,0.672,0.694,12113
2026-02-17,0.69,0.772,0.68,0.738,192989
2026-02-18,0.71,0.736,0.7,0.7,45612
2026-02-19,0.722,0.722,0.682,0.7,35544
2026-02-20,0.692,0.702,0.67,0.702,84957
2026-02-23,0.71,0.738,0.7,0.728,50420
2026-02-24,0.728,0.73,0.69,0.71,34022
2026-02-25,0.7,0.714,0.694,0.712,6729
2026-02-26,0.706,0.708,0.682,0.708,27214
2026-02-27,0.692,0.7,0.69,0.7,4727
2026-03-02,0.69,0.698,0.67,0.692,89902
2026-03-03,0.68,0.696,0.672,0.696,3723
2026-03-04,0.69,0.696,0.67,0.694,17596
2026-03-05,0.694,0.71,0.69,0.7,21182
2026-03-06,0.694,0.714,0.68,0.698,14719
2026-03-09,0.676,0.698,0.67,0.698,13485
2026-03-10,0.696,0.696,0.67,0.672,31461
2026-03-11,0.686,0.692,0.67,0.672,18231
2026-03-12,0.676,0.686,0.67,0.684,21282
2026-03-13,0.684,0.686,0.672,0.686,13412
