Date,Open,High,Low,Close,Volume
2024-05-31,1.70304,1.76594,1.70304,1.7611,61634.633594113
2024-06-03,1.76594,1.79013,1.76594,1.78529,37812.70302775
2024-06-04,1.79013,1.79013,1.73207,1.78529,10765.391987758
2024-06-05,1.78046,1.86754,1.70788,1.7998,96775.882432714
2024-06-06,1.81916,1.86754,1.7998,1.84335,13462.682290921
2024-06-07,1.7998,1.83852,1.75627,1.77078,17515.851857589
2024-06-10,1.79013,1.79013,1.71755,1.78529,10914.208004484
2024-06-11,1.74658,1.78529,1.73207,1.77561,1180.1936882038
2024-06-12,1.73207,1.77078,1.70788,1.75627,9390.9107221613
2024-06-13,1.75143,1.75143,1.67402,1.70788,5930.9383332765
2024-06-14,1.68853,1.75143,1.68369,1.71272,9004.4024564974
2024-06-17,1.70788,1.74658,1.70788,1.74658,5167.222802994
2024-06-18,1.73691,1.7611,1.69821,1.75143,16334.624724825
2024-06-19,1.74175,1.74175,1.70788,1.73691,3631.5241859442
2024-06-20,1.72215,1.76643,1.72215,1.75659,3719.191374522
2024-06-21,1.72215,1.75167,1.72215,1.75167,1026.334231767
2024-06-24,1.72707,1.75167,1.71723,1.75167,4915.2264149079
2024-06-25,1.74675,1.75167,1.68279,1.68279,28568.673853364
2024-06-26,1.72707,1.73691,1.72215,1.72215,1275.2964959085
2024-06-27,1.70739,1.72215,1.67294,1.70247,10163.757412013
2024-06-28,1.69755,1.71231,1.67294,1.71231,17626.528301218
2024-07-01,1.67786,1.71231,1.67294,1.70739,10276.552560257
2024-07-02,1.68279,1.69263,1.6631,1.69263,5922.2533690476
2024-07-03,1.67294,1.71231,1.67294,1.71231,8461.6684632909
2024-07-04,1.71231,1.71723,1.71231,1.71723,3308.6576818152
2024-07-05,1.71723,1.71723,1.70739,1.71231,1520.1940700232
2024-07-08,1.69755,1.71231,1.67294,1.70247,12712.318058817
2024-07-09,1.70739,1.71231,1.67294,1.71231,9702.4150939716
2024-07-10,1.67786,1.69755,1.64834,1.68279,10368.00808586
2024-07-11,1.67294,1.71723,1.64834,1.71231,28046.36118492
2024-07-12,1.71231,1.71231,1.64342,1.70739,29924.247977302
2024-07-15,1.6631,1.68279,1.6385,1.6385,25375.859837312
2024-07-16,1.63358,1.69755,1.63358,1.68771,6804.2911048632
2024-07-17,1.65326,1.68279,1.6385,1.6631,2979.4177896444
2024-07-18,1.67294,1.67294,1.67294,1.67294,10.161725067
2024-07-22,1.66802,1.67786,1.66802,1.67786,3759.83827479
2024-07-23,1.64342,1.70739,1.63358,1.70739,38215.199459467
2024-07-24,1.70739,1.74183,1.68279,1.68279,52849.099728454
2024-07-25,1.71231,1.71723,1.65326,1.67786,6209.8301884437
2024-07-26,1.68279,1.70247,1.64342,1.69263,21582.487869801
2024-07-29,1.69263,1.69263,1.65326,1.65326,5875.5094337394
2024-07-30,1.66802,1.67294,1.66802,1.67294,40.646900268
2024-07-31,1.6631,1.66802,1.6631,1.66802,518.247978417
2024-08-01,1.64834,1.66802,1.58438,1.65326,14035.37466254
2024-08-02,1.61882,1.63358,1.57454,1.63358,2316.873315276
2024-08-05,1.57454,1.60406,1.56469,1.60406,7807.2533689761
2024-08-06,1.60406,1.62374,1.60406,1.62374,615.8005390602
2024-08-07,1.58438,1.6631,1.56962,1.6631,13472.415093829
2024-08-08,1.65326,1.65326,1.59914,1.6385,655.4312668215
