Date,Open,High,Low,Close,Volume
2025-05-27,9.219,9.64,9.15,9.55,31726420
2025-05-28,9.54,10.13,9.48,10.02,59164116
2025-05-29,10.18,10.19,9.7501,10.04,44033805
2025-05-30,10.02,10.02,9.66,9.97,52970653
2025-06-02,9.925,10.015,9.75,10.0,46464718
2025-06-03,9.97,10.1,9.74,9.94,31616241
2025-06-04,9.95,10.0099,9.69,9.79,34162242
2025-06-05,9.79,10.055,9.62,9.65,44358607
2025-06-06,9.81,10.03,9.7701,9.82,30034495
2025-06-09,10.62,11.1,9.38,9.53,155057824
2025-06-10,9.545,10.12,9.11,10.01,71415738
2025-06-11,10.16,10.545,10.12,10.51,52112098
2025-06-12,10.51,10.89,10.13,10.16,58726244
2025-06-13,10.085,10.28,9.98,10.03,39383832
2025-06-16,10.14,10.795,10.04,10.76,46714416
2025-06-17,10.75,10.82,10.33,10.58,46816565
2025-06-18,10.58,10.7496,10.42,10.57,45179680
2025-06-20,10.73,11.06,10.39,10.52,106521704
2025-06-23,10.45,10.71,10.27,10.68,41873529
2025-06-24,10.785,11.1,10.75,10.9,67034402
2025-06-25,10.895,11.05,10.83,10.87,42934914
2025-06-26,10.89,11.21,10.75,11.15,72764474
2025-06-27,11.17,11.72,11.17,11.3,86182532
2025-06-30,11.41,11.63,11.29,11.46,43999005
2025-07-01,10.95,11.02,10.78,10.94,88003026
2025-07-02,11.0,11.16,10.96,11.12,48630006
2025-07-03,11.135,11.31,11.115,11.22,24154256
2025-07-07,11.14,11.29,10.985,11.02,38309270
2025-07-08,11.08,11.42,11.04,11.41,73452763
2025-07-09,11.45,11.78,11.43,11.49,54777332
2025-07-10,11.49,11.74,11.445,11.65,42464020
2025-07-11,11.565,11.76,11.46,11.73,70361104
2025-07-14,11.73,12.08,11.705,12.01,61484173
2025-07-15,12.01,12.3,12.0,12.03,94535844
2025-07-16,12.1,12.65,12.035,12.58,105446362
2025-07-17,12.59,13.04,12.515,12.84,125223062
2025-07-18,12.97,12.99,12.57,12.75,117779092
2025-07-21,12.83,12.89,12.66,12.8,62754175
2025-07-22,12.8,13.02,12.765,12.85,89947638
2025-07-23,12.9,13.39,12.85,13.31,102962975
2025-07-24,13.25,13.68,13.23,13.5,127484998
2025-07-25,13.52,13.58,13.21,13.49,74365452
2025-07-28,13.54,13.865,13.49,13.7,97026472
2025-07-29,13.76,13.76,13.05,13.12,67560144
2025-07-30,13.1,13.47,13.07,13.26,52330028
2025-07-31,13.2,13.29,13.02,13.17,55441982
2025-08-01,13.04,13.055,12.57,12.87,59364135
2025-08-04,12.9,13.01,12.62,12.8,65206775
2025-08-05,12.89,12.91,12.465,12.72,48416913
2025-08-06,12.8,12.96,12.755,12.79,48742815
2025-08-07,13.15,13.23,11.76,11.86,57823243
2025-08-08,11.86,11.977,10.9,10.91,62188486
2025-08-11,10.94,10.9885,10.76,10.78,39455902
2025-08-12,10.81,11.3,10.79,11.22,48495879
2025-08-13,11.32,12.23,11.28,12.05,60173762
2025-08-14,11.87,12.17,11.73,11.78,53621185
2025-08-15,11.85,11.99,11.75,11.85,40664431
2025-08-18,11.811,11.87,11.63,11.82,34917950
2025-08-19,11.77,11.8099,11.49,11.56,30434106
2025-08-20,11.525,11.62,11.28,11.54,36145668
2025-08-21,11.42,11.61,11.36,11.585,38566996
2025-08-22,11.67,12.08,11.6,12.05,49576175
