Date,Open,High,Low,Close,Volume
2024-05-28,8.54717,8.68962,8.54717,8.68962,3196.84768227
2024-05-29,8.73711,8.87956,8.68962,8.68962,1815.33774843
2024-05-31,8.73711,8.73711,8.35723,8.40472,1201.4503311825
2024-06-03,8.4522,8.78459,8.40472,8.78459,4524.6556293525
2024-06-04,8.83208,8.83208,8.49969,8.64214,492.79470201
2024-06-05,8.49969,8.49969,8.1673,8.40472,1956.437086185
2024-06-06,8.02484,8.26226,7.69245,8.11981,2596.649006745
2024-06-07,7.73994,7.73994,7.59748,7.69245,3760.1920531575
2024-06-10,7.69245,7.97736,7.40755,7.92987,7412.9801328
2024-06-11,7.78742,7.97736,7.73994,7.97736,2801.9801325825
2024-06-12,7.73994,7.97736,7.73994,7.97736,1229.88079476
2024-06-13,7.88239,7.88239,7.40755,7.69245,2644.0331127075
2024-06-14,7.40755,7.40755,7.12264,7.21761,3738.079470375
2024-06-17,7.07516,7.07516,6.74277,7.02767,3270.556291545
2024-06-18,6.79025,7.02767,6.55283,7.02767,5504.98013271
2024-06-19,6.98019,6.98019,6.98019,6.98019,421.192053
2024-06-20,6.74277,6.74277,6.45786,6.74277,2068.05298023
2024-06-21,6.6478,6.74277,6.6478,6.74277,189.53642385
2024-06-24,6.6478,6.74277,6.6478,6.74277,128.463576165
2024-06-25,6.6478,6.6478,6.50535,6.6478,348.5364238575
2024-06-26,6.6478,6.6478,6.6478,6.6478,2967.298013385
2024-06-27,6.74277,7.45503,6.74277,7.45503,1895.3642385
2024-06-28,7.45503,7.50252,7.26509,7.50252,1760.58278154
2024-07-01,7.26509,7.64497,7.17013,7.64497,6727.4900665425
2024-07-02,7.64497,7.64497,7.31258,7.31258,1725.8344371675
2024-07-03,7.40755,7.45503,7.26509,7.45503,3925.50993396
2024-07-04,7.45503,7.59748,7.45503,7.59748,573.8741722125
2024-07-05,7.59748,7.59748,7.36006,7.59748,2780.9205299325
2024-07-08,7.59748,7.59748,7.07516,7.12264,2255.483443815
2024-07-09,7.21761,7.21761,6.9327,7.21761,2132.2847683125
2024-07-10,7.21761,7.45503,7.21761,7.45503,691.8079470525
2024-07-11,7.45503,7.45503,7.17013,7.45503,1476.278145765
2024-07-12,7.45503,7.50252,7.45503,7.50252,947.68211925
2024-07-15,7.26509,7.45503,6.98019,7.26509,5395.47019893
2024-07-16,7.12264,7.12264,6.69528,7.07516,4757.364238635
2024-07-19,6.9327,7.02767,6.9327,7.02767,2071.2119206275
2024-07-22,7.02767,7.02767,6.69528,7.02767,904.5099338175
2024-07-23,6.79025,7.59748,6.79025,7.12264,2795.6622517875
2024-07-24,6.9327,6.9327,6.69528,6.9327,1036.13245038
2024-07-25,6.69528,6.83774,6.69528,6.83774,461.205298035
2024-07-26,6.9327,6.9327,6.6478,6.9327,36.8543046375
2024-07-29,6.9327,6.9327,6.50535,6.9327,9682.1523183375
2024-07-30,6.6478,6.6478,6.12547,6.55283,5164.8675499125
2024-07-31,6.31541,6.45786,5.98302,6.22044,4200.3377485425
2024-08-01,6.22044,6.22044,5.98302,6.22044,650.741721885
2024-08-02,6.22044,6.22044,5.65063,6.0305,11258.46357669
2024-08-05,5.7456,5.84057,5.22327,5.36572,23650.986756083
2024-08-06,5.41321,5.7456,5.41321,5.55566,1971.17880804
2024-08-07,5.55566,5.60314,5.55566,5.60314,1783.748344455
2024-08-08,5.60314,6.0305,5.60314,6.0305,9192.516556725
2024-08-09,5.79308,6.26792,5.79308,6.26792,2519.7814570725
2024-08-12,6.22044,6.26792,6.22044,6.26792,526.49006625
2024-08-13,6.26792,6.50535,6.22044,6.36289,2168.0860928175
2024-08-14,6.36289,6.6478,6.36289,6.55283,6214.688742015
2024-08-16,6.55283,6.69528,6.41038,6.69528,2566.1125829025
2024-08-19,6.6478,6.6478,6.36289,6.55283,5163.81456978
2024-08-20,6.55283,6.55283,6.26792,6.55283,2744.066225295
2024-08-21,6.31541,6.74277,6.31541,6.6478,2402.900662365
2024-08-22,6.74277,6.74277,6.55283,6.74277,877.1324503725
2024-08-23,6.74277,7.40755,6.74277,7.17013,8612.3245037175
2024-08-26,7.17013,7.17013,7.17013,7.17013,399.0794702175
2024-08-27,7.12264,7.17013,7.12264,7.17013,201.1192053075
2024-08-28,7.07516,7.17013,7.07516,7.17013,8.42384106
2024-08-29,7.17013,7.26509,6.74277,7.26509,5374.41059628
2024-08-30,7.26509,7.36006,7.26509,7.36006,1324.649006685
2024-09-02,7.07516,7.17013,6.41038,6.79025,19926.59602743
2024-09-03,6.83774,6.83774,6.55283,6.6478,6536.90066256
2024-09-04,6.55283,6.83774,6.45786,6.83774,5070.0993379875
2024-09-05,6.79025,6.9327,6.79025,6.88522,2810.4039736425
2024-09-06,6.9327,7.02767,6.79025,7.02767,2650.3509935025
2024-09-09,7.02767,7.02767,7.02767,7.02767,757.0927152675
2024-09-10,7.02767,7.02767,6.79025,6.98019,445.4105960475
2024-09-12,6.98019,7.02767,6.98019,7.02767,473.841059625
2024-09-16,7.02767,7.21761,7.02767,7.21761,2688.2582782725
2024-09-17,7.26509,7.36006,7.02767,7.31258,5683.986755235
2024-09-18,7.17013,7.36006,7.12264,7.36006,4423.5695366325
2024-09-19,7.36006,7.40755,7.36006,7.40755,7103.403973845
2024-09-20,7.40755,7.55,7.40755,7.55,1656.3377484225
2024-09-23,7.55,7.55,7.31258,7.31258,3191.5827816075
2024-09-24,7.36006,7.59748,7.36006,7.55,5015.3443710975
2024-09-25,7.65,7.65,7.35,7.65,11477.0
2024-09-26,7.5,7.85,7.5,7.85,1820.0
2024-09-27,7.8,7.85,7.8,7.85,2001.0
2024-09-30,7.8,8.55,7.8,8.5,6993.0
2024-10-01,8.5,8.5,8.15,8.15,2403.0
2024-10-02,8.15,8.3,7.7,7.9,5698.0
2024-10-03,7.7,7.75,7.4,7.75,4132.0
2024-10-04,7.7,8.2,7.7,8.15,8265.0
2024-10-07,7.8,8.15,7.8,7.9,2268.0
2024-10-09,7.55,8.1,7.55,8.1,1464.0
2024-10-10,8.15,8.2,8.05,8.2,1209.0
2024-10-11,8.2,8.45,7.85,8.45,11480.0
2024-10-14,8.05,8.5,8.05,8.4,1610.0
2024-10-15,8.05,8.4,8.05,8.4,1476.0
2024-10-16,8.35,8.35,8.35,8.35,2680.0
2024-10-17,8.1,8.35,8.0,8.35,306.0
2024-10-18,8.0,8.25,8.0,8.25,1851.0
2024-10-22,8.2,8.2,8.0,8.1,961.0
2024-10-25,7.75,8.0,7.75,7.8,1731.0
2024-10-28,7.45,7.8,7.45,7.8,243.0
2024-10-30,7.8,7.8,7.8,7.8,1057.0
2024-10-31,7.8,7.8,7.8,7.8,85.0
2024-11-04,7.45,7.7,7.15,7.4,755.0
2024-11-05,7.2,7.2,7.2,7.2,205.0
2024-11-06,7.2,7.2,6.9,7.2,2018.0
2024-11-07,7.1,7.2,7.1,7.2,2972.0
2024-11-08,7.2,7.2,7.1,7.2,727.0
2024-11-12,7.2,7.2,7.2,7.2,622.0
2024-11-13,7.15,7.2,7.15,7.2,720.0
2024-11-14,7.15,7.2,7.15,7.15,1408.0
2024-11-15,7.15,7.15,7.15,7.15,11.0
2024-11-19,7.05,7.05,6.7,7.0,1953.0
2024-11-20,6.9,7.1,6.75,7.05,2471.0
2024-11-21,7.05,7.15,7.0,7.0,1972.0
2024-11-22,7.15,7.15,7.0,7.15,1499.0
2024-11-25,7.0,7.05,6.8,7.05,1221.0
2024-11-26,7.05,7.05,6.85,7.0,1781.0
2024-11-27,6.85,6.85,6.8,6.8,1073.0
2024-11-28,7.0,7.0,6.8,6.9,4229.0
2024-12-02,7.15,7.4,7.0,7.0,7327.0
2024-12-03,7.0,7.1,6.7,7.1,18971.0
2024-12-04,7.2,7.2,6.9,7.1,1786.0
2024-12-05,6.95,7.05,6.65,7.05,3016.0
2024-12-06,7.0,7.05,6.6,6.7,6842.0
2024-12-09,6.7,6.7,6.45,6.6,1497.0
2024-12-10,6.45,6.8,6.4,6.8,5898.0
2024-12-11,6.5,6.8,6.4,6.4,1678.0
2024-12-12,6.35,6.35,6.3,6.3,1370.0
2024-12-13,6.05,6.3,6.05,6.25,485.0
2024-12-16,6.25,6.3,5.75,6.0,10380.0
2024-12-17,6.15,6.15,5.55,5.8,6871.0
2024-12-18,5.65,5.8,5.3,5.4,13330.0
2024-12-19,5.4,5.7,5.25,5.25,11127.0
2024-12-20,5.25,5.4,5.25,5.4,6888.0
2024-12-23,5.4,5.4,5.2,5.25,23969.0
2024-12-27,5.25,5.4,5.25,5.4,3480.0
2024-12-30,5.4,5.45,5.25,5.45,6335.0
2025-01-02,5.45,5.9,5.45,5.85,7659.0
2025-01-03,6.4,6.4,6.15,6.2,4121.0
2025-01-07,6.15,6.2,6.15,6.2,1183.0
2025-01-08,6.2,6.3,6.1,6.3,831.0
2025-01-09,6.25,6.25,6.05,6.25,521.0
2025-01-10,6.1,6.25,6.1,6.25,306.0
2025-01-13,6.25,6.25,6.25,6.25,282.0
2025-01-14,6.3,6.3,6.3,6.3,221.0
2025-01-15,6.2,6.2,6.05,6.1,2111.0
