Date,Open,High,Low,Close,Volume
2007-11-28,4.77467,5.41123,4.76826,5.39852,201993.38709508348
2007-11-29,5.92056,5.92056,5.42395,5.60214,262632.7235001059
2007-11-30,5.60214,5.60214,5.22645,5.50683,115957.24884695568
2007-12-03,5.60214,5.60214,5.34747,5.44307,111714.33640459488
2007-12-04,5.60214,5.60214,5.22024,5.4749,52639.94009172529
2007-12-05,5.50033,5.50033,5.22024,5.32204,171133.9400907335
2007-12-06,5.32204,5.32845,5.1884,5.1949,62581.9124418725
2007-12-07,5.22024,5.22645,5.1884,5.1949,214433.40552815908
2007-12-10,5.16297,5.40502,5.15647,5.35397,209201.9446987098
2007-12-11,5.4749,5.4749,5.284,5.284,31237.082949047297
2007-12-12,5.15647,5.284,5.15647,5.22024,55452.857142393
2007-12-13,5.16297,5.22024,5.16297,5.22024,33561.4792623919
2007-12-14,5.22024,5.22024,5.20752,5.22024,89489.25806376709
2007-12-17,5.22024,5.22024,5.15647,5.21393,54316.8110594532
2007-12-18,5.15647,5.15647,4.96567,4.96567,8968.0691243489
2007-12-19,4.98479,5.15647,4.98479,5.15647,12902.387096666198
2007-12-20,4.95276,5.22024,4.95276,5.22024,11957.774193448298
2007-12-21,5.22024,5.22024,5.0929,5.0929,85440.9170499761
2007-12-27,5.0929,5.0929,4.64724,4.71081,38694.608294607
2007-12-28,4.77467,5.0929,4.77467,5.0929,8171.9999999316
2008-01-02,5.33495,5.33495,5.0929,5.10552,33444.3179720703
2008-01-03,5.12474,5.12474,5.02933,5.02933,979.1336405448
2008-01-04,5.0865,5.0929,5.02933,5.02933,8681.4423962407
2008-01-07,5.01031,5.01031,4.77467,4.78088,2904.9723502061
2008-01-08,4.8065,4.90181,4.77467,4.90181,7418.820276435599
2008-01-09,4.77467,4.83834,4.62181,4.77467,7197.050691183999
2008-01-10,4.62812,4.62812,4.56474,4.62812,12705.7235021978
2008-01-11,4.609,4.609,4.48817,4.48817,4097.506912408099
2008-01-14,4.76186,4.76186,4.45624,4.5201,36624.41013794229
2008-01-15,4.69188,4.69188,4.5201,4.69188,9707.649769504
2008-01-16,4.5201,4.58367,4.34172,4.58367,313572.77879921865
2008-01-17,4.53272,4.77467,4.45624,4.62181,161279.83870832747
2008-01-18,4.55174,4.71081,4.55174,4.71081,21033.5898615751
2008-01-21,4.77467,4.77467,4.44362,4.45624,24594.4562209923
2008-01-22,4.45624,4.5201,4.39898,4.5201,26573.645161067896
2008-01-23,4.5201,4.6155,4.4182,4.44362,21849.534562029097
2008-01-24,4.609,4.609,4.50069,4.50069,3028.4101382235
2008-01-25,4.5136,4.71081,4.5136,4.71081,55811.663594002894
2008-01-28,4.59639,4.90181,4.59639,4.83834,1075722.663585466
2008-01-29,4.9974,5.23945,4.96567,5.06117,7404.175115145399
2008-01-30,5.13755,5.13755,4.90181,4.90181,10610.4193547499
2008-01-31,5.0929,5.14395,5.0929,5.11202,59037.78340964409
2008-02-01,5.20752,5.20752,5.04214,5.0865,7132.193548327399
2008-02-04,5.0865,5.284,5.0865,5.25207,35031.2258061584
2008-02-05,5.15647,5.284,5.0929,5.10552,20652.815668029896
2008-02-06,4.97198,5.2775,4.97198,5.2775,12771.6267280037
2008-02-07,5.29031,5.29031,5.284,5.284,1842.1520737173
2008-02-08,5.284,5.34116,5.25207,5.34116,1490.6682027524998
2008-02-11,5.3794,5.45578,5.34747,5.44307,8138.525345554
2008-02-12,5.44947,6.10525,5.44947,6.10525,39971.875575702295
2008-02-13,6.25801,6.87555,6.25801,6.58906,71313.56681967959
2008-02-14,6.68446,6.87555,6.30246,6.35992,123877.142856106
2008-02-15,6.31518,7.25746,6.31518,7.13012,415788.6820241696
2008-02-18,7.63314,8.02145,7.41662,7.54386,189171.5483855134
2008-02-19,7.54386,7.5755,7.23824,7.38469,72498.77880123649
2008-02-20,7.19379,7.32112,7.09189,7.09819,82917.76497626449
2008-02-21,7.32112,7.38469,7.09819,7.24474,26271.3271887202
2008-02-22,7.30841,7.30841,6.94563,7.09819,13128.341013715
2008-02-25,7.25115,7.25115,6.57634,6.68446,66174.16128976869
2008-02-26,6.74813,7.0027,6.58906,6.58906,467773.774189633
2008-02-27,6.5253,6.87555,6.5253,6.77355,23050.437787825496
2008-02-28,6.86265,6.86265,6.49356,6.5253,176481.51612755508
2008-02-29,6.4298,6.51889,6.34682,6.36632,112520.86635850518
2008-03-03,6.21337,6.21337,5.8633,6.02887,82155.1705062248
2008-03-04,5.88883,6.02887,5.88883,5.89513,17468.5391703607
2008-03-05,5.89513,6.32149,5.89513,6.17523,35225.7972347282
2008-03-06,6.25801,6.35351,6.1433,6.27694,18472.7788016887
2008-03-07,6.0477,6.48706,5.99694,6.36632,24328.7511518701
2008-03-10,6.3343,6.68446,6.1497,6.36632,46136.4423959272
2008-03-11,6.37894,6.37894,6.30887,6.32149,24626.8847924206
2008-03-12,6.45542,6.45542,6.3343,6.36632,28552.834101143497
2008-03-13,6.32799,6.36632,6.27063,6.27063,8655.2903225082
2008-03-14,6.36632,6.5253,6.21977,6.32149,48950.405529544194
2008-03-17,6.02237,6.23889,6.02237,6.23889,7099.7649768991
2008-03-18,6.23249,6.30887,6.0477,6.22618,18298.0829491556
2008-03-19,6.30246,6.30246,6.07973,6.27063,10138.635944615598
2008-03-20,6.09875,6.21977,6.09875,6.21977,6921.930875518099
2008-03-25,6.41699,6.41699,6.26432,6.32799,14556.2442395095
2008-03-26,6.32799,6.32799,6.23889,6.23889,11854.2119814676
2008-03-27,6.23889,6.36632,6.23889,6.34682,33790.5714282886
2008-03-28,6.36632,6.39796,6.23889,6.38534,45940.824884408095
2008-03-31,6.38534,6.38534,6.17523,6.35992,11482.8525344661
2008-04-01,6.35992,6.35992,6.23889,6.2517,10688.8755759474
2008-04-02,6.68446,6.68446,6.27694,6.34682,23648.7972348251
2008-04-03,6.39796,6.39796,6.30246,6.30246,20244.843317802897
2008-04-04,6.60798,6.60798,6.30246,6.36632,14156.6405528769
2008-04-07,6.30246,6.41699,6.30246,6.35351,8021.3640552324
2008-04-08,6.3343,6.3343,6.23889,6.23889,23202.119815474
2008-04-09,6.23249,6.30246,6.19435,6.2517,14351.2119814467
2008-04-10,6.22618,6.2517,6.22618,6.23889,18241.5944698934
2008-04-11,6.2452,6.26432,6.11787,6.23889,5270.165898573399
2008-04-14,6.11156,6.20696,6.0477,6.20696,2388.2073732519
2008-04-15,6.0543,6.11156,6.0477,6.10525,13019.5483869878
2008-04-16,6.10525,6.11156,5.97782,6.10525,6918.7926266702
2008-04-17,6.10525,6.11156,6.0477,6.10525,3110.0046082689
2008-04-18,6.10525,6.13078,6.0477,6.13078,11589.552995294698
2008-04-21,5.93318,6.11156,5.92056,6.0477,9765.1843317155
2008-04-22,5.93318,5.93318,5.70404,5.79323,11789.354838611
2008-04-23,5.69764,5.69764,5.22024,5.60214,30220.29032232769
2008-04-24,5.53857,5.84418,5.53857,5.5703,10106.2073731873
2008-04-25,5.59573,5.72956,5.59573,5.72956,5497.165898571499
2008-04-28,5.84418,5.84418,5.79323,5.84418,27543.364055069
2008-04-29,5.78061,6.03509,5.78061,6.03509,21014.7603684877
2008-04-30,6.07973,6.11156,6.07973,6.10525,17880.6958523849
2008-05-05,6.13078,6.80558,6.13078,6.67815,104952.45622031968
2008-05-06,6.73551,6.73551,6.44241,6.58256,218766.2811041597
2008-05-07,6.5253,6.59537,6.30246,6.41699,157378.99539038778
2008-05-08,6.36632,6.42349,6.3408,6.39796,2835.9308755523
2008-05-09,6.44891,6.44891,6.2517,6.36632,7847.714285648599
2008-05-12,6.23889,6.39796,6.23249,6.35351,17775.041474505597
2008-05-13,6.3343,6.35992,6.2517,6.3408,17314.7649768136
2008-05-14,6.3343,6.34682,6.31518,6.34682,63271.2811054612
2008-05-15,6.30887,6.3343,6.2452,6.27694,20569.129032085897
2008-05-16,6.27063,6.28334,6.17523,6.26432,6937.6221197576
2008-05-19,6.07323,6.23889,5.6659,5.98432,32062.442396045
2008-05-20,5.98432,6.0543,5.86961,5.98432,10426.3087556731
2008-05-21,5.8569,5.98432,5.8569,5.92056,18286.576036713297
2008-05-23,5.97151,5.97151,5.89513,5.96511,489.5668202724
2008-05-26,5.98432,5.98432,5.88233,5.88233,1973.9585253291
2008-05-27,5.98432,5.98432,5.61495,5.77402,17201.788018289197
2008-05-28,5.88883,5.88883,5.72956,5.84418,7574.6866358812995
2008-05-29,5.72956,5.84418,5.72956,5.72956,19588.9493085918
2008-05-30,5.72956,5.84418,5.72956,5.84418,3875.7373271565
2008-06-02,5.88883,5.93318,5.88883,5.88883,121786.02304045529
2008-06-03,5.84418,5.92056,5.83768,5.8569,48409.5806447561
2008-06-04,5.9522,5.9522,5.72956,5.82487,177415.66820127997
2008-06-05,5.92056,5.92056,5.76771,5.88883,257.3364055278
2008-06-06,5.92056,5.92056,5.81866,5.92056,9431.483870888798
2008-06-09,5.98432,5.98432,5.55128,5.72956,4975.1705068708
2008-06-10,5.5703,5.65959,5.4749,5.64678,6127.9539169994
2008-06-11,5.51314,5.6659,5.41764,5.4749,5825.635944651699
2008-06-12,5.41123,5.5703,5.34747,5.53857,17847.221198007297
2008-06-13,5.59573,5.59573,5.32204,5.48742,3190.552995365
2008-06-16,5.56399,5.56399,5.4749,5.53857,9159.502304070798
2008-06-17,5.53235,5.53235,5.4749,5.50683,50404.4608290712
2008-06-18,5.53857,5.53857,5.36019,5.4749,15757.147465305898
2008-06-19,5.53857,5.53857,5.22024,5.4749,12184.7741934464
2008-06-20,5.46859,5.46859,5.3794,5.46209,4604.8571428186
2008-06-23,5.29031,5.29031,5.1884,5.1884,22698.953916860697
2008-06-24,5.11202,5.22024,5.11202,5.22024,121355.03686534367
2008-06-25,5.12474,5.22024,5.12474,5.22024,4265.9262672454
2008-06-26,5.25207,5.25207,5.12474,5.13105,5375.8202764527
2008-06-27,4.89932,5.20093,4.89932,5.20093,21288.8341012043
2008-06-30,5.27291,5.45674,5.09606,5.09606,10859.387096683298
2008-07-01,5.25341,5.25341,4.90583,4.9649,10363.5437787151
2008-07-02,4.90583,4.9649,4.89932,4.89932,6058.9124423456
2008-07-03,4.89932,5.03058,4.72209,4.80736,7461.709677356899
2008-07-04,4.77467,4.87304,4.709,4.77467,3043.0552995136995
2008-07-07,4.72209,4.72209,4.59084,4.63692,6986.788018374699
2008-07-08,4.63692,4.63692,4.59084,4.63692,9204.4838708907
2008-07-09,4.6828,4.6828,4.65661,4.65661,946.7050691165
2008-07-10,4.65661,4.65661,4.52545,4.53195,122430.41013722408
2008-07-11,4.57784,4.57784,4.47297,4.47297,4555.691244201499
2008-07-14,4.59084,4.59084,4.02683,4.34182,10329.023041388198
2008-07-15,4.19087,4.19087,3.93516,4.13179,3686.3963133332
2008-07-16,3.83679,3.93516,3.79081,3.93516,72330.35944639919
2008-07-17,3.93516,4.0991,3.8039,4.0991,81994.07373203259
2008-07-18,4.13179,4.13179,3.85648,3.93516,28318.5115205003
2008-07-21,4.13179,4.13179,3.86948,3.86948,23276.3917048743
2008-07-22,3.93516,4.00064,3.93516,4.00064,34650.45161261319
2008-07-23,3.93516,3.99433,3.93516,3.98773,13516.4377879053
2008-07-24,4.00064,4.13179,4.00064,4.05322,18339.9262671276
2008-07-25,3.93516,4.17787,3.93516,4.0991,3216.7050690975
2008-07-28,4.17118,4.45988,4.0991,4.45338,6725.2672810497
2008-07-29,4.37451,4.72209,4.36132,4.72209,7578.870967678499
2008-07-30,4.74829,5.24691,4.74829,5.24691,28538.1889398533
2008-07-31,5.77153,5.77153,5.24691,5.49603,15017.566820150798
2008-08-01,5.52232,5.52232,5.12225,5.41735,13958.930875459198
2008-08-04,5.31258,5.31258,4.45988,4.52545,38159.013824565394
2008-08-05,4.6828,4.89932,4.67611,4.6958,31410.732718631098
2008-08-06,4.85334,4.90583,4.62363,4.62363,28097.788018198
2008-08-07,4.84675,4.84675,4.59084,4.65661,8633.3225805729
2008-08-08,4.75507,4.75507,4.52545,4.66321,6688.654377824199
2008-08-11,4.66321,4.66321,4.52545,4.62363,3404.9999999715
2008-08-12,4.7155,4.7155,4.62363,4.6828,10397.0184330927
2008-08-13,4.59753,4.6894,4.59753,4.6894,1579.5852534429998
2008-08-14,4.74829,4.74829,4.45988,4.7024,5022.2442395893
2008-08-18,4.72209,4.72209,4.59084,4.7155,4169.686635909799
2008-08-19,4.6894,4.6894,4.52545,4.65011,3257.5023041202
2008-08-20,4.64351,4.64351,4.45988,4.61063,3350.6036866079
2008-08-21,4.59084,4.59084,4.45988,4.55824,711.3364055239999
2008-08-22,4.60413,4.60413,4.47297,4.59753,770.9631336340999
2008-08-25,4.61063,4.61063,4.3942,4.55824,4564.0599077959
2008-08-26,4.55165,4.55165,4.4007,4.52545,1385.0138248731998
2008-08-27,4.45988,4.53855,4.45988,4.52545,2249.078340995
2008-08-28,4.57784,4.57784,4.54534,4.55824,2516.8755760158
2008-08-29,4.55824,4.55824,4.42699,4.53855,8117.603686567999
2008-09-01,4.3942,4.47947,4.19756,4.44678,14501.847926145898
2008-09-02,4.30893,4.65661,4.30893,4.65661,29564.3963131166
2008-09-03,4.64351,4.64351,4.49247,4.63692,3449.9815667913995
2008-09-04,4.64351,4.64351,4.45988,4.63051,9388.594469967498
2008-09-05,4.46638,4.58434,4.45988,4.57124,5284.811059863599
2008-09-08,4.56484,4.56484,4.3942,4.51886,2293.0138248656
2008-09-09,4.40739,4.40739,4.26314,4.3877,1876.6728110442
2008-09-10,4.34182,4.51886,4.29574,4.29574,21368.3364053511
2008-09-11,4.25005,4.29574,4.15158,4.15158,6727.3594469483
2008-09-12,4.17787,4.17787,3.98095,4.0991,34523.875575747894
