Date,Open,High,Low,Close,Volume
2024-05-28,27.1989,28.5366,27.0206,28.4028,46464.98461673
2024-05-29,28.492,28.492,27.6448,28.0461,28071.193163206
2024-05-31,28.0461,28.2691,27.5111,28.0015,25921.531624682
2024-06-03,28.0015,28.9825,27.8232,28.8041,28634.119658949
2024-06-04,28.9825,28.9825,28.0907,28.5366,28920.068376906
2024-06-05,28.4474,28.7149,28.0907,28.3582,16604.08888937
2024-06-06,28.5366,29.3838,28.2245,28.9825,35400.451283077
2024-06-07,28.8933,28.9825,28.492,28.8933,21847.603419436
2024-06-10,28.8487,29.6959,28.5366,29.6959,43001.080343126
2024-06-11,29.6067,30.0972,28.9379,28.9825,26462.030769997
2024-06-12,29.6067,29.6067,28.5366,29.2946,21755.651282681
2024-06-13,29.3838,29.4284,28.4474,28.6704,17200.656410755
2024-06-14,28.5366,28.6258,28.1353,28.4474,18179.610256937
2024-06-17,28.4474,29.0716,28.4474,28.9379,24652.143590458
2024-06-18,29.0271,29.1162,28.6258,28.6704,18541.811966349
2024-06-19,28.5366,28.8933,28.492,28.6258,19334.618803979
2024-06-20,28.5366,28.7595,28.492,28.5366,32361.545300083
2024-06-21,28.8041,28.9825,28.5812,28.7149,27045.141881125
2024-06-24,28.7595,28.8933,28.5366,28.7149,22689.750428008
2024-06-25,28.8487,28.9379,28.5366,28.5812,20208.164103149
2024-06-26,28.9825,29.6959,28.5812,29.4284,34816.218804427
2024-06-27,29.5175,29.8742,29.4729,29.6513,21877.880342514
2024-06-28,29.9634,30.3201,29.7851,30.3201,32062.140171869
2024-07-01,30.3201,30.9889,29.9634,30.3201,58371.664958956
2024-07-02,30.3201,30.8998,29.7405,30.2309,50062.331625382
2024-07-03,30.2309,30.3201,29.4729,29.6959,36307.637607889
2024-07-04,29.7851,30.5877,29.4729,29.9188,55246.413676814
2024-07-05,29.9634,30.1418,29.4729,29.6959,37976.232479732
2024-07-08,29.6959,29.9634,29.6067,29.7851,57394.953847816
2024-07-09,29.7851,30.3201,29.6067,30.2755,45922.242736373
2024-07-10,30.2755,30.3201,30.008,30.2309,17132.252991949
2024-07-11,30.2755,30.4985,29.9634,30.4093,51098.475215155
2024-07-12,30.4093,30.8106,30.0972,30.766,37912.314531013
2024-07-15,30.9444,30.9444,30.0526,30.1864,46414.523078267
2024-07-16,30.3201,30.3201,29.5621,29.8742,49960.287180934
2024-07-17,29.8742,30.1418,29.2054,29.5621,41868.499146512
2024-07-18,29.2054,30.2755,29.1608,30.1418,22275.965812611
2024-07-19,30.2309,30.2309,29.4729,29.9188,24062.304274201
2024-07-22,30.1864,30.4539,29.8742,30.4539,57328.793164054
2024-07-23,30.4985,30.5431,29.6959,29.8296,62674.352138567
2024-07-24,29.8296,30.2309,29.7405,29.9188,45108.129915836
2024-07-25,29.8742,29.8742,29.25,29.2946,85620.895728976
2024-07-26,29.2946,29.5621,28.5812,29.25,83978.092310125
2024-07-29,29.3,30.2,28.75,29.75,58074.0
2024-07-30,29.7,29.75,29.1,29.3,24804.0
2024-07-31,29.3,29.3,28.5,28.55,41455.0
2024-08-01,28.55,29.35,28.5,29.0,33140.0
2024-08-02,28.5,28.6,27.6,28.15,27703.0
2024-08-05,27.55,27.95,25.0,27.0,98715.0
2024-08-06,27.25,28.15,27.0,27.5,24080.0
2024-08-07,27.9,28.0,27.4,28.0,6676.0
2024-08-08,27.7,27.7,26.7,27.0,22801.0
2024-08-09,27.0,27.5,26.4,27.0,21282.0
2024-08-12,27.1,28.0,26.7,27.6,35534.0
2024-08-13,27.65,28.35,27.65,28.0,17898.0
2024-08-14,28.2,28.3,27.8,27.8,7349.0
2024-08-16,28.1,28.75,27.9,28.75,17135.0
2024-08-19,28.8,28.9,28.5,28.55,12075.0
2024-08-20,28.6,28.7,28.5,28.5,4884.0
2024-08-21,28.6,28.7,27.95,28.35,14269.0
2024-08-22,28.25,28.5,28.0,28.4,11715.0
2024-08-23,28.4,28.7,28.35,28.55,6218.0
2024-08-26,28.6,28.9,28.6,28.85,8972.0
2024-08-27,28.9,29.0,28.8,29.0,8803.0
2024-08-28,29.0,29.3,29.0,29.2,15030.0
2024-08-29,29.0,29.4,29.0,29.25,8429.0
2024-08-30,29.25,29.3,28.9,29.0,6175.0
2024-09-02,29.0,29.3,28.8,28.85,7415.0
2024-09-03,29.2,29.25,28.5,28.5,13341.0
2024-09-04,28.5,28.9,28.0,28.5,7785.0
2024-09-05,28.8,28.95,28.1,28.2,6576.0
2024-09-06,28.1,28.6,27.9,28.3,8218.0
2024-09-09,28.3,28.3,27.9,28.25,6691.0
2024-09-10,28.25,28.5,28.05,28.2,9304.0
2024-09-11,28.25,28.45,27.7,28.05,7780.0
2024-09-12,28.05,28.4,27.95,28.4,2909.0
2024-09-13,29.35,29.5,27.25,27.7,33800.0
2024-09-16,27.2,27.5,26.1,26.85,29957.0
2024-09-17,26.85,27.0,26.2,26.9,15166.0
2024-09-18,26.95,27.3,26.75,26.75,8638.0
2024-09-19,27.0,27.0,25.95,26.5,15285.0
2024-09-20,26.5,26.85,26.0,26.75,18395.0
2024-09-23,26.75,26.75,26.1,26.6,11314.0
2024-09-24,26.6,26.6,25.7,25.8,26071.0
2024-09-25,25.8,26.05,25.4,25.6,28234.0
2024-09-26,25.5,26.5,25.45,26.0,20598.0
2024-09-27,26.0,26.45,25.75,26.1,13734.0
2024-09-30,26.1,26.1,25.45,25.75,14370.0
2024-10-01,25.55,25.95,25.5,25.85,15375.0
2024-10-02,25.8,25.85,25.45,25.8,11918.0
2024-10-03,24.9,25.35,24.1,24.3,80305.0
2024-10-04,24.4,24.95,24.4,24.75,22420.0
2024-10-07,24.75,25.0,24.2,24.5,23438.0
2024-10-08,24.75,24.9,24.4,24.7,8732.0
2024-10-09,24.7,24.75,24.3,24.7,17041.0
2024-10-10,24.7,24.9,24.55,24.85,13070.0
2024-10-11,24.9,25.0,24.75,24.95,9069.0
2024-10-14,25.0,25.8,24.95,25.55,9723.0
2024-10-15,25.8,26.75,25.65,26.1,21095.0
2024-10-16,26.1,26.6,26.1,26.6,10807.0
2024-10-17,26.6,26.65,26.3,26.3,6082.0
2024-10-18,26.35,26.65,25.6,25.95,9508.0
2024-10-21,26.0,26.4,25.15,25.55,15411.0
2024-10-22,25.55,25.8,25.2,25.35,4666.0
2024-10-23,25.35,25.8,25.3,25.4,7694.0
2024-10-24,25.6,25.6,24.75,24.85,11865.0
2024-10-25,24.85,25.4,24.4,25.3,9124.0
2024-10-28,25.5,25.55,24.9,25.2,7908.0
2024-10-29,25.3,25.45,25.05,25.15,4299.0
2024-10-30,25.15,25.35,25.0,25.3,4677.0
2024-10-31,25.3,25.8,25.05,25.8,9509.0
2024-11-04,25.85,26.0,25.0,25.65,8882.0
2024-11-05,25.65,25.7,25.3,25.3,7631.0
2024-11-06,25.65,25.65,25.0,25.15,8096.0
2024-11-07,25.25,25.25,25.05,25.2,6846.0
2024-11-08,25.3,25.65,25.3,25.6,10668.0
2024-11-12,25.6,25.8,25.45,25.7,6335.0
2024-11-13,25.65,25.75,25.4,25.4,3402.0
2024-11-14,25.65,25.65,24.2,25.5,11387.0
2024-11-15,25.5,25.6,24.8,24.9,10098.0
2024-11-18,25.0,25.1,24.5,25.1,9647.0
2024-11-19,25.15,25.3,23.15,24.0,34880.0
2024-11-20,24.0,24.7,24.0,24.65,9368.0
2024-11-21,24.65,25.0,23.35,25.0,15850.0
2024-11-22,23.4,23.4,22.35,23.0,92437.0
2024-11-25,23.0,23.0,22.4,22.45,35601.0
2024-11-26,22.4,22.45,21.65,21.9,34072.0
2024-11-27,21.95,22.3,21.65,21.75,34322.0
2024-11-28,21.85,21.85,21.2,21.65,14400.0
2024-11-29,21.65,21.65,21.05,21.35,24029.0
2024-12-02,21.25,21.25,20.55,21.1,41619.0
2024-12-03,21.35,21.65,21.15,21.55,33013.0
2024-12-04,21.65,21.65,21.25,21.55,27393.0
2024-12-05,21.5,21.55,20.95,21.35,40686.0
2024-12-06,21.2,21.35,20.85,21.0,34432.0
2024-12-09,21.0,21.2,20.7,20.9,21369.0
2024-12-10,20.85,21.0,20.2,20.4,44340.0
2024-12-11,20.4,20.4,20.1,20.2,24683.0
2024-12-12,20.3,20.75,20.3,20.5,16706.0
2024-12-13,20.5,20.55,20.05,20.3,25499.0
2024-12-16,20.35,20.5,19.88,20.05,36956.0
2024-12-17,20.1,20.2,19.6,19.7,25856.0
2024-12-18,19.64,19.98,19.52,19.98,27364.0
2024-12-19,20.0,20.25,19.72,19.88,21313.0
2024-12-20,19.88,20.15,19.72,19.98,30421.0
2024-12-23,20.0,20.0,19.5,19.7,58455.0
2024-12-27,19.8,20.45,19.72,20.45,19871.0
2024-12-30,20.45,21.55,20.45,20.8,27515.0
2025-01-02,21.9,21.9,21.0,21.65,35648.0
2025-01-03,21.85,22.4,21.7,22.0,25171.0
2025-01-07,22.0,22.55,21.5,21.75,35769.0
2025-01-08,21.65,21.75,21.4,21.4,17831.0
2025-01-09,21.4,21.7,21.25,21.65,8099.0
2025-01-10,21.7,21.75,21.2,21.2,15502.0
2025-01-13,21.2,21.65,20.9,21.4,11798.0
2025-01-14,21.55,21.6,21.2,21.5,7818.0
2025-01-15,21.5,21.7,21.25,21.55,11911.0
2025-01-16,21.6,21.9,21.55,21.7,11764.0
2025-01-17,21.8,21.95,21.6,21.75,14226.0
2025-01-20,21.75,21.9,21.55,21.75,12182.0
2025-01-21,21.8,21.85,21.5,21.7,9821.0
2025-01-22,21.7,22.0,20.75,20.9,51768.0
2025-01-23,21.0,21.2,20.65,21.0,26227.0
2025-01-24,21.05,21.25,20.9,21.0,20309.0
2025-01-27,21.0,21.3,20.65,20.7,19247.0
2025-01-28,20.7,20.9,20.45,20.45,32816.0
2025-01-29,20.5,20.7,20.05,20.4,28910.0
2025-01-30,20.4,20.95,19.98,20.9,45152.0
2025-01-31,21.0,21.15,20.6,20.9,18031.0
2025-02-03,20.9,21.2,20.6,21.2,12827.0
2025-02-04,21.3,21.8,21.2,21.65,18264.0
2025-02-05,21.65,21.8,21.25,21.65,13511.0
2025-02-06,21.7,22.2,21.65,22.0,20915.0
2025-02-07,22.2,22.75,22.0,22.75,21833.0
2025-02-10,22.75,23.9,22.6,23.75,37886.0
2025-02-11,23.75,24.45,23.55,24.25,26047.0
2025-02-12,24.4,24.7,23.0,24.35,38777.0
2025-02-13,24.45,24.5,23.9,24.1,9959.0
2025-02-14,24.2,24.4,23.5,23.8,14742.0
2025-02-17,23.8,24.4,23.8,24.35,15050.0
2025-02-18,24.4,24.4,24.0,24.2,18011.0
2025-02-19,24.3,24.35,23.6,23.6,15340.0
2025-02-20,23.75,24.05,23.5,23.9,10144.0
2025-02-21,23.9,24.0,23.5,23.9,18841.0
2025-02-24,23.9,24.0,23.5,23.5,11371.0
2025-02-25,23.55,24.0,23.5,23.9,6559.0
2025-02-26,23.9,24.0,23.7,23.9,5364.0
2025-02-27,23.9,24.0,23.5,23.65,8022.0
2025-02-28,23.65,24.0,23.3,23.85,10285.0
2025-03-03,23.95,24.0,23.5,23.95,13925.0
2025-03-04,23.95,23.95,23.05,23.35,18431.0
2025-03-05,23.55,24.1,23.35,23.8,11059.0
2025-03-06,23.8,24.15,23.5,23.75,11605.0
2025-03-07,23.75,23.75,23.45,23.5,6953.0
2025-03-10,23.85,23.95,23.45,23.55,8218.0
2025-03-11,23.7,23.95,23.55,23.7,10481.0
2025-03-12,23.7,23.9,23.6,23.85,9992.0
2025-03-13,23.9,23.95,23.65,23.85,6952.0
2025-03-14,23.8,23.8,23.35,23.35,27714.0
2025-03-17,23.45,23.9,23.2,23.6,23150.0
2025-03-18,23.75,23.9,23.5,23.5,9959.0
2025-03-19,23.5,23.75,23.5,23.65,6953.0
2025-03-20,23.7,23.9,23.5,23.85,14310.0
2025-03-21,23.85,23.9,23.5,23.8,7071.0
2025-03-24,23.8,23.9,23.5,23.85,10147.0
2025-03-25,23.8,23.9,23.5,23.55,11787.0
2025-03-26,23.55,23.9,23.5,23.9,17531.0
2025-03-27,23.9,24.4,23.7,24.4,31880.0
2025-03-28,24.4,24.4,24.0,24.3,11913.0
2025-03-31,24.3,24.4,23.8,24.0,8022.0
2025-04-01,23.95,24.35,23.85,24.35,10072.0
2025-04-02,24.35,25.05,24.0,24.9,22208.0
2025-04-03,24.5,24.75,22.05,22.7,42114.0
2025-04-04,22.7,22.85,21.4,21.85,42148.0
2025-04-07,21.6,21.7,19.8,21.45,61645.0
2025-04-08,22.2,22.9,21.65,22.6,23129.0
2025-04-09,22.55,22.55,21.3,21.5,22746.0
2025-04-10,22.15,23.0,22.0,22.4,29508.0
2025-04-11,20.55,20.75,19.74,19.96,264516.0
2025-04-14,20.3,20.45,19.92,20.1,49171.0
2025-04-15,20.15,20.15,19.94,20.05,42670.0
2025-04-16,20.05,20.2,19.9,20.0,27018.0
2025-04-17,19.92,20.0,19.86,19.9,28970.0
2025-04-22,19.9,20.3,19.9,20.25,18062.0
2025-04-23,20.35,20.5,19.88,19.88,47566.0
2025-04-24,20.0,20.5,19.88,20.05,27591.0
2025-04-25,20.1,20.45,20.1,20.35,18719.0
2025-04-28,20.4,20.6,20.3,20.5,20440.0
2025-04-29,20.5,20.75,20.3,20.4,13596.0
2025-04-30,20.4,20.6,20.15,20.3,18061.0
2025-05-02,20.3,20.6,20.3,20.4,11915.0
2025-05-05,20.4,20.55,20.2,20.4,16759.0
2025-05-06,20.5,20.65,20.35,20.4,16665.0
2025-05-07,20.5,20.7,20.3,20.5,15353.0
2025-05-08,20.6,20.6,20.1,20.5,24031.0
2025-05-09,20.55,20.75,20.25,20.7,25020.0
2025-05-12,20.95,21.25,20.65,21.1,41039.0
2025-05-13,21.2,21.3,20.65,21.3,24726.0
2025-05-14,21.3,21.3,20.9,21.0,19578.0
