Date,Open,High,Low,Close,Volume
2025-05-27,93.0,93.0,91.2,92.7,2115
2025-05-28,92.0,92.0,90.0,91.0,3050
2025-05-29,90.3,90.3,85.0,87.6,6822
2025-05-30,88.1,90.0,87.6,89.3,1605
2025-06-02,88.9,89.3,86.0,86.1,2324
2025-06-03,86.1,87.0,85.4,85.8,2065
2025-06-04,85.8,87.0,85.4,87.0,2033
2025-06-05,87.0,87.4,83.2,84.9,2731
2025-06-06,84.9,84.9,82.8,83.4,1769
2025-06-09,84.8,87.7,81.0,84.2,3405
2025-06-10,84.2,88.5,84.2,88.5,1592
2025-06-11,88.5,91.0,88.0,90.5,2245
2025-06-12,91.3,91.3,88.0,89.5,880
2025-06-13,89.4,89.4,85.0,87.5,1374
2025-06-16,87.5,89.6,87.5,88.7,2842
2025-06-17,88.7,89.6,86.8,88.6,790
2025-06-18,88.6,88.6,85.0,86.7,1155
2025-06-20,87.0,88.9,87.0,87.0,459
2025-06-23,87.0,88.0,81.4,83.3,2912
2025-06-24,84.6,84.8,82.2,84.1,2474
2025-06-25,84.1,93.0,83.0,85.0,7852
2025-06-26,86.3,89.0,84.1,85.3,3043
2025-06-27,85.0,85.2,83.0,83.8,2533
2025-06-30,83.8,83.8,81.1,83.1,1543
2025-07-01,82.7,82.7,81.2,81.6,643
2025-07-02,81.6,82.0,80.7,81.7,834
2025-07-03,81.8,82.0,80.0,81.4,1517
2025-07-04,81.4,81.5,79.0,79.1,2596
2025-07-07,79.1,80.0,78.1,78.4,1033
2025-07-08,78.3,78.4,75.1,76.0,3057
2025-07-09,77.1,77.7,74.8,74.8,2095
2025-07-10,74.7,76.5,74.2,76.2,1372
2025-07-11,75.0,81.3,75.0,78.0,2097
2025-07-14,79.7,81.2,75.0,75.1,1618
2025-07-15,75.1,77.0,75.0,76.0,493
2025-07-16,76.0,78.0,75.8,77.9,471
2025-07-17,77.8,81.1,77.5,80.6,898
2025-07-18,81.0,81.0,75.1,78.7,7940
2025-07-21,77.3,79.0,76.1,79.0,3653
2025-07-22,79.0,86.6,75.5,81.3,6326
2025-07-23,82.8,85.8,79.4,84.4,6681
2025-07-24,85.6,86.5,84.0,84.5,1024
2025-07-25,84.7,85.6,82.5,84.8,583
2025-07-28,84.5,84.5,82.5,83.9,433
2025-07-29,83.9,89.0,81.0,83.9,4183
2025-07-30,83.8,84.6,82.0,84.0,334
2025-07-31,84.0,84.7,82.6,82.9,235
2025-08-01,82.9,85.8,79.5,82.4,5069
2025-08-04,82.4,83.2,80.0,80.9,1485
2025-08-05,81.2,81.7,79.8,80.5,504
2025-08-06,81.3,82.9,79.9,80.3,2258
2025-08-07,81.0,81.4,80.1,81.4,228
2025-08-08,81.4,81.4,79.6,79.6,2241
2025-08-11,82.0,90.0,79.0,79.0,10250
2025-08-12,79.0,82.0,79.0,80.8,480
2025-08-13,85.9,86.0,80.6,82.0,4619
2025-08-14,82.6,83.1,81.2,81.5,1523
2025-08-18,82.8,84.4,81.5,83.5,1230
2025-08-19,82.1,84.4,82.1,83.1,423
2025-08-20,84.9,86.0,83.3,86.0,1036
2025-08-21,86.0,88.0,85.0,87.0,1724
2025-08-22,87.0,87.6,85.1,87.4,907
2025-08-25,87.6,87.6,85.2,87.5,413
2025-08-26,87.6,88.0,85.1,85.1,1788
2025-08-27,85.1,88.7,83.6,88.1,1609
2025-08-28,87.8,88.0,81.2,81.6,5464
2025-08-29,81.6,82.5,79.5,80.7,1437
2025-09-01,81.5,82.4,79.5,81.4,551
2025-09-02,81.4,81.4,79.2,80.8,351
2025-09-03,80.8,82.3,80.1,81.9,361
2025-09-04,81.7,81.8,76.2,78.3,3096
2025-09-05,80.2,80.9,78.2,80.4,490
2025-09-08,80.4,81.0,79.1,80.8,433
2025-09-09,79.8,81.2,79.2,81.1,911
2025-09-10,80.9,80.9,78.0,79.8,857
2025-09-11,79.8,81.7,79.1,81.5,1179
2025-09-12,81.0,82.0,80.2,82.0,1167
2025-09-15,82.0,83.0,81.2,82.8,1328
2025-09-16,82.8,82.9,81.3,82.8,241
2025-09-17,81.6,83.0,81.0,82.7,1064
2025-09-18,82.7,83.4,80.8,83.4,451
2025-09-19,83.2,85.8,81.2,85.8,1245
2025-09-22,83.0,87.6,83.0,85.0,1143
2025-09-23,85.1,87.0,84.1,85.0,629
2025-09-24,86.1,86.1,82.8,84.1,325
2025-09-25,84.0,84.8,83.7,84.4,466
2025-09-26,81.9,83.5,76.6,80.2,6667
2025-09-29,80.0,80.0,73.4,74.0,10603
2025-09-30,73.0,73.0,67.8,68.7,8298
2025-10-01,71.0,74.0,69.5,71.0,6062
2025-10-02,71.1,74.0,71.1,73.2,2559
2025-10-03,73.0,73.0,70.0,70.2,3572
2025-10-06,70.0,70.8,69.6,70.6,1533
2025-10-07,70.5,71.0,70.0,70.5,300
2025-10-08,71.0,72.6,70.2,71.8,1274
2025-10-09,70.2,71.0,69.9,70.8,609
2025-10-10,70.0,73.1,70.0,71.5,3544
2025-10-13,71.2,71.3,70.0,70.7,857
2025-10-14,70.6,71.3,69.7,69.8,1044
2025-10-15,70.2,70.2,68.5,68.5,1170
2025-10-16,68.1,70.2,66.5,67.0,9910
2025-10-17,68.0,68.5,66.5,66.7,3133
2025-10-20,67.0,70.9,66.8,70.0,3129
2025-10-21,70.4,70.8,69.1,70.6,3291
2025-10-22,69.3,74.0,69.3,73.8,4131
2025-10-23,73.9,73.9,71.6,72.7,1021
2025-10-24,72.8,73.6,71.6,73.6,946
2025-10-27,73.8,74.2,73.0,74.0,1388
2025-10-28,74.0,74.5,72.7,73.5,1631
2025-10-29,74.4,74.4,71.4,73.9,433
2025-10-30,73.7,74.5,72.0,72.0,1403
2025-10-31,73.0,73.2,71.7,73.0,2049
2025-11-03,72.0,73.2,71.9,72.9,1125
2025-11-04,72.8,72.8,71.4,72.4,1665
2025-11-05,71.5,71.7,70.6,71.5,1120
2025-11-06,71.5,72.6,71.0,72.0,1317
2025-11-07,72.0,72.3,67.0,70.1,3574
2025-11-10,70.3,70.4,69.1,70.3,779
2025-11-12,71.0,72.4,69.9,70.2,1595
2025-11-13,71.5,71.5,68.9,69.9,2135
2025-11-14,69.0,70.8,67.7,70.3,1965
2025-11-17,70.4,70.8,68.8,70.8,772
2025-11-18,69.2,71.3,69.1,70.6,2545
2025-11-19,71.0,72.1,69.6,70.9,1473
2025-11-20,71.5,71.5,69.1,71.0,2018
2025-11-21,69.6,70.0,68.7,69.3,1339
2025-11-24,70.2,70.2,68.7,70.0,610
2025-11-25,69.5,72.2,69.3,72.0,3585
2025-11-26,72.5,73.2,71.1,73.0,3649
2025-11-27,73.3,74.6,72.6,74.0,1596
2025-11-28,73.9,74.7,73.0,73.3,816
2025-12-01,73.8,79.5,73.8,78.5,8261
2025-12-02,78.8,82.0,78.5,79.9,4980
2025-12-03,80.9,82.0,80.0,81.5,2196
2025-12-04,81.6,81.9,77.8,78.8,2630
2025-12-05,79.1,81.8,79.1,81.2,2516
2025-12-08,81.2,81.7,79.5,79.9,1489
2025-12-09,79.9,80.8,79.0,79.3,817
2025-12-10,79.3,79.8,78.1,79.4,690
2025-12-11,78.4,80.3,78.4,80.2,284
2025-12-12,79.0,81.0,78.3,80.0,1579
2025-12-15,80.0,80.0,76.1,77.6,2916
2025-12-16,77.7,78.0,76.0,76.2,1950
2025-12-17,76.3,77.4,76.0,76.6,1023
2025-12-18,76.6,76.6,73.1,74.6,2618
2025-12-19,74.0,75.8,73.1,73.3,2507
2025-12-22,73.1,73.1,70.5,71.9,6624
2025-12-23,71.9,71.9,70.0,71.0,9611
2025-12-29,71.5,73.0,71.1,72.4,2068
2025-12-30,72.0,74.0,70.0,72.8,4912
2026-01-02,72.6,75.9,72.6,75.4,797
2026-01-05,76.2,77.7,73.0,77.6,3457
2026-01-07,76.2,77.6,74.0,75.4,3837
2026-01-08,76.0,79.1,75.0,77.7,1653
2026-01-09,77.7,78.6,74.6,75.0,2157
2026-01-12,76.0,76.0,73.0,75.5,1857
2026-01-13,75.5,77.2,74.2,76.3,2824
2026-01-14,76.4,76.5,73.1,74.9,1532
2026-01-15,73.9,74.9,73.2,73.2,987
2026-01-16,73.2,75.1,72.7,73.8,2569
2026-01-19,73.8,75.4,73.4,74.7,699
2026-01-20,73.6,76.0,73.6,75.3,1078
2026-01-21,75.9,76.5,74.8,76.4,1277
2026-01-22,76.5,77.8,76.0,76.8,2720
2026-01-23,75.7,77.4,74.8,76.9,4363
2026-01-26,77.0,77.0,74.6,76.6,2144
2026-01-27,76.6,76.6,72.0,75.0,6855
2026-01-28,75.0,76.0,73.6,73.7,1618
2026-01-29,73.7,74.4,70.0,73.9,3734
2026-01-30,74.4,74.4,71.7,72.2,1115
2026-02-02,72.0,72.7,66.7,70.9,5647
2026-02-03,71.5,71.9,70.0,70.0,1491
2026-02-04,70.0,70.0,68.6,68.8,2082
2026-02-05,68.6,69.6,67.8,68.0,2167
2026-02-06,67.6,68.8,67.0,68.5,1737
2026-02-09,69.0,69.8,67.5,69.1,2312
2026-02-10,68.4,68.4,63.2,65.5,8713
2026-02-11,65.6,65.6,64.1,64.6,1800
2026-02-12,64.1,65.6,64.0,64.6,1791
2026-02-13,64.1,65.2,63.0,63.1,1052
2026-02-16,62.4,63.2,62.3,62.9,921
2026-02-17,63.0,64.0,61.5,62.8,2046
2026-02-18,62.6,62.8,60.6,62.0,1609
2026-02-19,62.0,64.0,62.0,63.0,1180
2026-02-20,63.6,66.2,63.6,65.8,1850
2026-02-23,66.2,66.4,62.3,64.8,1660
2026-02-24,72.8,72.8,67.0,70.3,12481
2026-02-25,70.1,72.6,64.8,66.8,9417
2026-02-26,66.9,67.8,63.8,63.9,4048
2026-02-27,64.4,66.8,63.5,66.1,4220
2026-03-02,66.6,66.6,64.1,64.5,2927
2026-03-03,66.3,66.4,63.6,63.9,1579
2026-03-04,64.5,65.4,64.1,64.2,1500
2026-03-05,64.2,65.2,63.7,65.0,1124
2026-03-06,65.0,65.0,64.0,64.0,1659
2026-03-09,63.8,65.3,63.0,65.3,1807
2026-03-10,69.9,70.0,66.1,66.2,35433
2026-03-11,67.9,69.6,66.2,66.4,9664
2026-03-12,68.6,73.4,67.6,71.4,16995
2026-03-13,71.4,72.0,68.2,70.2,10023
2026-03-16,71.9,72.0,68.7,70.6,4424
2026-03-17,70.7,75.5,70.7,73.6,7190
2026-03-18,74.8,76.4,74.0,76.3,3722
2026-03-19,76.5,76.9,70.6,73.5,4846
2026-03-20,73.5,75.6,70.7,70.7,3047
2026-03-23,70.0,72.4,66.6,70.0,7430
2026-03-24,70.0,72.4,69.6,72.4,973
2026-03-25,72.4,73.2,68.0,70.0,4734
2026-03-26,70.9,71.0,67.7,67.8,3883
2026-03-27,69.3,69.3,66.0,67.1,2552
2026-03-30,67.1,67.1,65.4,65.9,4657
2026-03-31,65.5,67.8,65.2,66.8,2366
2026-04-01,66.6,71.1,66.6,69.0,2305
2026-04-02,69.8,69.8,65.7,67.0,1669
2026-04-07,67.8,67.9,66.1,67.3,864
2026-04-08,67.4,69.8,66.9,68.6,2040
2026-04-09,68.0,68.0,66.4,67.0,1498
2026-04-10,67.3,67.4,66.1,66.3,2346
2026-04-13,67.4,67.5,65.5,66.5,1926
2026-04-14,66.9,67.2,65.5,65.9,2541
2026-04-15,65.9,66.9,64.8,65.3,2471
2026-04-16,65.0,66.6,63.0,64.6,5192
2026-04-17,64.0,69.0,63.6,68.7,8725
2026-04-20,67.7,67.7,65.6,66.5,2123
2026-04-21,66.5,66.5,65.3,66.0,4205
2026-04-22,66.7,68.1,65.4,66.0,4363
2026-04-23,66.6,66.6,64.3,65.0,11281
2026-04-24,65.0,66.0,64.0,64.0,2610
2026-04-27,63.8,64.0,63.0,63.6,5149
2026-04-28,64.4,64.4,63.5,63.5,565
2026-04-29,63.1,63.9,61.7,61.7,2827
2026-04-30,62.0,62.7,59.1,59.1,6256
2026-05-04,59.9,63.1,59.9,61.6,4692
2026-05-05,61.7,63.7,61.7,62.2,3564
2026-05-06,62.2,63.9,61.5,63.0,5696
2026-05-07,63.6,64.5,61.5,61.5,2565
2026-05-08,61.6,63.0,60.0,61.0,2802
2026-05-11,61.0,61.0,59.6,61.0,3126
2026-05-12,60.8,61.0,59.1,60.1,2010
2026-05-13,60.5,60.5,59.0,60.0,4140
2026-05-14,60.5,60.9,59.2,59.3,2736
2026-05-15,61.0,61.0,59.5,60.2,922
2026-05-18,60.7,60.7,57.6,58.5,2506
2026-05-19,59.9,60.0,55.4,57.3,3327
2026-05-20,57.7,57.7,54.4,54.7,8587
2026-05-21,55.8,55.8,54.9,54.9,1379
2026-05-22,54.9,55.0,54.0,54.8,5105
2026-05-25,55.3,59.7,54.8,59.7,7989
