Date,Open,High,Low,Close,Volume
2014-07-10,1.47516,2.20591,1.47516,2.20591,211537.20323684264
2014-07-11,2.64675,3.17609,2.36027,2.99309,181718.52616365583
2014-07-14,2.95033,2.95033,2.22772,2.43723,135458.64910423127
2014-07-15,2.45219,2.55268,1.96176,2.00964,151034.52277540628
2014-07-16,1.92413,1.96689,1.67528,1.89762,191213.7284316712
2014-07-17,1.88137,1.96689,1.71034,1.76593,81247.12482529477
2014-07-18,1.76593,1.77447,1.58206,1.72573,36834.83638452483
2014-07-21,1.72488,1.7873,1.58206,1.76207,59590.579750964615
2014-07-22,1.6462,1.75267,1.6462,1.72573,35688.86369700628
2014-07-23,1.72573,2.04727,1.72573,2.01393,43406.63893947814
2014-07-24,1.8818,2.02889,1.79585,1.98355,40038.88247003588
2014-07-25,1.99596,2.0199,1.96689,2.0199,5753.250635297212
2014-07-28,2.02889,2.02889,1.77362,1.87069,33607.403101309326
2014-07-29,1.77447,1.87069,1.72616,1.79158,30192.87223645813
2014-07-30,1.67485,1.79585,1.56068,1.64578,61251.07078798128
2014-07-31,1.64021,1.64021,1.34731,1.60344,15903.294439032945
2014-08-01,1.45378,1.60986,1.41103,1.58206,19247.66371077076
2014-08-04,1.48713,1.57351,1.35758,1.53931,26848.50296472032
2014-08-05,1.41103,1.46277,1.28276,1.36827,36413.86682584455
2014-08-06,1.28276,1.28276,1.11385,1.28019,64338.18088497005
2014-08-07,1.18869,1.28019,1.18442,1.23871,17821.04465079868
2014-08-08,1.23999,1.27377,1.19253,1.19253,21212.18831794541
2014-08-11,1.2648,1.2648,1.07965,1.09077,36086.4460579821
2014-08-12,1.19723,1.19723,1.10658,1.14978,22381.548203168422
2014-08-13,1.15021,1.15021,1.03903,1.09247,24954.13995065905
2014-08-14,1.09204,1.09204,1.06897,1.06897,6875.836125111302
2014-08-18,1.0711,1.28019,1.06897,1.14166,76031.77973720014
2014-08-19,1.2246,1.2246,1.113,1.16731,19013.79173372615
2014-08-20,1.21862,1.21862,1.11642,1.20749,45184.06596501714
2014-08-21,1.1207,1.18869,1.11172,1.18569,19551.69728092874
2014-08-22,1.18783,1.18869,1.10531,1.16218,4420.180366142979
2014-08-25,1.16218,1.16218,1.06897,1.06897,4864.537122527724
2014-08-26,1.12882,1.12882,1.0262,1.06897,9027.45831392164
2014-08-27,1.09034,1.15192,1.00696,1.12711,3601.628446486872
2014-08-28,1.06897,1.12925,0.983444,1.12412,20510.572386811604
2014-08-29,1.12027,1.12027,0.940685,0.944963,40132.43126085372
2014-09-01,0.944963,1.00055,0.855596,0.898354,24299.29841493416
2014-09-02,0.867996,0.987727,0.867996,0.986432,31198.52173774992
2014-09-03,0.986004,1.01466,0.929998,1.00227,30730.77778366072
2014-09-04,1.0014,1.0014,0.882962,0.996272,14546.83697217425
2014-09-05,0.983444,0.983444,0.897927,0.897927,16254.102404599846
2014-09-08,0.946669,0.946669,0.919308,0.940685,7460.516067722806
2014-09-09,0.939836,0.940685,0.9022,0.936415,29608.192293846627
2014-09-10,0.936415,0.936415,0.876976,0.917166,41746.14790246148
2014-09-11,0.897927,0.940265,0.897927,0.940265,15108.129717081294
2014-09-12,0.940265,0.962071,0.940265,0.941114,9752.461442759908
2014-09-15,0.934271,0.962071,0.934271,0.957779,19458.148490110896
2014-09-16,0.953516,1.00055,0.949233,1.00055,35782.41248782412
2014-09-17,1.00055,1.00227,0.983444,0.983444,6618.576950362239
2014-09-18,0.980456,0.983444,0.980456,0.983444,5776.637833001672
2014-09-19,0.98216,1.06897,0.98216,1.06639,44482.45003388333
2014-09-22,1.06854,1.06854,0.991999,1.06854,10991.982921096298
2014-09-23,1.06682,1.06897,1.0262,1.06811,10079.882210622349
2014-09-24,1.0262,1.06811,1.0262,1.06811,6244.381787090877
2014-09-25,1.06811,1.1472,1.0262,1.07751,15529.09927576158
2014-09-26,1.0262,1.11172,1.0262,1.06769,33443.6927173781
2014-09-29,1.06769,1.06769,1.0262,1.0262,4326.631575325138
2014-09-30,1.04331,1.06769,0.991999,1.0262,19083.95332683953
2014-10-01,1.02407,1.03903,1.02407,1.03903,257.2591747490623
2014-10-02,1.04758,1.04972,1.0262,1.04972,2923.3997130575267
2014-10-03,1.04972,1.05827,0.983444,1.0262,12067.794015501468
2014-10-06,1.04758,1.04758,1.04758,1.04758,280.6463724535225
2014-10-07,1.05143,1.05186,1.05143,1.05186,257.2591747490623
2014-10-09,1.06769,1.06854,1.00696,1.00696,654.841535724886
2014-10-10,1.06854,1.06854,1.0091,1.01337,2408.881363559402
2014-10-13,1.01337,1.03604,0.983444,1.03604,6010.509810046274
2014-10-14,0.985576,1.0262,0.983444,0.983444,42143.730263437305
2014-10-15,0.983444,0.983444,0.983444,0.983444,116.93598852230107
2014-10-16,1.0215,1.0215,1.0215,1.0215,2759.6893291263045
2014-10-17,1.0215,1.0215,0.979162,1.0091,5075.021901867865
2014-10-20,0.979162,1.01081,0.940265,1.00269,16394.42559082661
2014-10-21,0.981741,0.981741,0.981741,0.981741,2362.1069681504814
2014-10-22,0.940685,0.970188,0.940685,0.970188,1987.911804879118
2014-10-23,0.940685,0.966334,0.9022,0.966334,17727.495859980838
2014-10-24,0.940685,0.940685,0.940685,0.940685,23.38719770446021
2014-10-27,0.940685,0.940685,0.897927,0.897927,6431.479368726558
2014-10-28,0.889378,0.915033,0.859444,0.915033,14196.029006607348
2014-10-29,0.859444,0.859444,0.855169,0.855169,9261.330290966243
2014-10-30,0.844051,0.910758,0.782479,0.850893,15435.55048494374
2014-10-31,0.855169,0.855169,0.817968,0.820961,10337.141385371411
2014-11-03,0.83379,0.83379,0.83379,0.83379,912.100710473948
2014-11-04,0.867996,0.867996,0.867996,0.867996,23.38719770446021
2014-11-05,0.81241,0.869707,0.774355,0.775638,10126.65660603127
2014-11-06,0.776065,0.776065,0.748272,0.756824,21983.9658421926
2014-11-07,0.737583,0.873127,0.737583,0.873127,28976.737955826204
2014-11-10,0.873982,0.882534,0.825665,0.882534,2619.366142899544
2014-11-12,0.825665,0.867141,0.778203,0.824383,18639.596570454785
2014-11-13,0.855169,0.867141,0.778203,0.778203,28789.640374190523
2014-11-14,0.754259,0.805141,0.754259,0.769652,13587.961866291382
2014-11-17,0.81583,0.842341,0.769652,0.834644,14289.577797425189
2014-11-18,0.776065,0.829514,0.776065,0.829514,1029.0366989962492
2014-11-19,0.829514,0.829514,0.803859,0.803859,4700.826738596503
2014-11-20,0.808134,0.83379,0.803859,0.83379,15342.001694125898
2014-11-21,0.795308,0.829941,0.795308,0.829941,935.4879081784086
2014-11-24,0.795308,0.81241,0.784618,0.81241,2268.5581773326403
2014-11-25,0.800011,0.800011,0.738438,0.79103,5238.732285799088
2014-11-26,0.79103,0.79103,0.752549,0.752549,16113.779218373083
2014-11-27,0.752549,0.795308,0.752549,0.795308,1613.7166416077546
2014-11-28,0.795308,0.795308,0.795308,0.795308,467.7439540892043
2014-12-01,0.754687,0.781197,0.743997,0.781197,6174.220193977497
2014-12-02,0.748272,0.769652,0.744852,0.769652,3437.918062555651
2014-12-03,0.769652,0.769652,0.729032,0.768797,16698.45916098459
2014-12-04,0.743997,0.743997,0.743997,0.743997,23.38719770446021
2014-12-05,0.731597,0.768797,0.731597,0.768797,6735.512938884541
2014-12-08,0.768797,0.768797,0.731597,0.767942,6852.448927406842
2014-12-09,0.768797,0.768797,0.765376,0.765376,163.7103839312215
2014-12-10,0.768797,0.768797,0.731169,0.764094,1777.427025538976
2014-12-11,0.763238,0.763238,0.760245,0.7611,11880.696433865787
2014-12-12,0.752549,0.752549,0.733307,0.733307,7016.159311338064
2014-12-15,0.733307,0.748272,0.733307,0.748272,9541.976663419766
2014-12-16,0.752549,0.79103,0.752549,0.79103,4817.762727118804
2014-12-17,0.79103,0.79103,0.79103,0.79103,46.77439540892041
2014-12-18,0.79103,0.79103,0.79103,0.79103,46.77439540892041
2014-12-19,0.79103,0.79103,0.79103,0.79103,23.38719770446021
2014-12-22,0.79103,0.79103,0.733734,0.733734,4607.277947778662
2014-12-23,0.733307,0.741859,0.733307,0.741859,3601.628446486872
2014-12-29,0.733307,0.78761,0.733307,0.78761,8021.808812629852
2014-12-30,0.785044,0.79103,0.731169,0.79103,12956.507528270957
2015-01-02,0.761956,0.839776,0.761956,0.839776,304.03357015798275
2015-01-05,0.799583,0.816687,0.799583,0.816687,608.0671403159655
2015-01-07,0.816687,0.829514,0.816687,0.829514,1286.2958737453116
2015-01-08,0.823955,0.823955,0.769652,0.823955,163.7103839312215
2015-01-09,0.829514,0.829514,0.829514,0.829514,46.77439540892041
2015-01-12,0.829514,0.829514,0.829514,0.829514,23.38719770446021
2015-01-13,0.829514,0.829514,0.829514,0.829514,233.8719770446021
2015-01-14,0.829514,0.829514,0.829514,0.829514,23.38719770446021
2015-01-15,0.823099,0.823099,0.769652,0.823099,1590.3294439032943
2015-01-16,0.829514,0.829514,0.823099,0.823099,20627.508375333902
2015-01-19,0.822673,0.822673,0.820534,0.822673,1122.58548981409
2015-01-20,0.822673,0.822673,0.822673,0.822673,23.38719770446021
2015-01-21,0.822673,0.822673,0.779914,0.779914,2432.268561263862
2015-01-22,0.779914,0.779914,0.779914,0.779914,3695.177237304713
2015-01-23,0.807706,0.807706,0.748272,0.807706,24533.170391978765
2015-01-26,0.807706,0.807706,0.807706,0.807706,70.16159311338062
2015-01-27,0.807706,0.807706,0.648218,0.648218,8489.552766719058
2015-01-28,0.649928,0.735445,0.649928,0.735445,3367.7564694422704
2015-01-29,0.735445,0.769652,0.735445,0.769652,163.7103839312215
2015-01-30,0.769652,0.782053,0.769652,0.782053,467.7439540892043
2015-02-02,0.79103,0.79103,0.79103,0.79103,23.38719770446021
2015-02-03,0.79103,0.79103,0.79103,0.79103,46.77439540892041
2015-02-04,0.79103,0.79103,0.769652,0.769652,2666.140538308464
2015-02-05,0.748272,0.786327,0.748272,0.786327,584.6799426115052
2015-02-06,0.799583,0.799583,0.79659,0.799583,3788.7260281225535
2015-02-09,0.799155,0.799155,0.748272,0.748272,2385.494165854941
2015-02-10,0.748272,0.805996,0.748272,0.805996,4654.052343187582
2015-02-11,0.81241,0.829514,0.731169,0.829514,16043.617625259703
2015-02-12,0.829514,0.829514,0.829514,0.829514,23.38719770446021
2015-02-13,0.829514,0.829514,0.731597,0.7983,5379.055472025848
2015-02-17,0.750838,0.771789,0.726893,0.771789,34121.92145080745
2015-02-18,0.731169,0.771789,0.726893,0.771789,27012.213348651545
2015-02-20,0.746134,0.769652,0.746134,0.768368,18803.30695438601
2015-02-23,0.765376,0.765376,0.760245,0.760245,1239.5214783363913
2015-02-24,0.758962,0.829086,0.742714,0.829086,10383.915780780331
2015-02-25,0.823099,0.823099,0.752549,0.799583,4116.146795984997
2015-02-26,0.799583,0.823099,0.769652,0.823099,1917.7502117657373
2015-02-27,0.823099,0.897927,0.780342,0.876548,17259.751905891637
2015-03-02,0.897074,0.897074,0.897074,0.897074,1473.3934553809934
2015-03-03,0.897074,0.897927,0.855169,0.897927,10407.302978484791
2015-03-04,0.897927,0.897927,0.897927,0.897927,23.38719770446021
2015-03-05,0.855596,0.893226,0.820961,0.820961,6314.543380204257
2015-03-06,0.820961,0.855169,0.820961,0.855169,818.5519196561073
2015-03-09,0.876548,0.876548,0.876548,0.876548,23.38719770446021
2015-03-10,0.855169,0.882962,0.820961,0.882962,3741.9516327136334
2015-03-11,0.783762,0.8975,0.783762,0.825238,7156.482497564824
2015-03-12,0.863721,0.863721,0.863721,0.863721,233.8719770446021
2015-03-13,0.863721,0.863721,0.81241,0.863721,2198.39658421926
2015-03-16,0.863721,0.863721,0.863721,0.863721,23.38719770446021
2015-03-17,0.859444,0.859444,0.859444,0.859444,1005.6495012917892
2015-03-18,0.813265,0.889378,0.808134,0.889378,1122.58548981409
2015-03-19,0.868424,1.09034,0.868424,1.09034,15973.456032146323
2015-03-20,1.07323,1.15362,1.0091,1.13096,22498.484191690724
2015-03-23,1.11172,1.11172,1.0091,1.06468,1590.3294439032943
2015-03-24,1.04331,1.04331,0.983444,0.983444,444.356756384744
2015-03-25,0.983444,0.988155,0.940685,0.988155,4303.244377620678
2015-03-26,0.940685,0.940685,0.940685,0.940685,771.7775242471871
2015-03-27,0.940685,0.940685,0.940685,0.940685,420.9695586802838
2015-03-30,0.940685,0.940685,0.940685,0.940685,935.4879081784086
2015-03-31,0.940685,1.06468,0.940685,1.06468,1613.7166416077546
2015-04-01,1.04758,1.06041,1.04758,1.06041,4092.759598280537
2015-04-02,1.05997,1.05997,1.05997,1.05997,23.38719770446021
2015-04-07,0.983444,0.983444,0.965916,0.965916,631.4543380204257
2015-04-08,0.965916,0.965916,0.851321,0.949233,96729.44970564744
2015-04-09,0.949233,0.949233,0.949233,0.949233,23.38719770446021
2015-04-14,0.949233,0.949233,0.949233,0.949233,46.77439540892041
2015-04-15,0.949233,0.949233,0.949233,0.949233,23.38719770446021
2015-04-20,0.949233,1.01723,0.949233,1.01723,11249.242095845362
2015-04-21,0.983444,0.983444,0.983444,0.983444,233.8719770446021
2015-04-22,1.01723,1.01723,1.01723,1.01723,23.38719770446021
2015-04-23,0.918455,0.918455,0.918455,0.918455,116.93598852230107
2015-04-24,0.917592,0.917592,0.889378,0.889378,3508.079655669032
2015-04-27,0.940685,0.940685,0.885954,0.885954,4443.56756384744
2015-04-28,0.885954,0.885954,0.885954,0.885954,93.54879081784082
2015-04-29,0.885954,0.885954,0.885954,0.885954,46.77439540892041
2015-04-30,0.944963,0.944963,0.944963,0.944963,1637.1038393122146
2015-05-04,0.944963,0.944963,0.81241,0.873127,3695.177237304713
2015-05-05,0.873127,0.940685,0.846189,0.849182,14102.480215789508
2015-05-06,0.855169,0.876548,0.846617,0.846617,12325.053190250532
2015-05-08,0.845761,0.845761,0.841914,0.841914,1473.3934553809934
2015-05-11,0.841914,0.900069,0.841914,0.900069,2362.1069681504814
2015-05-13,0.846617,0.867141,0.838066,0.867141,18920.242942908302
2015-05-14,0.867141,0.867141,0.846617,0.846617,13775.059447927066
2015-05-15,0.846617,0.863721,0.846617,0.863721,4887.924320232185
2015-05-18,0.876548,0.919308,0.857306,0.919308,100752.0477108146
2015-05-20,0.92144,0.92144,0.92144,0.92144,5425.829867434768
2015-05-21,0.92144,0.92144,0.92144,0.92144,2736.3021314218445
2015-05-22,0.897927,0.897927,0.8851,0.8851,4583.890750074202
2015-05-26,0.889378,0.889378,0.889378,0.889378,23.38719770446021
2015-05-27,0.889378,0.889378,0.889378,0.889378,654.841535724886
2015-05-28,0.889378,0.927856,0.889378,0.927856,9612.138256533146
2015-05-29,0.929998,0.929998,0.929998,0.929998,20463.797991402684
2015-06-01,0.936415,0.940685,0.936415,0.940685,2455.655758968322
