Date,Open,High,Low,Close,Volume
2025-05-27,23.59,23.75,23.3,23.54,2993921
2025-05-28,23.73,23.94,23.4,23.48,2933383
2025-05-29,23.66,23.8,22.93,23.0,4129488
2025-05-30,22.91,23.0,22.39,22.61,15515703
2025-06-02,22.8,23.06,21.94,22.14,2095598
2025-06-03,22.35,22.39,21.62,22.04,1890331
2025-06-04,22.25,22.41,21.9,22.0,982693
2025-06-05,22.0,22.47,21.96,22.12,687776
2025-06-06,22.38,22.38,21.77,22.13,1002833
2025-06-09,22.13,22.35,21.94,22.24,900538
2025-06-10,22.35,22.35,21.55,21.69,2861733
2025-06-11,21.78,21.9,21.36,21.9,1338110
2025-06-12,21.88,21.88,21.35,21.46,1434593
2025-06-13,21.15,21.6,21.11,21.51,1871633
2025-06-16,21.51,21.99,21.47,21.69,1288007
2025-06-17,21.83,22.0,21.64,21.64,1311266
2025-06-18,21.8,21.9,21.56,21.7,1285453
2025-06-20,21.84,21.85,21.5,21.78,21431393
2025-06-23,21.7,21.7,20.87,21.1,1661982
2025-06-24,21.23,21.75,21.23,21.47,1340092
2025-06-25,21.47,21.82,21.43,21.75,856738
2025-06-26,21.88,22.27,21.71,22.21,2788946
2025-06-27,22.22,22.38,22.09,22.2,2281749
2025-06-30,22.34,22.34,21.54,21.64,2166526
2025-07-01,21.7,22.06,21.55,21.89,1040123
2025-07-02,21.89,21.91,21.43,21.59,1135082
2025-07-03,21.6,22.04,21.6,21.78,1033218
2025-07-04,21.83,21.95,21.44,21.89,2555747
2025-07-07,21.91,21.91,21.61,21.66,773182
2025-07-08,21.66,21.88,20.67,20.67,2233949
2025-07-09,20.99,21.52,20.44,21.2,1831694
2025-07-10,21.23,21.44,20.7,20.84,1077495
2025-07-11,20.86,20.92,20.49,20.65,2219506
2025-07-14,20.8,21.24,20.62,21.19,1532099
2025-07-15,21.29,21.47,21.0,21.1,1265552
2025-07-16,21.28,21.28,20.74,20.74,974938
2025-07-17,20.88,21.08,20.56,20.6,2036055
2025-07-18,20.76,21.19,20.75,21.15,4019338
2025-07-21,21.15,21.41,20.89,21.0,2186182
2025-07-22,21.12,21.19,21.0,21.08,1531407
2025-07-23,21.2,21.37,20.95,21.25,2129651
2025-07-24,21.17,21.42,21.08,21.15,1249381
2025-07-25,21.28,21.51,20.98,21.3,4447434
2025-07-28,21.3,21.47,20.78,20.79,1455353
2025-07-29,20.79,21.13,20.79,21.05,869111
2025-07-30,21.17,21.35,20.94,21.18,813588
2025-07-31,21.19,21.27,20.75,20.75,2008197
2025-08-01,20.8,20.82,20.01,20.06,2329397
2025-08-04,20.35,20.39,19.77,20.02,1318516
2025-08-05,20.3,20.41,19.94,20.0,1540413
2025-08-06,21.1,22.07,20.82,21.72,8524354
2025-08-07,21.7,21.98,21.48,21.8,3653060
2025-08-08,21.79,21.94,21.55,21.92,2096847
2025-08-11,21.92,22.12,21.7,21.8,1997722
2025-08-12,21.69,21.9,21.53,21.7,1156432
2025-08-13,21.7,21.9,21.42,21.7,6128675
2025-08-14,21.85,21.92,21.45,21.88,3234084
2025-08-18,21.93,22.1,21.62,21.67,9908237
2025-08-19,21.88,21.93,21.49,21.93,1430845
2025-08-20,21.82,21.88,21.42,21.6,1198775
2025-08-21,21.6,21.9,21.55,21.9,970362
2025-08-22,21.9,22.28,21.85,22.28,3250395
2025-08-25,22.28,22.96,22.08,22.33,2930803
2025-08-26,22.3,22.64,22.01,22.53,4649318
2025-08-27,22.54,22.68,22.09,22.17,1504494
2025-08-28,22.23,22.35,21.88,22.0,1282890
2025-08-29,21.9,22.18,21.8,21.8,857493
2025-09-01,21.8,21.95,21.45,21.64,1338305
2025-09-02,21.64,22.0,21.37,21.76,1552109
2025-09-03,21.76,21.85,21.52,21.63,998578
2025-09-04,21.65,22.0,21.62,22.0,2731299
2025-09-05,22.07,22.12,21.78,21.78,814373
2025-09-08,21.95,22.08,21.85,21.97,1091016
2025-09-09,22.0,22.01,21.81,21.94,1076023
2025-09-10,21.8,21.94,21.27,21.69,931246
2025-09-11,21.75,21.85,21.65,21.7,711541
2025-09-12,21.81,21.91,21.62,21.65,570837
2025-09-15,21.65,21.75,21.49,21.7,902493
2025-09-16,21.85,21.87,21.22,21.32,877019
2025-09-17,21.48,21.5,21.16,21.29,824244
2025-09-18,21.3,21.82,21.26,21.77,1865906
