Date,Open,High,Low,Close,Volume
2025-05-27,30.94,32.6,30.84,32.58,1121622
2025-05-28,32.34,32.44,31.39,31.55,1031341
2025-05-29,31.86,31.93,30.55,30.84,963382
2025-05-30,30.83,31.8,30.77,31.45,1990982
2025-06-02,31.21,32.32,31.07,32.32,922865
2025-06-03,32.42,32.46,31.02,31.08,988552
2025-06-04,31.23,31.57,30.76,30.76,1127169
2025-06-05,30.81,30.95,30.28,30.56,1065755
2025-06-06,30.6,30.96,30.22,30.22,524636
2025-06-09,30.19,30.76,30.01,30.16,625696
2025-06-10,30.1,30.26,29.46,29.54,1142421
2025-06-11,29.04,29.82,28.8,29.59,857642
2025-06-12,29.18,29.54,28.65,28.65,1139919
2025-06-13,28.0,28.62,27.88,28.5,892095
2025-06-16,28.6,28.79,28.34,28.72,724292
2025-06-17,28.54,28.54,27.92,28.02,745319
2025-06-18,28.0,28.17,27.46,27.74,856949
2025-06-19,27.41,27.41,26.31,26.53,1256678
2025-06-20,26.79,27.07,26.45,26.6,2459531
2025-06-23,26.2,26.52,26.0,26.25,1019766
2025-06-24,27.06,27.2,26.77,26.9,1126914
2025-06-25,27.1,27.12,26.46,26.77,940236
2025-06-26,27.03,27.37,26.69,27.1,812559
2025-06-27,27.29,27.34,26.6,27.11,734645
2025-06-30,27.83,28.52,27.64,27.95,1435337
2025-07-01,27.97,29.19,27.94,29.08,1448312
2025-07-02,29.03,29.15,28.14,28.38,1270157
2025-07-03,28.51,28.57,28.03,28.28,601648
2025-07-04,28.11,28.15,27.55,28.09,568540
2025-07-07,28.18,28.18,27.77,28.13,560636
2025-07-08,28.14,28.33,27.57,28.29,747679
2025-07-09,28.37,28.91,28.07,28.91,877525
2025-07-10,29.12,29.19,28.67,28.85,764207
2025-07-11,28.66,28.92,28.51,28.61,837145
2025-07-14,27.88,27.96,26.91,27.1,2455339
2025-07-15,27.16,27.88,27.12,27.39,1080972
2025-07-16,27.17,28.14,27.16,27.53,952793
2025-07-17,27.56,27.84,27.36,27.58,650357
2025-07-18,27.79,28.12,27.58,27.78,782832
2025-07-21,27.88,28.18,27.53,27.53,772895
2025-07-22,27.55,27.65,27.25,27.64,543516
2025-07-23,28.19,28.4,27.3,27.3,958135
2025-07-24,27.7,27.7,27.11,27.2,733475
2025-07-25,27.0,27.33,26.84,27.33,616008
2025-07-28,27.6,27.73,26.66,26.71,848413
2025-07-29,26.79,27.12,26.73,26.79,693975
2025-07-30,26.73,27.19,26.65,26.85,605192
2025-07-31,26.98,27.19,25.63,25.72,1374403
2025-08-01,25.5,25.61,24.96,24.96,1056875
2025-08-04,25.2,25.78,25.07,25.59,769710
2025-08-05,25.7,25.94,25.04,25.28,1608667
2025-08-06,26.5,26.66,22.52,23.0,6202518
2025-08-07,22.91,23.57,22.82,23.09,2270240
2025-08-08,23.13,23.43,22.96,23.41,1182925
2025-08-11,23.5,23.82,22.91,22.92,1361019
2025-08-12,23.0,23.03,22.59,23.0,1146613
2025-08-13,23.17,23.81,23.14,23.55,1406662
2025-08-14,23.73,23.73,23.09,23.47,1079040
2025-08-15,23.59,23.64,23.11,23.11,744132
2025-08-18,23.22,23.57,23.15,23.34,659499
2025-08-19,23.46,24.45,23.46,24.2,1259907
2025-08-20,24.1,24.39,24.0,24.32,892986
2025-08-21,24.42,24.48,24.12,24.34,1057797
2025-08-22,24.24,25.09,24.21,25.03,1043560
2025-08-25,25.03,25.07,24.62,24.71,586035
2025-08-26,24.55,25.09,24.36,24.81,1093235
2025-08-27,24.8,24.97,24.14,24.48,805802
2025-08-28,24.57,24.81,24.15,24.27,630332
2025-08-29,24.2,24.33,23.8,23.8,917763
2025-09-01,24.24,24.33,23.77,23.83,665292
2025-09-02,23.66,23.74,22.98,22.98,1223081
2025-09-03,23.15,24.1,22.98,23.93,1229917
2025-09-04,23.96,24.62,23.92,24.44,972869
2025-09-05,24.7,25.25,24.64,24.69,995982
2025-09-08,24.63,25.93,24.63,25.93,1272028
2025-09-09,25.88,26.0,25.35,25.36,829967
2025-09-10,25.3,25.91,25.28,25.47,697737
2025-09-11,25.42,26.02,25.41,25.44,687658
2025-09-12,25.52,25.79,24.98,25.18,1185794
2025-09-15,25.34,25.97,25.17,25.84,1059387
2025-09-16,25.89,26.42,25.66,25.66,1487826
2025-09-17,25.47,25.94,25.18,25.85,1440562
2025-09-18,25.89,27.88,25.64,27.22,2469432
2025-09-19,27.0,27.01,26.22,26.22,1876139
2025-09-22,26.25,26.54,25.98,26.36,762311
2025-09-23,26.6,26.75,26.35,26.7,1113468
2025-09-24,26.76,27.69,26.42,27.43,1189637
2025-09-25,27.58,28.06,26.95,26.95,926603
2025-09-26,26.89,27.04,26.09,26.28,1070892
2025-09-29,26.39,26.5,25.73,26.22,1096646
2025-09-30,26.07,26.64,25.89,26.01,982841
2025-10-01,25.8,26.43,25.64,26.28,1037457
2025-10-02,26.5,27.19,26.46,27.18,1560509
2025-10-03,27.22,27.23,26.45,26.96,832306
2025-10-06,27.0,27.19,26.7,26.7,764498
2025-10-07,26.6,27.0,26.42,26.58,865531
2025-10-08,26.39,28.12,26.22,28.0,1626247
2025-10-09,28.04,28.28,26.89,27.12,1434149
2025-10-10,27.29,27.44,26.22,26.22,1251057
2025-10-13,26.57,26.64,26.02,26.54,950415
2025-10-14,26.43,27.71,26.39,26.92,1405720
2025-10-15,27.13,27.13,26.36,26.84,1099850
2025-10-16,26.88,26.88,26.31,26.64,854049
2025-10-17,26.25,26.42,25.88,26.18,912128
2025-10-20,26.31,26.66,25.89,26.64,941169
2025-10-21,26.5,26.73,26.1,26.63,603283
2025-10-22,26.53,26.81,26.28,26.49,684253
2025-10-23,26.46,26.76,26.23,26.59,876043
2025-10-24,26.63,26.85,26.21,26.42,640692
2025-10-27,26.42,26.61,25.96,26.21,893574
2025-10-28,26.0,26.36,25.83,25.84,812872
2025-10-29,25.96,26.36,24.29,24.61,2299643
2025-10-30,24.7,24.86,24.39,24.63,798086
2025-10-31,24.56,24.6,24.22,24.26,909429
2025-11-03,24.1,24.49,23.47,23.47,1120314
2025-11-04,23.18,23.18,22.64,22.85,1440711
2025-11-05,22.7,22.75,22.37,22.65,1133985
2025-11-06,24.0,24.98,23.78,24.14,3057721
2025-11-07,24.09,24.7,22.12,22.24,2517292
2025-11-10,22.4,22.95,22.32,22.58,2234639
2025-11-11,22.5,23.21,22.26,23.01,2030824
2025-11-12,22.91,23.67,22.66,23.55,1655018
2025-11-13,23.68,23.97,23.42,23.72,1558782
2025-11-14,23.5,23.58,22.86,22.94,1581649
2025-11-17,22.95,23.0,22.06,22.17,2101454
2025-11-18,21.39,22.5,21.09,22.3,2106839
2025-11-19,22.4,22.97,22.21,22.63,1288722
2025-11-20,22.75,22.93,22.33,22.61,955900
2025-11-21,22.12,22.47,21.81,22.14,1473507
2025-11-24,22.35,22.37,21.96,22.11,1452608
2025-11-25,22.05,22.43,21.75,22.42,1732036
2025-11-26,22.64,23.03,22.49,22.96,956491
2025-11-27,23.0,23.17,22.92,23.12,502918
2025-11-28,23.03,23.28,22.92,23.2,589980
2025-12-01,23.07,23.6,22.67,23.56,1015739
2025-12-02,23.48,23.5,23.08,23.22,864270
2025-12-03,23.37,23.69,23.22,23.63,979223
2025-12-04,23.78,24.17,23.53,23.58,970387
2025-12-05,23.47,24.3,23.45,23.73,1024856
2025-12-08,23.78,24.11,23.08,23.11,977674
2025-12-09,23.1,23.4,22.81,23.4,872790
2025-12-10,23.21,23.38,23.04,23.24,619332
2025-12-11,23.23,23.65,23.06,23.06,1049233
2025-12-12,22.97,23.43,22.87,23.09,1227204
2025-12-15,23.2,23.69,23.11,23.69,1187167
2025-12-16,23.53,24.69,23.49,24.69,1869793
2025-12-17,24.76,25.54,24.34,25.38,2056138
2025-12-18,25.45,25.91,25.43,25.72,1362553
2025-12-19,25.6,25.88,24.82,24.98,2103202
2025-12-22,25.01,25.28,24.88,25.28,1154770
2025-12-23,25.4,25.66,24.84,24.92,699902
2025-12-29,25.0,25.37,24.93,25.19,902704
2025-12-30,25.25,25.34,25.07,25.34,346620
2026-01-02,25.48,25.74,24.56,24.66,885083
2026-01-05,24.71,24.82,23.82,24.6,1285899
2026-01-06,24.8,24.96,24.06,24.44,1308686
2026-01-07,24.44,25.64,24.19,25.57,1832393
2026-01-08,25.7,25.85,24.42,24.98,1747850
2026-01-09,25.06,25.73,24.66,24.94,1216231
2026-01-12,25.0,25.75,25.0,25.18,1320304
2026-01-13,25.75,26.81,25.75,26.38,1691522
2026-01-14,26.42,26.43,25.28,25.51,1409665
2026-01-15,25.56,25.96,25.28,25.28,1057911
2026-01-16,25.25,26.13,24.82,25.72,1878613
2026-01-19,25.1,25.59,24.83,25.46,790505
2026-01-20,25.32,25.35,24.37,24.75,1652090
2026-01-21,24.64,24.7,24.14,24.39,1027947
2026-01-22,24.77,25.09,24.59,25.0,926392
2026-01-23,24.76,24.84,23.72,23.96,2104464
2026-01-26,23.93,24.04,23.4,23.65,1259627
2026-01-27,23.76,24.06,23.54,24.06,1137325
2026-01-28,24.06,24.27,23.8,24.11,926495
2026-01-29,24.46,24.91,24.03,24.28,1343070
2026-01-30,24.07,24.56,23.98,24.34,890088
2026-02-02,24.31,24.79,24.08,24.43,1009032
2026-02-03,24.5,24.5,20.85,21.48,8486382
2026-02-04,21.59,22.17,21.14,21.71,2215991
2026-02-05,21.91,22.18,21.43,21.78,1339341
2026-02-06,21.7,21.71,21.03,21.29,1581059
2026-02-09,21.34,21.69,21.06,21.41,1053744
2026-02-10,21.5,22.64,21.41,22.4,1812903
2026-02-11,22.26,22.26,20.9,20.9,2562963
2026-02-12,21.2,21.33,20.62,20.68,2040569
2026-02-13,20.74,21.0,20.35,20.51,1648550
2026-02-16,20.75,21.36,20.64,21.14,1422534
2026-02-17,21.04,21.73,21.04,21.56,1692363
2026-02-18,21.65,21.65,20.78,21.16,2004686
2026-02-19,21.1,21.52,21.03,21.03,1035814
2026-02-20,21.0,21.1,20.65,20.69,1575483
2026-02-23,20.58,20.68,20.02,20.17,1487370
2026-02-24,20.16,20.69,20.05,20.38,1210846
2026-02-25,20.38,20.59,20.2,20.49,1295802
2026-02-26,20.69,21.02,20.43,20.64,1678951
2026-02-27,20.46,20.87,20.3,20.75,1654352
2026-03-02,20.0,20.23,19.555,19.83,2183947
2026-03-03,19.54,19.885,18.79,19.16,2508610
2026-03-04,19.455,19.69,19.14,19.665,1483051
2026-03-05,19.65,20.65,19.4,20.38,2487935
2026-03-06,20.43,20.75,20.23,20.32,1839863
2026-03-09,20.27,20.37,19.825,19.84,1264140
2026-03-10,20.23,20.61,20.09,20.41,1198127
2026-03-11,20.21,20.58,20.02,20.11,1274669
2026-03-12,21.0,22.9,20.52,22.02,4832000
2026-03-13,21.75,24.2,21.65,23.54,3939916
2026-03-16,23.6,23.82,22.66,23.82,2891808
2026-03-17,23.69,24.26,23.51,23.87,2029277
2026-03-18,23.82,24.15,23.34,23.54,1733126
2026-03-19,23.03,23.18,22.38,22.69,2798972
2026-03-20,22.96,23.02,21.75,21.89,3399830
2026-03-23,21.2,22.54,21.06,21.22,2172843
2026-03-24,21.5,21.79,21.22,21.34,1532716
2026-03-25,21.54,21.76,21.14,21.47,1488653
2026-03-26,21.42,21.52,20.46,20.64,1818655
2026-03-27,20.53,20.75,20.13,20.13,1828808
2026-03-30,20.0,20.3,19.59,20.24,1835823
2026-03-31,20.34,20.77,20.33,20.55,1437567
2026-04-01,21.1,21.3,20.68,21.24,1276896
2026-04-02,20.76,21.32,20.62,21.0,1431681
2026-04-07,21.0,21.26,20.29,20.5,1658714
2026-04-08,21.63,22.37,21.58,21.86,1730388
2026-04-09,21.67,22.4,21.55,22.28,1372358
2026-04-10,22.3,22.57,21.84,21.98,1041325
2026-04-13,21.72,22.15,21.72,22.11,884429
2026-04-14,22.02,22.4,21.9,22.17,953039
2026-04-15,22.2,22.68,22.04,22.57,975047
