Date,Open,High,Low,Close,Volume
2025-05-27,8.11,8.21,7.82,7.96,36434
2025-05-28,7.89,8.08,7.86,8.05,20867
2025-05-29,8.04,8.04,7.81,7.89,23869
2025-05-30,7.79,7.84,7.61,7.61,25843
2025-06-02,7.22,7.58,7.17,7.2,54162
2025-06-03,7.17,7.42,7.1,7.3,44071
2025-06-04,7.4,7.7,7.12,7.62,48316
2025-06-05,7.7,7.8,7.36,7.51,39108
2025-06-06,7.51,7.51,7.24,7.37,7583
2025-06-09,7.37,7.4,6.94,7.25,46807
2025-06-10,7.26,7.7,7.14,7.29,49898
2025-06-11,7.2,7.68,7.16,7.26,51671
2025-06-12,7.28,7.39,7.21,7.25,9796
2025-06-13,7.29,7.64,7.2,7.56,38839
2025-06-16,7.69,7.88,7.48,7.5,58031
2025-06-17,7.4,7.4,7.15,7.23,37603
2025-06-18,7.23,7.25,7.15,7.2,15358
2025-06-20,7.2,7.47,7.2,7.36,35440
2025-06-23,7.28,7.5,7.2,7.25,20653
2025-06-24,7.15,7.38,7.08,7.27,21583
2025-06-25,7.36,7.36,7.1,7.23,3372
2025-06-26,7.22,7.32,7.2,7.26,10641
2025-06-27,7.26,7.4,7.2,7.39,29814
2025-06-30,7.47,7.47,7.21,7.29,8669
2025-07-01,7.34,7.4,7.2,7.27,19789
2025-07-02,7.24,7.27,6.76,6.97,48146
2025-07-03,6.99,7.03,6.57,6.66,61759
2025-07-04,6.68,6.72,6.5,6.7,43889
2025-07-07,6.55,6.64,6.25,6.3,122190
2025-07-08,6.3,6.65,6.28,6.65,55455
2025-07-09,6.55,6.7,6.5,6.58,49262
2025-07-10,6.6,6.7,6.43,6.44,23735
2025-07-11,6.43,6.55,6.35,6.55,17293
2025-07-14,6.55,6.98,6.55,6.7,38163
2025-07-15,6.7,6.75,6.4,6.45,36254
2025-07-16,6.5,6.68,6.36,6.49,25695
2025-07-17,6.49,6.7,6.42,6.6,24907
2025-07-18,6.6,6.7,6.52,6.68,17709
2025-07-21,6.68,6.8,6.67,6.75,38084
2025-07-22,6.6,6.85,6.6,6.8,37907
2025-07-23,6.8,7.19,6.8,7.15,69069
2025-07-24,7.25,7.54,7.0,7.4,81528
2025-07-25,7.47,7.57,7.4,7.51,62653
2025-07-28,7.41,7.51,7.35,7.36,34252
2025-07-29,7.45,7.45,7.3,7.39,12278
2025-07-30,7.39,7.39,7.12,7.25,34620
2025-07-31,7.3,7.3,7.16,7.27,18045
2025-08-01,7.25,7.29,7.0,7.1,34683
2025-08-04,7.05,7.3,6.85,7.16,47866
2025-08-05,7.17,7.44,7.02,7.17,49393
2025-08-06,7.17,7.3,7.08,7.29,11929
2025-08-07,7.29,7.29,7.0,7.02,36156
2025-08-08,7.03,7.14,7.03,7.05,6675
2025-08-11,7.09,7.26,7.05,7.08,21195
2025-08-12,7.08,7.37,7.05,7.13,51006
2025-08-13,7.13,7.2,7.04,7.13,7341
2025-08-14,7.03,7.13,6.95,7.0,11377
2025-08-18,7.06,7.25,6.97,7.25,18333
2025-08-19,7.26,7.26,7.0,7.0,28911
2025-08-20,6.93,7.0,6.89,6.98,27699
2025-08-21,6.99,7.0,6.75,6.98,16526
2025-08-22,6.9,8.34,6.82,7.97,563554
2025-08-25,8.15,8.3,7.6,8.2,275290
2025-08-26,8.12,8.18,7.93,8.1,47264
2025-08-27,8.08,8.15,7.72,7.85,41432
2025-08-28,7.78,8.0,7.69,7.76,35827
2025-08-29,7.76,7.9,7.51,7.7,123318
2025-09-01,7.7,7.9,7.7,7.86,11304
2025-09-02,7.8,7.85,7.61,7.82,22362
2025-09-03,7.82,7.85,7.66,7.67,15893
2025-09-04,7.78,7.85,7.63,7.82,27587
2025-09-05,7.81,8.2,7.72,8.07,89820
2025-09-08,8.12,8.42,8.0,8.19,132284
2025-09-09,8.17,8.59,8.02,8.32,223876
2025-09-10,8.48,9.75,8.48,9.62,534206
2025-09-11,9.62,9.79,9.19,9.45,202693
2025-09-12,9.46,10.4,9.3,9.91,267115
2025-09-15,9.99,10.72,9.95,10.7,174712
2025-09-16,10.8,11.64,10.5,11.04,375274
2025-09-17,10.92,11.22,10.3,10.32,213352
2025-09-18,10.24,10.66,9.84,10.1,237792
2025-09-19,10.2,10.48,10.1,10.48,41559
2025-09-22,10.7,11.22,10.1,10.44,136368
2025-09-23,10.44,10.66,10.0,10.08,127061
2025-09-24,10.04,10.22,9.93,10.08,63759
2025-09-25,10.0,10.1,9.56,9.68,59614
2025-09-26,9.6,9.96,9.28,9.94,124989
2025-09-29,10.0,10.12,9.64,9.85,38504
2025-09-30,9.85,10.04,9.7,9.97,29202
2025-10-01,10.04,10.8,9.76,10.4,113098
2025-10-02,10.6,10.94,10.32,10.62,92619
2025-10-03,10.82,10.82,10.06,10.22,65348
2025-10-06,10.42,10.7,10.24,10.3,66101
2025-10-07,10.36,10.58,10.32,10.4,13521
2025-10-08,10.4,11.0,10.34,10.74,124956
2025-10-09,10.88,11.4,10.62,10.76,169663
2025-10-10,10.8,11.28,10.6,11.18,55992
2025-10-13,11.08,11.48,10.76,11.24,107014
2025-10-14,11.38,11.38,10.78,10.86,72924
2025-10-15,10.96,11.26,10.88,10.94,35220
2025-10-16,11.18,11.18,10.5,10.74,49194
2025-10-17,10.74,10.74,10.22,10.6,48130
2025-10-20,10.6,10.88,10.36,10.82,32957
2025-10-21,10.8,10.8,10.1,10.16,124415
2025-10-22,10.08,10.3,9.81,10.0,75119
2025-10-23,10.0,10.42,10.0,10.3,36353
2025-10-24,10.24,10.36,10.08,10.1,21274
2025-10-27,10.1,10.24,9.82,10.0,22794
2025-10-28,10.18,10.18,9.74,9.9,29276
2025-10-29,9.88,10.0,9.82,9.96,7745
2025-10-30,9.8,9.99,9.8,9.98,5665
2025-10-31,9.98,10.0,9.72,9.76,15081
2025-11-03,9.72,10.14,9.72,9.97,23206
2025-11-04,10.12,10.36,10.04,10.12,23484
2025-11-05,10.18,10.18,9.76,9.88,17765
2025-11-06,10.1,10.16,9.9,9.95,12010
2025-11-07,10.0,10.18,9.85,10.0,15742
2025-11-10,10.16,10.16,9.71,9.86,24137
2025-11-12,9.8,10.36,9.71,10.08,36821
2025-11-13,10.12,10.12,9.81,9.83,13475
2025-11-14,9.96,10.1,9.63,9.82,27253
2025-11-17,9.89,9.89,9.64,9.78,8728
2025-11-18,9.61,9.75,9.33,9.46,20109
2025-11-19,9.55,9.59,9.33,9.56,8937
2025-11-20,9.6,9.8,9.56,9.8,10053
2025-11-21,9.4,9.7,9.3,9.3,16221
2025-11-24,9.2,9.27,8.28,8.55,264086
2025-11-25,8.51,8.78,8.28,8.4,36110
2025-11-26,8.4,8.79,8.36,8.7,32129
2025-11-27,8.7,9.1,8.64,8.94,55166
2025-11-28,8.94,9.1,8.8,8.95,23874
2025-12-01,8.85,8.93,8.75,8.89,15232
2025-12-02,8.79,8.8,8.45,8.79,18951
2025-12-03,8.75,8.86,8.5,8.54,21973
2025-12-04,8.69,8.75,8.45,8.5,10905
2025-12-05,8.5,8.53,8.41,8.5,16682
2025-12-08,8.45,8.74,8.41,8.66,14997
2025-12-09,8.71,8.76,8.6,8.61,15244
2025-12-10,8.65,8.71,8.13,8.39,102829
2025-12-11,8.37,8.39,8.14,8.2,31741
2025-12-12,8.12,8.2,7.81,8.0,115891
2025-12-15,7.9,7.98,7.42,7.65,206893
2025-12-16,7.6,7.6,7.48,7.53,48878
2025-12-17,7.45,7.53,7.42,7.48,51556
2025-12-18,7.43,7.54,7.43,7.51,68191
2025-12-19,7.51,7.59,7.2,7.56,84064
2025-12-22,7.6,7.6,7.16,7.2,78178
2025-12-23,7.2,7.2,7.03,7.1,129832
2025-12-29,7.1,7.22,7.08,7.19,14875
2025-12-30,7.18,7.85,7.18,7.75,62210
2026-01-02,7.92,8.13,7.81,8.12,37490
2026-01-05,8.14,8.72,8.14,8.62,91789
2026-01-07,8.81,9.1,8.6,8.73,94970
2026-01-08,8.76,8.78,8.35,8.53,89389
2026-01-09,8.71,8.96,8.61,8.68,27655
2026-01-12,8.9,8.95,8.39,8.48,30971
2026-01-13,8.48,8.57,8.34,8.55,14289
2026-01-14,8.46,8.57,8.23,8.36,22789
2026-01-15,8.2,9.0,7.96,8.53,72094
2026-01-16,8.68,8.68,8.32,8.33,12265
2026-01-19,8.49,8.88,8.38,8.85,38388
2026-01-20,8.86,8.88,8.46,8.8,19897
2026-01-21,8.6,8.76,8.53,8.72,7635
2026-01-22,8.8,8.8,8.51,8.72,14338
2026-01-23,8.6,8.72,8.5,8.7,27976
2026-01-26,8.69,8.69,8.21,8.35,37816
2026-01-27,8.43,8.88,8.43,8.84,56663
2026-01-28,8.96,9.22,8.88,9.14,142508
2026-01-29,9.2,9.2,8.65,8.81,64554
2026-01-30,8.81,8.98,8.7,8.94,20976
2026-02-02,9.0,9.0,8.7,8.8,21502
2026-02-03,8.86,9.13,8.65,9.0,34124
2026-02-04,9.06,9.06,8.75,8.83,25268
2026-02-05,9.0,9.46,8.75,9.4,178863
2026-02-06,9.55,9.58,9.23,9.38,51573
2026-02-09,9.46,9.58,9.35,9.38,25159
2026-02-10,9.38,9.66,9.38,9.5,73854
2026-02-11,9.6,10.14,9.51,9.95,149774
2026-02-12,10.0,10.3,9.9,10.1,61286
2026-02-13,10.1,10.1,9.4,9.8,87757
2026-02-16,9.94,10.2,9.86,10.02,30272
2026-02-17,10.18,10.22,9.88,9.88,26506
2026-02-18,10.16,10.56,9.98,10.5,98640
2026-02-19,10.6,10.8,10.4,10.6,55304
2026-02-20,10.6,11.12,10.54,10.9,99644
2026-02-23,10.9,11.74,10.9,11.48,260495
2026-02-24,11.62,11.62,10.86,11.24,162096
2026-02-25,11.4,11.4,10.7,10.98,77781
2026-02-26,10.98,11.16,10.8,11.0,45634
2026-02-27,11.0,11.08,10.68,10.98,81332
2026-03-02,11.5,11.6,11.14,11.26,191603
2026-03-03,11.6,11.6,10.26,10.34,140645
2026-03-04,10.22,10.86,10.22,10.62,58051
2026-03-05,10.5,11.3,10.36,10.7,94357
2026-03-06,10.98,11.06,10.48,10.68,55687
2026-03-09,10.5,10.6,10.14,10.6,71941
2026-03-10,10.9,11.1,10.6,11.1,108940
2026-03-11,11.0,11.08,10.5,10.64,46156
2026-03-12,10.62,10.7,10.5,10.56,27418
2026-03-13,10.34,10.64,10.26,10.4,36756
2026-03-16,10.4,10.7,10.32,10.56,26274
2026-03-17,10.7,10.9,10.44,10.88,50438
2026-03-18,10.9,11.24,10.84,10.94,66678
2026-03-19,10.64,10.8,10.56,10.76,28938
2026-03-20,10.84,11.38,10.54,11.3,116025
2026-03-23,11.1,11.28,10.5,11.14,84324
2026-03-24,11.14,11.14,10.78,10.88,16658
2026-03-25,10.72,11.2,10.6,11.04,56539
2026-03-26,11.18,11.18,10.6,10.78,43672
2026-03-27,10.6,10.76,10.14,10.2,127025
2026-03-30,10.14,10.18,9.45,9.77,175187
2026-03-31,9.64,9.9,9.64,9.7,26054
2026-04-01,9.9,10.0,9.77,9.92,18333
2026-04-02,9.88,9.88,9.41,9.6,50698
2026-04-07,9.64,9.73,9.4,9.44,33628
2026-04-08,9.7,9.85,9.56,9.6,43951
2026-04-09,9.5,9.69,9.46,9.54,29552
2026-04-10,9.58,9.7,9.47,9.65,24202
2026-04-13,9.67,9.77,9.55,9.6,18118
2026-04-14,9.6,9.6,9.04,9.35,102128
2026-04-15,9.35,9.38,9.22,9.34,57087
2026-04-16,9.34,9.34,9.21,9.3,17718
2026-04-17,9.3,9.47,9.14,9.47,45694
2026-04-20,9.4,9.78,9.4,9.72,44195
2026-04-21,9.7,9.7,9.2,9.4,36444
2026-04-22,9.44,9.44,9.13,9.29,32849
2026-04-23,9.43,9.43,8.51,8.9,94142
2026-04-24,8.89,8.9,8.69,8.8,53016
2026-04-27,8.8,8.82,8.52,8.73,29927
2026-04-28,8.79,9.0,8.52,9.0,37264
2026-04-29,9.15,9.29,9.1,9.18,15518
2026-04-30,9.1,9.38,9.1,9.29,10609
2026-05-04,9.24,9.24,9.03,9.1,20960
2026-05-05,9.15,9.92,9.15,9.86,110996
2026-05-06,10.1,10.28,9.99,10.2,75221
2026-05-07,10.3,10.4,9.95,10.02,57993
2026-05-08,10.3,10.94,10.2,10.78,218211
2026-05-11,11.1,11.1,10.22,10.76,78547
2026-05-12,10.5,10.8,10.2,10.4,48145
2026-05-13,10.4,10.4,9.95,10.0,38599
2026-05-14,10.2,10.22,9.85,10.2,39966
2026-05-15,10.28,10.28,9.58,9.66,49583
2026-05-18,9.66,9.76,9.53,9.68,21681
2026-05-19,9.65,9.85,9.48,9.48,24205
2026-05-20,9.68,9.68,9.48,9.64,6117
2026-05-21,9.64,9.66,9.4,9.55,12910
2026-05-22,9.5,9.75,9.38,9.5,15297
2026-05-25,9.5,9.59,9.25,9.4,31368
